Module	ppi_pvalue	PPI_FDR
33	65.82819013869589	2.431755889611499e-128
81	57.56682525654469	1.899613969312784e-43
34	37.616108650683366	5.9752424171541425e-254
18	33.59337282875288	1.1564427022718719e-118
82	32.97127333192412	1.3882090123575735e-124
65	19.850629398808515	2.890987958895681e-10
4	17.66716513918283	1.0973062194842602e-267
11	15.880503519046812	9.758111002361973e-120
73	13.647307711680853	2.04823415083937e-12
0	12.609343463186818	6.783284039681102e-209
7	11.558518328102355	2.6684345956885885e-121
43	10.343222686747596	1.3549007050826493e-12
86	7.776243710359461	3.396389668588349e-14
24	7.465193961945082	2.5907022400625973e-13
41	7.054608294038103	2.3220739413533494e-11
29	6.758666676260995	3.196564340469209e-07
8	6.721196590737718	2.8189829768667594e-20
89	6.238769239625533	0.001035844089348
72	5.598895471458811	0.0117245943768378
32	5.062710925300962	1.590874790102927e-09
