Module	coherence_score
94	0.9213723615996494
86	0.9148076066314015
83	0.9122313196058386
14	0.8895863871940345
63	0.8675497149238256
9	0.8541029872920011
1	0.847779452461249
6	0.8428715934368757
62	0.830095932941347
101	0.8185413387419835
0	0.815930445461918
60	0.8151467299253136
48	0.811015485218082
7	0.8099577780218257
77	0.8012671079132331
105	0.8006817471680162
4	0.7941180299849055
12	0.7880068085922174
29	0.7859498012573101
51	0.7842436638519922
92	0.7716268992973034
75	0.7613216638415236
15	0.7607688656249729
10	0.7593319486956015
106	0.744222578434431
44	0.7437483651287747
84	0.7417269066340061
113	0.7416888804168218
3	0.7363916912730347
16	0.7344277883714819
104	0.7324972373748828
18	0.7322874185413886
35	0.7263307592342368
108	0.7246655512779394
2	0.7174524783537602
8	0.7170617000847181
121	0.7141657456466405
27	0.7136170231739061
61	0.7094534481341017
72	0.7070662112644567
95	0.7045374379763477
32	0.6926776205500588
70	0.6901841452542989
49	0.6875143816781315
21	0.6793273002784995
38	0.6770895684193899
41	0.6764094077550744
19	0.6761105377728502
40	0.6673376120808906
50	0.6647227519554866
65	0.6642612342715489
42	0.6618076444186907
124	0.6563329374936085
30	0.6554994890387195
74	0.654645073257963
85	0.6536643460408569
25	0.6514776753341912
17	0.6484975359115175
57	0.6467108116426674
52	0.6445369230261352
59	0.6353988197267929
26	0.6351935223398857
100	0.6325855184017366
127	0.6305247462169894
81	0.6284351871119684
122	0.6246656659479073
24	0.6235985001001538
66	0.6213417443196269
91	0.6191658386061687
55	0.6182103499444244
110	0.617892113524806
13	0.6148331705840447
80	0.6090077865634699
71	0.6073385288776157
82	0.6073291956565511
23	0.602810387513659
20	0.5992135924181063
102	0.5988806809525801
39	0.5890904050426025
31	0.5884476575680446
33	0.5858927755453261
96	0.5795807868703289
58	0.5783888004966204
36	0.5769782171155999
109	0.5768482353685161
103	0.5758536908489423
78	0.5721045203655273
11	0.5709166577555683
123	0.5700920480540588
45	0.5657052561813091
22	0.5608463019614877
73	0.5538116464525364
46	0.5452688078052375
126	0.5426870800203386
43	0.5379792617123536
28	0.5370152422243747
64	0.5327482227931416
114	0.5260038315090045
117	0.5177698560331406
