Node1	Node2	Source	Type	Category
creatinine	ACP5	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	DNM2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	ALPP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
EGR2	ACP5	BioGRID_genes	PPI	PPI
EGR2	DNM2	STRING	PPI	PPI
EGR2	FOS	STRING	PPI	PPI
EGR2	JUNB	STRING	PPI	PPI
EGR2	EGR1	STRING	PPI	PPI
EGR2	NR4A3	STRING	PPI	PPI
ACP5	FOS	STRING	PPI	PPI
JUNB	DNM2	STRING	PPI	PPI
JUNB	FOS	STRING	PPI	PPI
JUNB	EGR1	STRING	PPI	PPI
JUNB	NR4A3	STRING	PPI	PPI
DNM2	EGR1	STRING	PPI	PPI
DNM2	FOS	STRING	PPI	PPI
FOS	ACE	STRING	PPI	PPI
FOS	EGR1	STRING	PPI	PPI
FOS	NR4A3	STRING	PPI	PPI
NR4A3	ALPP	BioGRID_genes	PPI	PPI
NR4A3	EGR1	STRING	PPI	PPI
