Node1	Node2	Source	Type	Category
fumaric_acid	CLYBL	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
fumaric_acid	SDHC	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
fumaric_acid	ME2	UniProtKB	metabolite-gene	Ambiguous
fumaric_acid	ACLY	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
fumaric_acid	TNRC6B	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
fumaric_acid	ACP5	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
fumaric_acid	GPIHBP1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
pyrophosphate	DNTT	UniProtKB	metabolite-gene	Ambiguous
pyrophosphate	TERT	UniProtKB	metabolite-gene	Ambiguous
sucrose	SLC10A6	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
sucrose	ACP5	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
sucrose	GPIHBP1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
TFEC	CLYBL	STRING	PPI	PPI
TFEC	SPI1	STRING	PPI	PPI
CLYBL	ACLY	STRING	PPI	PPI
RUNX2	SDHC	STRING	PPI	PPI
RUNX2	ACP5	STRING	PPI	PPI
RUNX2	ATF6	STRING	PPI	PPI
RUNX2	LEF1	STRING	PPI	PPI
RUNX2	SPI1	STRING	PPI	PPI
SDHC	LEF1	STRING	PPI	PPI
SDHC	ME2	STRING	PPI	PPI
SDHC	ACLY	STRING	PPI	PPI
ACP5	SPI1	STRING	PPI	PPI
KLF3	ME2	BioGRID_genes	PPI	PPI
ME2	ACLY	STRING	PPI	PPI
ATF6	ACLY	BioGRID_genes	PPI	PPI
ATF6	DNTT	STRING	PPI	PPI
ATF6	GPIHBP1	BioGRID_genes	PPI	PPI
VENTX	TNRC6B	STRING	PPI	PPI
VENTX	LEF1	STRING	PPI	PPI
SPI1	LEF1	STRING	PPI	PPI
LEF1	TERT	STRING	PPI	PPI
