Node1	Node2	Source	Type	Category
phosphoenolpyruvic_acid	TXN	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
phosphoenolpyruvic_acid	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
phosphoenolpyruvic_acid	NME2	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
phosphoenolpyruvic_acid	OGT	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
phosphoenolpyruvic_acid	RRM2	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
phosphoenolpyruvic_acid	CDIPT	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
scyllo_inositol	CDIPT	BioGRID	metabolite-gene	PPI
DL_isoleucine	CYP3A5	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	APOC3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	ALDH4A1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	CDIPT	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	EHMT2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	DNMT1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	ALOX12B	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	RRM2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
DL_isoleucine	TXN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
USF1	TXN	STRING	PPI	PPI
USF1	APOC3	STRING	PPI	PPI
USF1	MAZ	STRING	PPI	PPI
TXN	RRM2	STRING	PPI	PPI
ZBTB17	ODC1	STRING	PPI	PPI
ZBTB17	ALDH4A1	STRING	PPI	PPI
ODC1	ALDH4A1	STRING	PPI	PPI
ODC1	RRM2	STRING	PPI	PPI
ALDH4A1	OGT	BioGRID_genes	PPI	PPI
MAZ	NME2	STRING	PPI	PPI
MAZ	CDIPT	STRING	PPI	PPI
MAZ	OGT	BioGRID_genes	PPI	PPI
MAZ	EHMT2	BioGRID_genes	PPI	PPI
NME2	RRM2	STRING	PPI	PPI
ZBTB38	OGT	BioGRID_genes	PPI	PPI
ZBTB38	EHMT2	BioGRID_genes	PPI	PPI
EHMT2	DNMT1	STRING	PPI	PPI
EHMT2	E2F1	STRING	PPI	PPI
E2F1	RRM2	STRING	PPI	PPI
E2F1	DNMT1	STRING	PPI	PPI
HES4	ALOX12B	BioGRID_genes	PPI	PPI
