Node1	Node2	Source	Type	Category
creatinine	EEF1A2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	PXDN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	FASN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	ALOX12	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	SLC1A6	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
EEF1A2	MYCN	BioGRID_genes	PPI	PPI
MYT1L	PXDN	STRING	PPI	PPI
OLIG1	CNP	STRING	PPI	PPI
CNP	OLIG2	STRING	PPI	PPI
CNP	MYCN	BioGRID_genes	PPI	PPI
ELK1	FASN	BioGRID_genes	PPI	PPI
FASN	ALOX12	BioGRID_genes	PPI	PPI
MYCN	ALOX12	BioGRID_genes	PPI	PPI
RORA	SLC1A6	STRING	PPI	PPI
