Node1	Node2	Source	Type	Category
myo_inositol	ANPEP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	PLCB3	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
myo_inositol	GGH	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ANXA3	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
myo_inositol	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ANPEP	creatinine	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ANPEP	ACE	STRING	PPI	PPI
creatinine	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CKB	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	GGH	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
VDR	ACE	STRING	PPI	PPI
VDR	CEBPB	STRING	PPI	PPI
VDR	NFKB1	BioGRID_genes	PPI	PPI
ZNF510	ODC1	BioGRID_genes	PPI	PPI
SOX15	PLCB3	BioGRID_genes	PPI	PPI
NFKB1	GGH	BioGRID_genes	PPI	PPI
NFKB1	CKB	STRING	PPI	PPI
NFKB1	CEBPB	STRING	PPI	PPI
GGH	CEBPB	BioGRID_genes	PPI	PPI
GGH	CKB	STRING	PPI	PPI
CEBPB	ANXA3	BioGRID_genes	PPI	PPI
CEBPB	CNP	BioGRID_genes	PPI	PPI
