Node1	Node2	Source	Type	Category
glycerol_3_phosphate	FASN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	AGPAT1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	CMAS	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	ALOX12	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	B3GALT4	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	CYBRD1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	PNPLA6	UniProtKB	metabolite-gene	Ambiguous
TFAP4	FASN	BioGRID_genes	PPI	PPI
FASN	ZFP41	BioGRID_genes	PPI	PPI
FASN	ALOX12	BioGRID_genes	PPI	PPI
FASN	AGPAT1	STRING	PPI	PPI
FASN	HIF1A	STRING	PPI	PPI
FASN	SNAI1	BioGRID_genes	PPI	PPI
STAT3	AGPAT1	BioGRID_genes	PPI	PPI
STAT3	HIF1A	STRING	PPI	PPI
STAT3	SNAI1	STRING	PPI	PPI
STAT3	MYCN	STRING	PPI	PPI
STAT3	EPAS1	STRING	PPI	PPI
SNAI1	CMAS	BioGRID_genes	PPI	PPI
SNAI1	MYCN	STRING	PPI	PPI
SNAI1	HIF1A	STRING	PPI	PPI
MYCN	ALOX12	BioGRID_genes	PPI	PPI
MYCN	HIF1A	STRING	PPI	PPI
ELF4	B3GALT4	STRING	PPI	PPI
EPAS1	CYBRD1	STRING	PPI	PPI
EPAS1	HIF1A	STRING	PPI	PPI
HIF1A	PNPLA6	BioGRID_genes	PPI	PPI
