Node	Label	Type
myo_inositol	myo_inositol	metabolite
ZBTB40	ZBTB40	TF
FASN	FASN	bridge_node
GLI1	GLI1	TF
P4HA1	P4HA1	bridge_node
MXD4	MXD4	TF
PKLR	PKLR	bridge_node
DBP	DBP	TF
FUT1	FUT1	bridge_node
ZHX2	ZHX2	TF
ALPL	ALPL	bridge_node
POU5F1B	POU5F1B	TF
PKM	PKM	bridge_node
