Node1	Node2	Source	Type	Category
myo_inositol	ANPEP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	HK3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	CP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	UROD	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	FUCA2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ANXA3	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
myo_inositol	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	AKR1B1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ANPEP	creatinine	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ANPEP	galactitol	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ANPEP	L_aspartic_acid	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ANPEP	ACE	STRING	PPI	PPI
HK3	L_aspartic_acid	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
HK3	AKR1B1	STRING	PPI	PPI
CP	L_aspartic_acid	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
CP	HMOX1	STRING	PPI	PPI
creatinine	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	UROD	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	FUCA2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
galactitol	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
galactitol	UROD	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
galactitol	FUCA2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
galactitol	AKR1B1	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
galactitol	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
galactitol	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	FOSL1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	HMOX1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	DNMT3L	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	ALAS1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	SLC15A2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	ATP1A1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	ARID4B	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	DARS	UniProtKB	metabolite-gene	Ambiguous
L_aspartic_acid	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	FUCA2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	UROD	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_aspartic_acid	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
FOSL1	CEBPB	STRING	PPI	PPI
FOSL1	DNMT3L	BioGRID_genes	PPI	PPI
HMOX1	MAFK	STRING	PPI	PPI
HMOX1	UROD	STRING	PPI	PPI
HMOX1	ALAS1	STRING	PPI	PPI
HMOX1	ACE	STRING	PPI	PPI
HMOX1	AKR1B1	STRING	PPI	PPI
VDR	ACE	STRING	PPI	PPI
VDR	CEBPB	STRING	PPI	PPI
VDR	NFKB2	BioGRID_genes	PPI	PPI
ACE	SLC15A2	STRING	PPI	PPI
ACE	AKR1B1	STRING	PPI	PPI
MAFK	UROD	STRING	PPI	PPI
MAFK	DNMT3L	BioGRID_genes	PPI	PPI
MAFK	CEBPB	STRING	PPI	PPI
UROD	ALAS1	STRING	PPI	PPI
DNMT3L	NFIL3	BioGRID_genes	PPI	PPI
NFIL3	FUCA2	BioGRID_genes	PPI	PPI
NFIL3	ALAS1	STRING	PPI	PPI
NFIL3	CEBPB	STRING	PPI	PPI
VENTX	SLC15A2	BioGRID_genes	PPI	PPI
VENTX	CEBPB	STRING	PPI	PPI
NFKB2	ATP1A1	BioGRID_genes	PPI	PPI
NFKB2	CEBPB	STRING	PPI	PPI
ATP1A1	CEBPB	BioGRID_genes	PPI	PPI
ZNF704	ARID4B	BioGRID_genes	PPI	PPI
CEBPB	ANXA3	BioGRID_genes	PPI	PPI
CEBPB	CNP	BioGRID_genes	PPI	PPI
CEBPB	AKR1B1	BioGRID_genes	PPI	PPI
CEBPB	DARS	BioGRID_genes	PPI	PPI
ZNF510	ODC1	BioGRID_genes	PPI	PPI
