Node1	Node2	Source	Type	Category
creatinine	SLC4A10	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	ENTPD3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	PXDN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	EEF2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
SLC4A10	L_threonine	Human1_GEM_dist1	metabolite-gene	Metabolic_pathway
ENTPD3	L_threonine	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_threonine	GDA	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_threonine	SLC26A8	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_threonine	GAD2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_threonine	OPLAH	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_threonine	APOC3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_threonine	EEF2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
L_threonine	PXDN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
MYT1L	PXDN	STRING	PPI	PPI
MYT1L	GAD2	STRING	PPI	PPI
GAD2	OPLAH	STRING	PPI	PPI
POU6F2	OPLAH	BioGRID_genes	PPI	PPI
NR1D1	APOC3	STRING	PPI	PPI
ZNF532	EEF2	BioGRID_genes	PPI	PPI
