Node	Label	Type
creatinine	creatinine	metabolite
MGAM	MGAM	module_gene
ENTPD2	ENTPD2	module_gene
SLC16A7	SLC16A7	module_gene
ENTPD3	ENTPD3	module_gene
EEF1A2	EEF1A2	module_gene
BCHE	BCHE	module_gene
glycerol_3_phosphate	glycerol_3_phosphate	metabolite
NEU4	NEU4	module_gene
B4GALNT1	B4GALNT1	module_gene
PRODH	PRODH	module_gene
ENPP6	ENPP6	module_gene
B3GNT4	B3GNT4	module_gene
AK5	AK5	module_gene
ALDOC	ALDOC	module_gene
GPD1	GPD1	module_gene
ST6GALNAC5	ST6GALNAC5	module_gene
ST8SIA5	ST8SIA5	module_gene
MYT1L	MYT1L	TF
PXDN	PXDN	bridge_node
ZNF217	ZNF217	TF
ACE2	ACE2	bridge_node
STOX2	STOX2	TF
CHDH	CHDH	bridge_node
MAFB	MAFB	TF
RPL36A	RPL36A	bridge_node
ACAD11	ACAD11	bridge_node
ZBTB18	ZBTB18	TF
AMY2B	AMY2B	bridge_node
