Gene_symbol	Protein_id	HMDB ID	FKH1_1	FKH1_2	FKH1_3	FKH1_4	FKH1_5	FKH1_6	HL60_1	HL60_2	HL60_3	HL60_4	HL60_5	HL60_6	KASUMI1_1	KASUMI1_2	KASUMI1_3	KASUMI1_4	KASUMI1_5	KASUMI1_6	Kg1a_1	Kg1a_2	Kg1a_3	Kg1a_4	Kg1a_6	ME1_1	ME1_2	ME1_4	ME1_5	ME1_6	MOLM13_1	MOLM13_4	MOLM13_6	MOLM16_1	MOLM16_2	MOLM16_3	MOLM16_4	MOLM16_5	MOLM16_6	MONOMAC6_1	MONOMAC6_2	MONOMAC6_3	MONOMAC6_4	MONOMAC6_5	MONOMAC6_6	MUTZ3_1	MUTZ3_2	MUTZ3_3	MUTZ3_4	MUTZ3_5	MUTZ3_6	MV411_1	MV411_2	MV411_3	MV411_4	MV411_5	MV411_6	OCIAML3_1	OCIAML3_2	OCIAML3_3	OCIAML3_4	OCIAML3_5	OCIAML3_6	OCIAML5_1	OCIAML5_3	OCIAML5_5	OCIAML5_6	OCIAML6_1	OCIAML6_2	OCIAML6_3	OCIAML6_4	OCIAML6_5	OCIAML6_6	OCIM1_1	OCIM1_3	OCIM1_4	OCIM1_6	SHI1_1	SHI1_2	SHI1_3	SHI1_4	SHI1_5	SKM1_1	SKM1_2	SKM1_3	SKM1_4	SKM1_5	SKM1_6	THP1_1	THP1_2	THP1_4	THP1_5	THP1_6	UCSDAML1_1	UCSDAML1_2	UCSDAML1_3	UCSDAML1_4	UCSDAML1_5	UCSDAML1_6
____camphanic_acid_C18	NA	NA	-0.325889847785244	-0.467920200570275	-0.643322012516777	-0.22019531870659	-0.213389136702154	-0.386850255812166	-0.156270783980217	-0.240303469683284	-0.34733338293367	-0.298753752920145	-0.460577016784611	-0.815010087159136	-0.290367668379333	-0.314653051572243	-0.457473005376288	-0.117983305035249	-0.267641596940219	-0.072431249703591	-0.184233998927288	-0.602448747160618	-0.499117791182511	-1.03957983842575	-0.36788812309449	-0.310147106130132	-0.0872433710183086	-0.170822167610083	-0.276682968853302	-0.092102244642658	-0.385164791040726	-0.280056548347656	-0.261643753628627	-0.476691372197135	-0.481679091239176	-0.242096863890341	-0.830548586021097	-0.490202736375102	-0.82896157930873	-0.575217074316306	-0.53294526059732	-0.181212645112023	-0.440006020060162	-0.367920290561311	-0.355254573802556	-0.278277188364395	-0.500079474295787	-0.158479266330452	-0.477029052606248	-0.47229151373079	-0.541455865227455	-0.303742676041021	-0.262781540454819	0.124099870796203	-0.32490797626225	-0.27200391210408	-0.245537233790215	-0.126714411303015	-0.36820186488179	-0.575981988926176	-0.454938780931144	-0.523760714148985	-0.22069860060661	-0.304882414882784	-0.408168058292734	-0.334380139692162	-0.544859958570427	-0.14316588279852	-0.543241414175091	-0.55059844061533	-0.717405671031296	-0.586463752372814	-0.296068497859367	-0.503483476867399	-0.58844427069948	-0.746413533673371	-0.483167408250426	-0.179811537759552	-0.3564907025704	-0.354542643951037	-0.0345268958244151	-0.328987878553413	-1.05375727623115	-0.579746992127078	-0.477070438837171	-0.600341636036959	-0.444970667804013	-0.653568243221026	-0.312206305736925	-0.480412705320522	-0.825532550424899	-0.585091185341034	-0.8495741287208	-0.74692497422265	-0.191658993840622	-0.405333434685915	-0.517199292058662	-0.21563054120265	-0.31862911763951
____camphor_HI	NA	NA	0.215309392713927	0.706120162144818	0.848713549241374	1.37098170814769	0.608834528984649	0.845534218039148	0.443092960737518	0.181424433771355	1.16385188091559	0.980365734262742	0.382850678656549	0.295645817613789	0.716689958927971	0.400461093380014	0.994678434919824	0.363626935485747	0.394833322302393	0.738791958514367	0.625754541070835	1.05771015227244	1.05102458600426	0.803041002345611	0.808776780138408	1.22263882385964	1.1422009720766	0.846806074455348	1.40381660344131	0.749023156910018	1.15349661853662	0.997815584662902	0.538369718600307	0.385645959712757	0.323645680074984	0.485495814780412	1.02206566087615	0.539364201271683	0.830571303702727	0.995247885514297	0.941897264259298	0.724421909601456	0.865854933765267	0.529575221213932	0.866321137935727	0.417834208695063	0.306794524102637	1.12763081894843	0.999513480556784	0.928902258270698	1.41531099144101	1.27720850163035	0.214675594009431	0.992155232265449	1.09808782524587	0.767232569828554	0.946261476804163	1.45494721291641	0.367886898863311	1.11702223165732	0.522328371403807	0.401870004687057	0.530626260950506	0.30325135377018	0.696585275585631	0.444196643588163	1.21361914325567	0.898077866014191	1.04376051437706	0.886142858139757	0.793853418641496	0.7692115804383	0.829786234884565	0.777545677793924	0.618579631403811	1.02677170808696	1.02793607621221	0.941504424662361	0.257934974197333	1.31065568963251	0.947059851921186	0.864604902205301	0.629422093302416	0.46215494144994	1.31252131040377	0.471750871222644	0.197331691394765	0.469121762414977	0.704401464309131	0.199735615318499	0.381701824622195	0.278595098308437	0.441912395537629	0.825720392527678	0.366253654059654	0.243435771373632	0.325763438654642	0.372022284051906	0.330116288318787
__/___abscisic_acid_C18	NA	NA	-2.46787053983443	-3.23059570448594	-3.32156944943285	-2.19019747863878	-1.88588988266675	-2.59174916999808	-2.94243415016626	-2.85499304268549	-3.13168162919738	-3.1969246449686	-2.99304173640396	-2.78891503155732	-3.01920950097784	-2.62150036579557	-2.92390919671415	-2.97267086720264	-2.18616826397881	-1.04791757126382	-2.82132635943393	-0.702356647130328	-3.15010506557984	-3.00194631994009	-3.06672375208794	-2.78653167582986	-2.59708537974906	-2.51453191549478	-3.35195353902745	-2.90764917442392	-1.80008348497819	-2.86114130887098	-2.11287982874254	-2.53241707872982	-2.5372719149182	-1.91333343981876	-3.02246915206377	-2.63093397534384	-1.6685594592455	-2.79490502656567	-2.88167513702419	-1.57877519760901	-3.00436739235975	-3.08560456957405	-3.22599242579421	-2.81527872825193	-1.83681443266455	-1.62499156260709	-2.35404258824559	-1.59550825958807	-1.35912667615416	-1.12957131705497	-1.5294981954899	-2.45145508842075	-1.81794659990118	-3.03977602194323	-3.10762198063898	-2.68038918262127	-1.96662525927571	-1.97526709306584	-1.71081606364725	-2.49698343082806	-2.6936473604817	-1.66535263922146	-2.36649077165081	-2.74015104038535	-2.32000443392345	-0.732509606862037	-2.9607681460916	-2.24381065043981	-2.49061055923145	-2.9662902096228	-1.97371459745864	-3.09722511376992	-1.92995618189364	-2.78958356368901	-2.72009077270054	-2.34312895456433	-2.24188817606704	-2.36948229609421	-2.14481979210343	-2.52238586939543	-2.56522278603077	-2.49761868078323	-2.83749475609867	-0.844647359828537	-2.91921725642983	-2.32205213605234	-1.53788308669169	-2.74520416126679	-1.48659325317459	-2.96806668458121	-2.41679163351672	-0.494575443281993	-2.66567447730963	-2.18605009960168	-1.93180064647245	-2.52183037684095	-2.66820273591205
__/__12_hpete_HI	NA	NA	-0.748175468946762	-0.225656498593304	-0.734187766509497	-0.473698734466695	-0.786431089026438	-0.61509224947045	-0.345721565727721	-0.313014794133226	-0.559178519490539	-0.31368413456297	-0.466487881634644	-0.354177860322383	-0.357804618713259	-0.442055908738078	-0.351581520386896	-0.659440057310445	-0.485999674557082	-0.937747203861716	-0.450523621228008	-0.642677973882962	-0.358967492382007	-0.341991987894901	-0.489327450288624	-0.607784967726207	-0.561348725745145	-1.25843477867385	-0.66639141901213	-0.842055702699634	-0.564368490686211	-0.728957910419928	-0.43158548401853	-0.652983994382586	-0.516726550988073	-0.479975611488233	-0.403056555628091	-0.391641512205707	-0.641875589841454	-0.619272024576113	-0.437494967078473	-0.914432008112133	-0.57140394920201	-0.547391142191508	-0.545812255267309	-1.25446838966529	-0.300570903430374	-0.423524329352451	-0.354769086080327	-1.48713439333447	-0.778455857911412	-0.741179409836107	-0.501699538245932	-0.857602606407135	-0.0872208655763512	-0.24783173049689	-0.368790883976163	-0.133244884552742	-0.679130200811596	-0.638496790916953	-0.345456407648244	-0.570426173927635	-0.650253558766547	-1.2885492803202	-0.420946025825791	-0.572177908859888	-0.769063873155169	-0.734111490392093	-0.550325313367423	-0.348343280628155	-0.586146907611901	-0.431229664023576	-0.37848890653842	-0.259134031156881	-1.5283207987348	-0.777350429132304	-0.410483313737132	-1.26727857902055	-0.335571733199231	-0.630188710789277	-0.261724332836758	-0.447213463180794	-0.4988809151657	-0.501093828851184	-0.505628046708584	-0.552733977513111	-0.455970024465361	-1.27909064118651	-0.249455410912299	-0.0120393658115997	-0.471684489447942	-0.451241906806979	-0.44344004733015	-0.464976958156501	-0.336246833263444	-0.54919513015711	-0.66782511584668	-0.499318187051187	-0.198949084041449
__/__9_10__dihome_HI	NA	NA	-2.13189583517397	-1.90730216422761	-2.00703681821021	-1.57733109187444	-2.14568992639286	-2.23827957599925	-2.00149626550378	-1.8640492495284	-1.69679222194966	-1.73852949112917	-1.58380393777313	-1.78137284962922	-1.62020358908007	-1.6870617632888	-2.01221040520894	-1.75544913444252	-2.01755822193485	-1.59767217900611	-1.7012919027306	-2.04924284662673	-2.03971612179327	-2.07234428159824	-1.91422383388261	-2.11098583380592	-1.92116772194513	-1.86042358311566	-1.84275480141641	-1.98365740808517	-2.20463956239704	-1.91971532541005	-1.59689921495909	-1.87656597399917	-2.02253815581348	-2.25154252940529	-1.95905566725507	-2.17858561028216	-2.27621835379544	-1.89696478973365	-1.82140164385217	-1.77159140018239	-1.83349755811853	-1.8092337148149	-1.89581190387747	-1.45836285490243	-1.63555762024209	-1.70675040659063	-1.60069456429701	-1.73208456322847	-2.22162356851626	-1.97470935849835	-1.93423435086298	-1.94890255673379	-1.61552341760164	-1.72981872579606	-1.89249214083392	-1.79981167632095	-1.85738543217575	-1.95589727331172	-1.93519829797459	-1.90369126783893	-1.75559588453658	-1.90429600801322	-1.94868231116105	-1.20634720113013	-1.89426947401686	-1.98259381392905	-1.89901751042522	-1.93179019108182	-2.09242625452163	-1.88534831106276	-1.89543184216572	-2.3677532144175	-2.13296586630466	-2.29967507782001	-1.83114453548191	-1.56319128719573	-1.66412966703685	-2.02437144867641	-1.70708898026668	-1.97963002145333	-2.03038348891324	-1.88963907498917	-1.7806929308559	-1.98606249944789	-2.04031981737188	-1.99063755886428	-1.95514704977536	-1.3618581653179	-2.04387475214935	-1.98233564055256	-1.91225049944257	-1.87364930340614	-1.85631432871901	-2.16697069671843	-1.82811455717247	-2.08776618291294	-2.02588572348469
__/__9_hode_HI	NA	NA	-1.56065502800337	-1.43531323980631	-1.45588340213694	-1.28680799713281	-1.52857843425122	-1.13418641434398	-1.69376510972599	-1.24145623990038	-1.21519062303751	-1.51315533010971	-1.43755291037848	-1.59027264394313	-1.31674463794336	-1.48058276943141	-1.2792307119476	-1.39087033850544	-1.26134329809028	-1.5584791404877	-1.36518503303821	-1.4263771296551	-1.20667015175354	-1.35297413021315	-1.48317344260821	-1.50869402808031	-1.29177100127015	-1.54456277319855	-1.47167829158978	-1.38905349198006	-1.60591815993929	-1.31817304190534	-1.37252719117978	-1.61348523468389	-1.54982143808543	-1.41016505419855	-1.52205092814312	-1.54416782664965	-1.36129827800599	-1.52738357514541	-1.323161931819	-1.3836633043295	-1.4557796200711	-1.51446863854692	-1.4561945900208	-1.67534849926331	-1.40001782845453	-1.53653935923239	-1.53182140545703	-1.73113720869092	-1.51863709542278	-1.73707723245745	-1.42288103724053	-1.46267914491077	-1.20514546062533	-1.27617816533114	-1.45408459764757	-1.48712168586649	-1.67322321736955	-1.11318242662647	-1.62860150051265	-1.62806423405784	-1.61054818783991	-1.30764002998573	-1.3155007880048	-1.34886488157732	-1.41266965441278	-1.48651779954083	-1.7151323091778	-1.79604863441536	-1.69234808945819	-1.66729269255653	-1.53847153696703	-2.04313690892988	-1.77611310417633	-1.60687616052821	-1.53729957394691	-1.59187303964526	-1.75563708039097	-3.55818388414377	-1.39950838419704	-1.37245712132397	-1.62702122682634	-1.47448059995163	-1.32623713878111	-1.559373765773	-1.54578328304452	-1.16329532524531	-1.47659796521664	-1.38782643966742	-1.44237043896113	-1.02720904603029	-1.55060979167123	-0.984287579090797	-1.55644651471557	-1.478154389557	-1.43421641741197	-1.44873876402434	-1.33167552274455
_±__2_hydroxy_4__methylthio_butanoic_acid_HI	HMDB0037115	HMDB0037115	-0.244617480714193	-1.01804732525386	-0.749797123558233	-1.00615515454023	-0.313075796729861	-0.214769005740608	-0.930585515733042	-1.47062847781644	-0.732409804698759	-1.24845018644766	-1.3421529543762	-1.15644148710221	-1.19245979882459	-1.82758777997393	-2.26311952887006	-1.19716702963791	-1.50001282220085	-0.446755743394	-0.837874218126491	-1.0005673260696	-1.24315223443875	-0.891760595791551	-1.25852548388162	-1.30216913756458	-1.91896007579621	-1.36873660461645	-1.68176877894024	-1.00967499165018	-1.19945915216255	-1.64795343824369	-1.3183063435715	0.252481526224259	-1.09107310857448	-0.276430720531605	-0.138932395594854	-0.440952304245018	-0.354663901164748	-0.782877010389576	-0.992306135002896	-0.908977223985706	-0.991653020026298	-0.379422679264056	-0.672991809846437	-1.85758341989313	-1.09880540229464	-1.63127411553072	-2.05114988821595	-1.50934311615479	-1.88485070441072	-2.46723506134075	-1.73366001513593	-1.69143304260126	-0.940935032175597	-0.79142742433842	-1.73815063711377	-1.67072508826783	-1.96790996705008	-1.48114449369157	-1.35825209156431	-0.44597531756146	-1.2384561818238	-0.836487220903706	-2.47717437978069	-1.04288576202121	-1.30188423024576	-0.49580992477509	-1.10413589371149	-1.04546138016405	-1.32407464922802	-0.338395340165645	0.000572012716083889	0.48668151787522	0.92725709286414	0.315917296046074	-0.585092020796604	-1.08047543692836	-1.3872537831906	-0.481079642840068	-0.501186801252843	-0.713449378415599	-0.592171842319575	-1.88230027609992	-0.963416052991145	-1.06977092020736	-0.865088771847193	-1.08539948032196	-0.507951762506978	-0.689726657072786	-0.44651044161272	-0.293756267911314	-0.658414982956009	-0.364039298804992	-0.154360421120632	0.0872144640893364	-0.825228250958734	-0.0511357183879088	0.109112226656184
_±__tryptophan_HI	HMDB0030396	HMDB0030396	-0.404611566354533	-0.844049943293848	-0.872489025152333	-1.57938578133181	-0.410510775225496	-0.306898526958467	-0.887241429672206	-1.06218841927098	-1.24099801491545	-0.947117493890372	-1.25976774841312	-1.18663402309643	-1.05697684902352	-1.0461008470744	-1.00382237234239	-1.32264822169418	-1.30813733233126	-1.02346528635605	-0.823028834414422	-0.79306434481511	-0.482749613196578	-0.834111344946065	-1.0610329822722	-1.43309846874262	-1.30678052764314	-1.19805309815975	-1.28462747209204	-1.48941717324646	-0.851118920053659	-1.19351556823614	-0.939992004683146	-0.606028173672653	-0.679419562432733	-1.02001028195455	-1.54426513548626	-0.905323085055277	-0.827221120545685	-0.716494559282774	-1.08345576672084	-1.15798037974465	-1.06229870765087	-0.850424283268137	-0.733129210147318	-0.506212584629599	-0.488545085748034	-0.456639076647369	-1.1112959603396	-1.24672870867634	-0.553754454859925	-0.877145050688554	-0.843508021785377	-0.86230090886789	-0.984709943009499	-0.812018764173191	-1.01347573570338	-0.773697815380758	-1.06342162690711	-0.80151969227165	-0.706859596944047	-0.484032295875773	-0.690690783109329	-0.639103036607874	-0.898823622553112	-0.57037126522816	-0.67519398319296	-0.321401952450854	-0.458443405087994	0.0296738130961704	-0.320501200625579	-0.333585043757672	0.134993719210809	0.710244582429524	0.581526670720134	0.734267078592953	-0.134720529663074	-0.726720478917785	-0.943246311278671	-0.637490517729402	-0.327556272162169	-0.998945997643213	-0.683995141647524	-1.57642298014817	-1.31238807490146	-1.04795655742436	-0.98766740733942	-1.13048410712449	-0.993878542345537	-0.689046045648396	-1.20293857961165	-0.335368191034233	-0.539642340119798	-0.0538302290431636	0.260923027342056	0.464588823386115	0.355686949667523	0.277687014106395	0.529539469172975
_2e__2_[2__1,2,4a,5_tetramethyl_1,2,3,4,4a,7,8,8a_octahydronaphthalen_1_yl_ethyl]but_2_enedioic_acid_HI	NA	NA	-0.424332788246054	-0.214849822141252	-0.164951125857478	-0.314505705199301	-0.117009865736551	-0.453933394151046	-0.440321700591311	-0.108697119966006	-0.444140170508615	-0.226400093528648	-0.289820580074523	0.0415335020590937	-0.206102626042686	-0.193505682572075	-0.371270476486042	-0.307905422375108	-0.0893282552206599	-0.416774078783802	-0.0402004586581508	-0.256968275161142	-0.394784597134385	-0.63350930156031	-0.249084004263707	-0.417015832487037	-0.240388129693293	-0.529039830495929	-0.317130930325211	-0.265989069047447	-0.297577715746868	-0.0904367356817803	-0.250893459402869	-0.238369017382334	-0.372444181269871	-0.464649020938727	-0.689692452515965	-0.379455559846775	-0.639747199493848	-0.378592002569824	-0.304831634690277	-0.344914051517603	-0.383974002906819	-0.602199353021482	-0.248090990404226	-0.312518845728068	-0.29486906286573	-0.568307458134376	-0.417460837598056	-0.284523002178039	-0.535005188419144	-0.071556293569172	-0.267153885752941	-0.0497274786804026	-0.550630836828966	-0.277901462491701	-0.0418312166047319	-0.319458093620767	-0.315973602084076	-0.425133882846303	-0.229037407563285	-0.30499990776106	-0.221799050317237	-0.15870753291247	-0.349892597692886	-0.229433016544351	-0.492628875559861	-0.213366136406389	-0.394640828644973	-0.507483810519017	-0.163537952325589	-0.185407386385484	-0.325443668331105	-0.6613189688916	-0.309726821435503	-0.401085461899746	-0.233549086194671	-0.413135548996225	-0.221247729234608	-0.27952626244165	-0.453429641755051	-0.238340652254169	-0.251410076563205	-0.4152396889367	-0.583121900418206	-0.485597447217489	-0.322860353569243	-0.0739451701835416	-0.212752963539989	-0.191832566912283	-0.687761721358742	-0.55458939114859	-0.154679562621562	-0.419160516380187	-0.232993474648612	-0.358011324434052	-0.317264305626167	-0.387231248211507	-0.32128592941813
_2e__6_hydroxy_2_methyl_6__4_methylphenyl_hept_2_enoic_acid_HI	NA	NA	1.38997955973027	1.33578008181262	1.60471328835853	1.49854609855555	1.31064130072926	1.33833303505869	1.39105299326221	1.51098857520862	1.44970697215256	1.43797123135344	1.41499383104594	1.43358983174541	1.3935087588541	1.39562036883894	1.54764764889494	1.47393019031807	1.3810920569084	1.35047872903014	1.41942804637731	1.34955193688251	1.42500321586061	1.41495815439917	1.40781065429396	1.39199470566197	1.37620162488339	1.28525101372324	1.28827911762201	1.41005312206574	1.47108744370944	1.41907081888148	1.429325209648	1.26655732054925	1.28630528056602	1.28101594104101	1.26953854094861	1.24693528135629	1.3421574007769	1.33023611133534	1.35568780855066	1.35631089357147	1.3493117418868	1.28150001674393	1.29513979257667	1.454592639081	1.32868501106746	1.43609264257874	1.5011186115151	1.42851234782588	1.42469178713972	1.31351888461716	1.29752682548812	1.31107369528785	1.48754186715508	1.34026947204385	1.34813657680888	1.56806581066206	1.31205139093977	1.38403905593914	1.29869041522606	1.22630779814273	1.33054244101485	1.41960590117068	1.51043165026697	1.2906659802902	1.50717994333647	1.27948262906007	1.39949235164374	1.21796144245487	1.20328240423921	1.22546885819449	1.30511364145617	1.12850236048015	1.23129889377042	1.2311176677378	1.30222775130011	1.38726914732052	1.34183100144844	1.34896744850681	1.38677593197821	1.31404607699097	1.26466436452146	1.34934119407202	1.3539269148654	1.38480540959955	1.26501105960271	1.45016034751557	1.30817019781351	1.38425387129436	1.34150033706015	1.35043627205328	1.40537743646905	1.40247812538716	1.33146731529379	1.40227553932026	1.35612343967129	1.65563527533889	1.39238002730149
