Regulator	Target	Score	Lemon_module	Type
H1_[21]_(K)_Ac	GSTZ1	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	HSPB1	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	HDHD5	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	DHTKD1	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	DHRS7B	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	PLA2G15	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	NDUFB4	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	GNS	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	MLYCD	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	ERN2	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	SLC27A1	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	ADISSP	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	ACADVL	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	ACADS	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	NDUFB7	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	THNSL1	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	GK	15.930555982352995	3	hPTMs-gene
H1_[21]_(K)_Ac	MRM1	15.930555982352995	3	hPTMs-gene
H4_[8]_(K)_Ac	ATP5MG	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	SLC25A11	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	APAF1	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	NDUFA3	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	CORO1B	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	NDUFB8	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	PEX11B	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	MPDU1	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	NDUFA11	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	NDUFA2	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	GSTZ1	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	HSPB1	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	HDHD5	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	DHTKD1	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	DHRS7B	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	PLA2G15	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	NDUFB4	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	GNS	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	MLYCD	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	ERN2	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	SLC27A1	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	ADISSP	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	ACADVL	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	ACADS	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	NDUFB7	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	THNSL1	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	GK	10.80531286197042	3	hPTMs-gene
H4_[8]_(K)_Ac	MRM1	10.80531286197042	3	hPTMs-gene
H1_[145]_(K)_Unmod	ATP5MG	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	SLC25A11	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	APAF1	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	NDUFA3	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	CORO1B	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	NDUFB8	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	PEX11B	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	MPDU1	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	NDUFA11	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	NDUFA2	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	GSTZ1	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	HSPB1	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	HDHD5	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	DHTKD1	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	DHRS7B	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	PLA2G15	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	NDUFB4	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	GNS	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	MLYCD	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	ERN2	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	SLC27A1	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	ADISSP	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	ACADVL	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	ACADS	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	NDUFB7	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	THNSL1	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	GK	4.266269807030196	3	hPTMs-gene
H1_[145]_(K)_Unmod	MRM1	4.266269807030196	3	hPTMs-gene
H4_[12]_(K)_Ac	ATP5MG	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	SLC25A11	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	APAF1	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	NDUFA3	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	CORO1B	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	NDUFB8	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	PEX11B	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	MPDU1	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	NDUFA11	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	NDUFA2	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	GSTZ1	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	HSPB1	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	HDHD5	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	DHTKD1	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	DHRS7B	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	PLA2G15	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	NDUFB4	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	GNS	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	MLYCD	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	ERN2	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	SLC27A1	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	ADISSP	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	ACADVL	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	ACADS	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	NDUFB7	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	THNSL1	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	GK	4.225891321271134	3	hPTMs-gene
H4_[12]_(K)_Ac	MRM1	4.225891321271134	3	hPTMs-gene
H31_[27]_(K)_Me3	PTPRJ	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	ARID3A	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	SLC12A9	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	TREX1	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	TLR2	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	CD300LF	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	IAH1	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	GRN	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	ATG7	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	PRTN3	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	SERPINB8	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	SELENOT	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	CYBB	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	CYBA	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	HRAS	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	CD70	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	HEXB	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	CLGN	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	GNB2	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	SIRPA	15.150344768516346	4	hPTMs-gene
H31_[27]_(K)_Me3	EPB41L3	15.150344768516346	4	hPTMs-gene
