Module	Coherence_Score
11	0.6875771244782224
1	0.6795625807690888
10	0.6497246271762743
6	0.621546879154738
7	0.6064119185709734
4	0.5907144136080433
9	0.586020316102422
13	0.585377526337469
16	0.5789910007995138
22	0.5633010944217228
3	0.5527023543492184
21	0.5244403462771647
19	0.49508315328440367
2	0.43645836451073994
18	0.4175241493524991
12	0.4008060616417387
20	0.39420701383771084
17	0.31897370763043487
14	0.2733814671874324
0	0.2700993482918754
15	0.26026265161202405
8	0.26018291679867084
5	0.2352840028914162
