Regulator	Targets
n_acetylputrescine_C18	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
phenylacetylglycine_HI	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1
n6,n6,n6_trimethyl_l_lysine_HI	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
creatinine_HI	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
choline_C18	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
d_glucuronolactone_C18	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2
o_acetylcarnitine_C18	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2
n_acetylalanine_HI	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
dl_alanine_HI	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2
isocytosine_HI	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2
