Node1	Node2	Source	Type	Category
creatinine	LPL	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	SLC47A2	UniProtKB	metabolite-gene	Ambiguous
creatinine	SLC16A7	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	PXDN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
LPL	myo_inositol	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
SLC16A7	myo_inositol	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ST6GALNAC2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	SLC13A4	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	GAD2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	PI4KA	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	SLC38A2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	PXDN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
MYT1L	PXDN	STRING	PPI	PPI
MYT1L	GAD2	STRING	PPI	PPI
MYT1	PI4KA	STRING	PPI	PPI
SOX8	SLC38A2	STRING	PPI	PPI
