Node	Label	Type
2_hydroxyglutaric_acid	2_hydroxyglutaric_acid	metabolite
myo_inositol	myo_inositol	metabolite
SIX1	SIX1	TF
P4HA3	P4HA3	bridge_node
ZNF300	ZNF300	TF
SLC26A1	SLC26A1	bridge_node
PATZ1	PATZ1	TF
