Node1	Node2	Source	Type	Category
2_hydroxyglutaric_acid	MDH1	UniProtKB	metabolite-gene	Ambiguous
myo_inositol	ST3GAL3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	FUT5	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	IMPA2	UniProtKB	metabolite-gene	Ambiguous
myo_inositol	ALPL	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
D_glucose	MOGS	UniProtKB	metabolite-gene	Ambiguous
D_glucose	IMPA2	UniProtKB	metabolite-gene	Ambiguous
ZBTB5	ST3GAL3	BioGRID_genes	PPI	PPI
ZBTB5	SOX2	BioGRID_genes	PPI	PPI
ST3GAL3	FUT5	STRING	PPI	PPI
RFX3	FUT5	STRING	PPI	PPI
RFX3	SOX2	STRING	PPI	PPI
SOX2	MDH1	BioGRID_genes	PPI	PPI
SOX2	IMPA2	BioGRID_genes	PPI	PPI
SOX2	MOGS	BioGRID_genes	PPI	PPI
ZHX2	ALPL	STRING	PPI	PPI
