Node1	Node2	Source	Type	Category
myo_inositol	GANC	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ALDH1A3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	GGT7	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	INPP4B	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	LRRC8A	UniProtKB	metabolite-gene	Ambiguous
myo_inositol	GPX1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	ODC1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	HK1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ZNF780A	GANC	STRING	PPI	PPI
GANC	GGT7	STRING	PPI	PPI
GANC	HK1	STRING	PPI	PPI
POU3F3	ALDH1A3	BioGRID_genes	PPI	PPI
ZHX1	GGT7	STRING	PPI	PPI
GGT7	GPX1	STRING	PPI	PPI
ZNF131	INPP4B	BioGRID_genes	PPI	PPI
MECOM	LRRC8A	STRING	PPI	PPI
SALL2	GPX1	BioGRID_genes	PPI	PPI
ZNF510	ODC1	BioGRID_genes	PPI	PPI
ZFP14	HK1	BioGRID_genes	PPI	PPI
