Node1	Node2	Source	Type	Category
2_hydroxyglutaric_acid	P4HA3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
2_hydroxyglutaric_acid	PLOD2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
2_hydroxyglutaric_acid	CYP4F12	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
2_hydroxyglutaric_acid	GAD1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	ACE	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	AGPAT3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	ACE2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	AMY2B	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	AKR1A1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
SATB1	P4HA3	BioGRID_genes	PPI	PPI
SATB1	FOXP2	BioGRID_genes	PPI	PPI
P4HA3	PLOD2	STRING	PPI	PPI
SALL4	ACE	STRING	PPI	PPI
CREB3L1	PLOD2	STRING	PPI	PPI
CREB3L1	AGPAT3	BioGRID_genes	PPI	PPI
ZNF217	ACE2	BioGRID_genes	PPI	PPI
ZNF217	ZBTB18	BioGRID_genes	PPI	PPI
ZBTB18	CYP4F12	BioGRID_genes	PPI	PPI
ZBTB18	AMY2B	BioGRID_genes	PPI	PPI
FOXP2	GAD1	STRING	PPI	PPI
SOX10	AKR1A1	STRING	PPI	PPI
