Node1	Node2	Source	Type	Category
glycerol_3_phosphate	FUT9	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	AMY2B	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	AKR1A1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	NEU4	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	CANT1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	FASN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
glycerol_3_phosphate	PXDN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	AMY2B	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CNP	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	PXDN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CANT1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	FASN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
2_hydroxyglutaric_acid	CYP4F12	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
2_hydroxyglutaric_acid	ASPH	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
2_hydroxyglutaric_acid	GAD2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
ZBTB18	AMY2B	BioGRID_genes	PPI	PPI
ZBTB18	CYP4F12	BioGRID_genes	PPI	PPI
KCNIP3	ASPH	BioGRID_genes	PPI	PPI
SOX10	AKR1A1	STRING	PPI	PPI
SOX10	CNP	STRING	PPI	PPI
MYT1L	NEU4	STRING	PPI	PPI
MYT1L	PXDN	STRING	PPI	PPI
MYT1L	GAD2	STRING	PPI	PPI
ETV4	CANT1	STRING	PPI	PPI
REST	FASN	BioGRID_genes	PPI	PPI
