Node	Label	Type
2_hydroxyglutaric_acid	2_hydroxyglutaric_acid	metabolite
glycerol_3_phosphate	glycerol_3_phosphate	metabolite
SATB1	SATB1	TF
P4HA3	P4HA3	bridge_node
SALL4	SALL4	TF
ACE	ACE	bridge_node
CREB3L1	CREB3L1	TF
PLOD2	PLOD2	bridge_node
AGPAT3	AGPAT3	bridge_node
ZNF217	ZNF217	TF
ACE2	ACE2	bridge_node
ZBTB18	ZBTB18	TF
CYP4F12	CYP4F12	bridge_node
AMY2B	AMY2B	bridge_node
FOXP2	FOXP2	TF
GAD1	GAD1	bridge_node
SOX10	SOX10	TF
AKR1A1	AKR1A1	bridge_node
