Module	coherence_score
75	0.9148076066314015
14	0.8978362415253895
45	0.8958837414787008
16	0.8936685014744029
0	0.8458612584825854
7	0.8428715934368757
52	0.8399763748501231
44	0.8377358522772679
64	0.8351920254338054
104	0.833425718397224
38	0.8328518751106403
62	0.8295931811816991
1	0.821309368009181
61	0.8184093549829256
3	0.8063038558768747
71	0.8054350215209124
5	0.7972521050807528
78	0.7932315981866894
20	0.7887410456349148
86	0.7845101416035686
11	0.782135792152806
48	0.7797993107850892
34	0.7795749083105069
77	0.7780247447151765
68	0.7735034851724369
24	0.7733132407980503
17	0.7683700435376328
108	0.7664809951362919
21	0.7664120963669924
69	0.7621272144413702
84	0.7584601975229802
103	0.7571577006320894
8	0.7476934573786657
18	0.7475538128167523
9	0.7358161636867258
99	0.7316063309576267
81	0.726866676166727
27	0.7263844000684463
6	0.7210227902686088
23	0.714422650237498
2	0.7014543951696386
41	0.6989523004811191
10	0.6978157595139984
96	0.6957251787046308
72	0.6956756702269893
90	0.695562615996308
54	0.6949020736916343
59	0.6788065861010298
35	0.6748145724989998
89	0.6702051616679071
85	0.6694440300766171
110	0.6668038349246262
15	0.659862057293409
87	0.6560703358832811
4	0.6522174963556638
67	0.6473951884148086
42	0.6457279340208744
118	0.640226854973546
94	0.6299858674368116
32	0.6290522322466231
36	0.6241722166764885
50	0.6208869809782336
31	0.6174215843148232
115	0.6136526666534294
49	0.6132685709806313
80	0.6125911776123972
100	0.6080840636929289
82	0.6071683971374361
53	0.6063988200390797
66	0.6062351907237847
98	0.6042020924624152
73	0.5939572403510738
19	0.5893309897054542
13	0.5886001509422022
91	0.5849445130119365
30	0.581460184800857
65	0.5556286609854494
43	0.5491734356861514
114	0.5419195075223218
25	0.5377096121660102
105	0.530868473031945
46	0.5270864176483722
76	0.5262404178565415
117	0.5210858933101821
29	0.5207192904840688
122	0.5087045936094511
51	0.5038916246192038
58	0.5025411073930793
47	0.5015173596807548
