Regulator	Targets
indoleacrylic_acid_HI	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
myo_inositol_HI	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
l_proline_HI	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
allopurinol_HI	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A|NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170
_±__tryptophan_HI	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
hypoxanthine_C18	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A|NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170
pantothenic_acid_C18	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
valine_HI	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
2_methylbutyroylcarnitine_HI	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
cuminaldehyde_HI	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
propionylcarnitine_C18	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
n8_acetylspermidine_HI	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3|DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
hexanoylcarnitine_HI	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
4_hydroxyhippuric_acid_HI	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
d_sphingosine_HI	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
citroflex_4_C18	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
o_phosphoethanolamine_HI	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
alpha_methylhistamine_C18	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
aspartame_HI	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
d_____galactose_HI	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8|IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
np_015114_HI	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
2,6_dimethylpyrazine_C18	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
3_{2_[_1r,4as,5r,8as__6_hydroxy_5__hydroxymethyl__5,8a_dimethyl_2_methylidene_decahydronaphthalen_1_yl]ethyl}_2,5_dihydrofuran_2_one_HI	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
phenylacetylglycine_HI	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9|NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170|DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
