Module	Coherence_Score
7	0.7355041663646418
18	0.65915549502393
15	0.6459386367659238
1	0.6351448169115814
20	0.5925710339144709
14	0.5915197774379106
12	0.5909494755086878
9	0.5760527662271888
16	0.56135879784961
4	0.5542244003330526
8	0.5485766849979873
0	0.5047472225956433
3	0.4986245152151723
5	0.43495070238042655
24	0.4349173606969441
26	0.43280650143748856
10	0.429880519277655
21	0.4026770806603868
17	0.3751470033469034
25	0.3352347386262725
19	0.32961039730024816
6	0.29832633621995974
2	0.27512887567252325
13	0.25969460823077595
23	0.2555254706928609
22	0.2434918767564694
11	0.23968839371328948
