ZNF112	0	 27.478196
ZNF227	0	 24.890174
ZNF230	0	 14.540655
ZNF283	0	 13.709993
ZNF284	0	 12.785659
ZNF461	0	 11.760564
ZNF225	0	 11.634025
ZNF772	0	 11.116957
ZNF614	0	  9.228246
MYT1L	1	122.174196
ZNF619	1	  7.486362
MYT1L	2	101.152210
GMEB2	2	  8.958698
ZNF136	3	 22.906910
ZNF417	3	 20.431671
ZNF587	3	 17.453910
ZNF548	3	 15.481243
ZNF841	3	 12.919730
ZNF791	3	  9.806760
ZNF333	3	  9.616776
ZNF383	3	  9.474345
ZNF14	3	  8.126581
VDR	4	110.800228
CEBPB	4	  9.261777
ZNF519	4	  7.470972
ZNF253	5	 50.154989
ZNF519	5	 22.731547
STAT6	5	 12.526787
ZNF726	5	 12.121908
ZNF730	5	 11.321070
ZNF254	5	  9.814958
ZNF43	5	  9.792928
ZNF287	5	  9.067209
FOXJ1	6	132.930687
ZNF165	6	  8.428341
ZNF396	6	  7.343237
POU6F2	7	 43.501543
MYRF	7	 40.962639
STAT2	7	 10.202414
E2F5	7	  9.115176
LHX6	7	  7.673297
FOXL1	8	 22.794025
FOXC2	8	 13.866279
IKZF5	8	  9.363069
HIC1	8	  9.246523
ZNF275	8	  8.348514
MYT1L	9	 97.908264
MYT1	9	 33.177512
BATF	10	 78.116424
MEF2C	11	 27.218760
NR6A1	11	 12.967472
TCF12	11	 11.350914
KLF8	11	  9.064721
ZNF704	12	 54.039359
KLF12	12	 29.257424
PURG	12	 11.632019
NFE2L2	12	  9.824839
ZNF322	12	  8.998067
PATZ1	12	  8.802347
MYT1	12	  7.467671
TSHZ1	12	  7.300748
FOXG1	13	 29.662622
CREB3L4	13	 20.450635
CREB3L1	13	 13.924730
NPAS3	13	 12.593686
ESRRG	13	  9.941022
POU3F2	13	  9.537863
MEIS1	13	  7.490786
SOX9	13	  7.052622
IKZF3	14	206.318538
IKZF1	15	108.873940
LYL1	15	 31.673338
CEBPA	15	 23.751344
HHEX	15	  7.612650
ZBTB45	16	 47.902289
ZNF324B	16	 35.992101
ZNF446	16	 13.395397
ATF2	16	  8.709326
HES5	17	 65.489872
HES6	17	 18.038483
THRA	17	 16.783247
MYRF	18	112.081805
CREBRF	18	 14.200155
BCL11A	18	  9.184737
SOX10	18	  7.051273
NFIC	19	 62.870712
SP2	19	 18.060378
CIC	19	 12.930747
FOXJ2	19	 11.923855
CASZ1	19	  7.351507
SOX10	20	 39.349140
KCNIP3	20	 23.459294
ZNF25	20	 13.225121
ZBTB18	20	 11.838404
MYT1L	20	 11.059322
PBX1	21	 66.759796
CSRNP3	21	 21.702589
VDR	21	 18.168961
ZNF704	21	 15.352424
AEBP1	21	  9.528077
POU6F2	22	 60.382158
MYT1L	22	 48.518388
HEYL	23	 23.710769
TFAP2E	23	 19.464484
FOXN2	23	 12.673934
JPH2	23	  8.253673
RELB	24	 23.813799
ZNF286A	24	 14.620220
ZNF445	24	 11.445064
STAT6	24	 11.244067
ZNF66	24	  8.489854
SOX6	24	  8.350269
ZNF891	24	  7.767476
FOXJ1	25	 69.978021
ZNF165	25	 11.663239
ZNF487	25	 11.514189
ZNF19	25	 10.128181
ZNF500	26	 53.293365
ZNF213	26	 29.617008
ZNF629	26	 17.035281
TFAP4	26	 14.842158
ZNF689	26	  7.598960
ZNF248	27	 36.638385
ETV5	27	 24.032866
SALL4	27	 22.850528
SP140L	27	 18.645978
NFIB	27	 12.879336
MEF2A	28	 41.346630
ESR2	28	  9.383044
ZHX2	28	  8.685003
TFAP4	28	  8.036949
KLF6	29	 41.510782
JUNB	29	 23.724180
EGR2	29	 23.443528
NR4A3	29	 20.430806
