MYT1L	0	123.223218
MYT1L	1	 69.996882
SOX10	1	 13.658712
TEF	1	 10.499060
VDR	2	 90.344646
ZNF510	2	 21.547237
BHLHE40	2	 15.368772
SOX15	2	  9.848322
MYT1L	3	101.116448
MYT1	3	 32.088513
MYT1L	4	118.262371
ZNF808	4	 12.263046
MYRF	5	 93.994584
POU6F2	5	 14.313970
GRHL1	5	 11.906482
ST18	5	  9.307786
FOXL1	6	 25.257764
FOXC2	6	 23.764814
ZBTB5	6	 16.469249
NFIB	6	 15.456569
TBX18	6	 10.796571
FOXS1	6	 10.731601
SNAI2	6	  8.316354
ZNF112	7	 70.652987
ZNF227	7	 43.726188
ZNF614	7	 11.860164
FOXJ1	8	136.356869
TCF4	9	 41.441081
ZNF726	9	 24.546872
STAT6	9	 18.764221
ZNF678	9	 16.612902
ZNF253	9	 11.416065
ZNF891	9	  8.339604
PBX1	10	 42.205641
ZNF704	10	 31.222923
VDR	10	 29.337356
ZNF136	11	 28.532993
ZNF44	11	 19.027188
ZNF383	11	 17.893922
ZNF230	11	 15.585436
ZNF823	11	  9.827927
ZNF562	11	  8.100091
MYRF	12	 88.283540
ST18	12	 19.528194
STAT2	12	 10.308895
PURG	13	 28.952374
PATZ1	13	 17.309772
SOX8	13	 16.440613
ZNF704	13	 15.379279
ETV1	13	 13.473096
CSRNP3	13	 12.375248
STAT6	13	 10.675206
POU6F2	14	 73.748639
MEF2C	14	 15.621897
ZNF641	14	  8.513010
MAFG	14	  8.054880
BATF	15	 81.099207
MAFB	15	 23.588211
IRF1	15	 11.796732
STAT6	15	 10.757198
ZNF709	15	  9.850979
FOSL2	15	  8.486084
NFIX	16	 25.573268
ZNF142	16	 22.897327
EBF4	16	 16.022063
ZFHX2	16	 11.327998
PRDM15	16	  8.984966
ZNF66	16	  8.407288
IKZF3	17	206.615609
KCNIP3	18	 45.438401
ZNF217	18	 18.681128
SNAI1	18	 15.888179
MYT1L	18	 13.251107
THRA	18	  9.232516
POU6F2	19	 39.426247
MYT1L	19	 27.731183
SATB1	20	 20.619221
ZNF217	20	 14.605724
GRHL1	20	 13.377731
ZFHX4	20	 13.292962
IKZF1	21	110.634141
STAT6	21	 11.281728
IRF5	21	  8.059480
MYT1	22	 81.828456
SOX6	22	 24.270203
SOX1	22	 18.044137
SOX8	22	 13.354780
ZBTB45	23	 48.177903
ZNF324B	23	 28.829440
ZNF446	23	 26.054997
SIX1	24	 47.264871
ZBTB12	24	 14.047768
ZNF214	24	 10.563646
ZNF547	25	 24.657439
ZNF543	25	 24.284776
ZNF17	25	 23.485503
ZNF471	25	 18.118897
ZNF749	25	 14.162330
ZNF417	25	 11.234654
ZNF264	25	 10.982104
ZNF776	25	 10.605600
ESR2	26	 34.644273
TFAP4	26	 12.106894
MEF2A	26	 11.384596
MYT1L	27	 66.481915
MYT1	27	 31.628780
STOX2	27	 13.040629
ST18	27	  8.845505
ZSCAN25	28	 56.031772
ZNF786	28	 27.991187
ZKSCAN5	28	 23.696966
ZNF282	28	  9.587729
ZNF212	28	  8.369463
ATF7	29	 28.608245
SKI	29	 28.190805
FOXJ2	29	 25.966523
NFIC	29	 21.498659
ZFHX3	29	  9.346250
FOS	30	 60.790159
EGR2	30	 23.733491
JUNB	30	 23.248911
NR4A3	30	 19.063367
ATF3	30	  8.236556
IRF7	31	 82.275686
PLSCR1	31	 46.263740
SP100	31	 27.581033
AEBP1	32	 35.746636
ZNF37A	32	 15.013788
HEYL	32	 12.056313
NR3C2	33	 44.248908
NR2E1	33	 21.716230
DBX2	33	 17.309058
ZNF226	34	 39.175806
ZNF708	34	 12.622876
ZNF780B	34	  8.769084
ZNF213	35	 50.638489
ZNF500	35	 28.785835
ZNF775	35	 21.721442
ZNF205	35	 10.251644
MYT1L	36	 64.407273
MSX1	36	 16.048869
CSRNP3	36	 13.012432
SOX8	36	 10.470139
FOXJ1	37	 95.332046
ZNF19	37	 12.036326
ZNF396	37	  9.695611
GRHL1	37	  9.487641
MYT1L	38	109.027425
ZNF674	38	  9.047007
