symbol	ensembl_gene_id	C3L-00365	C3L-00674	C3L-00677	C3L-01043	C3L-01045	C3L-01048	C3L-01049	C3L-01149	C3L-01157	C3L-01887	C3L-02041	C3L-02465	C3L-02504	C3L-02542	C3L-02642	C3L-02704	C3L-02705	C3L-02707	C3L-02708	C3L-02900	C3L-02970	C3L-02984	C3L-03266	C3L-03407	C3L-03681	C3L-03727	C3L-03728	C3L-03748	C3L-04084	C3N-00661	C3N-00662	C3N-00663	C3N-00665	C3N-01192	C3N-01196	C3N-01334	C3N-01364	C3N-01368	C3N-01369	C3N-01505	C3N-01515	C3N-01517	C3N-01518	C3N-01798	C3N-01814	C3N-01815	C3N-01816	C3N-01818	C3N-01852	C3N-01856	C3N-02181	C3N-02183	C3N-02185	C3N-02186	C3N-02188	C3N-02190	C3N-02255	C3N-02256	C3N-02769	C3N-02770	C3N-02782	C3N-02783	C3N-02784	C3N-02785	C3N-02786	C3N-02788	C3N-03070	C3N-03088	C3N-03180	C3N-03182	C3N-03183	C3N-03184	C3N-03186	C3N-03188
2_hydroxybutyric_acid	2_hydroxybutyric_acid	-0.411781380666647	-0.222680943214315	1.77619951978851	-0.128765289714502	-1.14026226051657	-0.444778772436852	-0.603420079024378	-0.984159214834441	1.15686385887081	-0.407973989308546	0.389039934987185	0.555296024290912	-0.575499209064975	-0.536156165031266	-0.466353990132755	-0.971467910307437	0.135213844447144	-0.669414862564788	-0.538694425936669	1.18097733747211	1.61375082184289	0.337005586426476	0.152981670784946	1.13401951072221	0.598446459682718	-0.432087467909852	0.548950372027412	0.184709932102449	-1.79132618275177	0.712668200425736	-1.22402487039478	0.509607327993703	-0.225219204119718	0.929689507837471	0.142828627163346	0.320506890541371	-0.901665735408926	0.236744280663158	0.133944713994442	-0.0792692020591917	0.882731681087565	-0.571691817706874	0.85988733293896	0.641596895074524	-1.81290140044768	-0.603420079024378	-0.862322691375221	-1.67202792019795	0.90303776833077	0.107292974487737	0.484224718939699	0.225322106588856	0.354773412764278	0.613676025115121	-1.30524921936759	0.419499065851991	-0.591997904950076	1.14290342389111	1.15305646751271	0.55402689383821	-0.0411952884781886	-0.00692876625528167	-0.603420079024378	1.07690864035069	1.13021211936411	-0.0615013757213897	0.0412981909473266	-0.334364423051934	0.00068601646091987	0.391578195892584	-0.60849660083518	-0.603420079024378	-0.704950515240397	-0.593267035402777
2_hydroxyglutaric_acid	2_hydroxyglutaric_acid	0.282710271932691	-0.673084760816706	-0.553816017487393	-0.650876098265733	-0.749581265158956	-0.149947376282613	-0.976603149013374	-1.19951231758057	0.800089855064682	-0.641828124633851	3.58357556145363	-0.404113181032669	-0.701051224769789	0.392931041630126	-0.624554720427539	-0.903396816900899	-1.3623758429544	-0.78495061662903	4.26381866995944	4.04090950139224	0.8741187302346	3.99155691794563	-0.347357710069065	-0.307875643311773	0.380592895768473	-0.921492764164656	-0.881188154349923	-0.487190029834466	-0.469916625628151	-0.799756391663012	-0.294714954392678	3.48898310984763	0.124782004903531	-0.562041448061829	-0.0923693622615645	-0.498705632638675	-0.833480657018198	-0.477319513145143	0.278597556645474	-0.279909179358694	0.183182561982023	-1.0053921560239	-0.639360495461521	-0.455110850594167	-0.347357710069065	0.397866299974788	0.0400600699868443	0.448041426478844	-0.184494184695243	-0.338309736437184	0.151103382741724	-0.435369817215524	-0.333374478092522	-0.613861660680772	-0.416451326894322	-0.711744284516553	-0.0504196663319451	-0.276619007128919	-0.326794133632975	-0.427144386641087	-0.131851429018856	-0.228088966739749	-0.424676757468756	-0.613039117623327	0.198810880073449	-0.258523059865162	3.37547216792042	-0.648408469093402	0.339465742896295	-0.277441550186363	-0.425499300526201	0.00469071851677253	-0.196009787499452	-0.247007457060953
3_hydroxybutyric_acid	3_hydroxybutyric_acid	0.186714357835085	-0.333217335542408	2.04299941187703	-0.0431727958483536	1.30070023806743	-0.62003915812875	-0.0517667081355839	-0.128037679684763	0.0492117612393845	0.233980875414853	-0.129111918720664	-0.513689493574263	-0.821996096878683	2.12893853474935	-1.68890699885314	-0.215051041592979	-0.281653861819018	-0.0796969230690853	0.159858381937485	1.28458665252888	0.203902182409545	-2.48384388542203	-0.707052520036966	0.454199877775156	-0.982057713228366	1.53381010885858	1.540255543074	0.736724744217881	-0.218273758700691	-0.434195804917376	-1.0454378163467	-0.643672416918638	1.38019392672432	0.0513602393111912	-0.994948581659214	0.455274116811061	-0.470719932138108	0.206050660481352	0.641117470022435	-0.306361359644812	-0.492204712856186	-0.505095581287033	0.463868029098292	0.481055853672752	0.139447840255312	-0.75754175472445	0.138373601219407	-1.7340250383611	-0.341811247829638	-0.00879714669942859	-0.122666484505241	-1.10881791946503	-0.591034704159344	0.0470632831675741	-1.49446973335453	-0.417007980342912	2.08704321234909	-0.564178728261748	1.31788806264189	0.359666842615611	1.31681382360599	-0.732834256898661	0.187788596870986	-0.746799364365413	-0.32032646711156	0.105072191106387	-0.81555066266326	0.600296386658086	1.372674253473	1.20509296387198	-0.157042133654166	-0.963795649618001	1.76584574061383	-1.11096639753684
3_phosphoglycerate	3_phosphoglycerate	0.966878655972719	0.948509517093971	-0.0152579694109971	1.58163250378148	0.780738048668074	1.15301926327736	-0.435298945105029	-2.85635144932398	0.164759591600733	0.13659357865332	0.677870870947087	0.177005684186563	-0.576129009842093	-0.73287899494074	-1.68440038885987	-0.413255978450531	0.548062289537268	0.550511508054433	1.5069313390079	0.58357595803618	-0.354474734038536	0.285995908200468	0.154962717532069	-0.954533270744297	-0.364271608107204	-0.142617332303647	-0.832072344885977	0.413355271093118	0.404783006283034	0.424376754420368	-0.305490363695209	1.10893332996837	0.467238078470779	1.01708763557463	-0.376517700693034	-0.0605685119785737	-0.0287286712554112	-0.195275530422723	0.125572095326071	1.84369888511827	0.172107247152233	-0.00668570460091306	-0.67409775052875	0.164759591600733	-0.337330204418372	-2.43631047362994	-0.314062628505293	-2.36895696440787	0.588474395070514	-0.893302807815137	-0.334880985901207	-0.599396585755171	-0.435298945105029	0.443970502557696	-0.115675928614815	0.414579880351703	0.154962717532069	0.999943105954462	-0.224666152628721	-0.0617931212371584	0.529693150658519	0.33742949706096	-0.42182824326061	0.312937311889297	0.213743961944059	-0.364271608107204	0.20149786935823	-0.468363395086771	0.248033021184387	-0.724306730130656	0.468462687729364	-0.0789376508573221	-0.42060363400203	0.336204887802379
adenine	adenine	4.84771466717184	4.24040171619081	-1.73249505443186	4.60548554746823	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	4.49759614070369	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	5.10073272755191	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	4.8386658782174	-1.73249505443186	4.28425353958543	4.30687551197154	4.48819932140484	-1.73249505443186	4.10675806394054	-1.73249505443186	-1.73249505443186	-1.73249505443186	5.26430698942073	4.93715846568309	4.0187063868069	5.45085125402006	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	4.60165721367981	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	4.63611221777558	-1.73249505443186	4.42694598079014	-1.73249505443186	4.92080103949621	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	-1.73249505443186	4.7795007196691	-1.73249505443186	-1.73249505443186	-1.73249505443186	5.20200955777282	-1.73249505443186	-1.73249505443186
aminomalonic_acid_(spectralmatch)	aminomalonic_acid_(spectralmatch)	0.417994602674356	-0.138044471041049	-1.33542990704557	1.10045291126406	0.117877394680088	1.03467379718312	0.528996857685935	0.690361246915729	1.5465175286254	-0.91814365209464	-0.0558205784398821	-0.153461450903769	-0.121599692520817	0.322409327525497	-0.753695866892302	1.42832068301122	-0.756779262864846	0.240185434924326	-0.937671826587416	0.321381528867981	-1.44026537011206	-4.41060349032929	-0.598498269607596	-1.83288445728265	-1.71263201435343	-0.516274377006425	-0.0743209542751421	0.793141112667188	1.25462270989125	-0.325103826708707	0.388188441606432	-1.00858993395593	1.04597958241578	-0.0979603233979779	1.4200982937511	0.354271085908449	0.0428480926815207	0.572164401301546	-0.997284148723263	0.27821398525237	0.309047944977806	1.20631617298806	1.10970309918169	0.195990092651199	-0.152433652246253	1.24845591794616	-0.058903974412426	-1.17714891378832	-0.149350256273709	-0.932532833299844	0.158989340980675	0.303908951690234	0.513579877823215	-0.330242819996283	1.39645892462826	0.681111058998097	0.581414589219178	0.257658012102078	-0.994200752750719	-0.0301256120020146	0.0695708577769004	-2.04049978610059	0.288491971827514	0.819863877762567	-0.135988873726021	0.932921730089178	1.02953480389555	-0.787613222590285	0.57935899190415	0.0274311128188046	-0.459745450843122	0.370715864428685	0.271019394649766	-0.816391585000693
campesterol	campesterol	-0.936062821510023	1.05365963223988	0.972124707148478	0.463995450225251	0.546431313715455	-0.949126428292624	0.0779433463394304	0.899599166045075	-7.86923426947579	-0.336488317108591	0.104070559904632	-7.86923426947579	-1.32301586379464	0.0662311471550299	1.04780353264768	0.383811932732048	0.565801489289657	0.0608255167622294	-0.595958575963005	0.135152934663233	0.612650286027259	-7.86923426947579	0.735628377463466	-1.12661129285623	-0.0765675890547778	0.328854690405245	1.01762209628788	0.482464687400652	0.509492839364654	1.01311740429388	1.22483792801189	0.218940205751637	1.21808089002089	1.3644833798259	0.895094474051074	0.830226909337471	0.652742044773861	0.572558527280656	1.95144474664413	0.792387496587869	1.03699227186208	0.418047591886448	0.491023602189253	0.719861955484465	0.369847387550646	1.3261934978769	0.340566889589645	-7.86923426947579	1.08113825340328	0.799595003778269	0.764908875424468	1.68476698059932	-0.261259960808788	0.63562421519666	0.598685740845857	0.466698265421651	1.3725918254151	-7.86923426947579	0.547332252114256	0.573909934878856	0.303177946039442	0.587424010860857	1.03473992586508	1.53611214479731	0.816262364156069	1.16943021648569	0.672562689547462	1.58476281833251	1.52349900721411	0.573008996480057	0.236508504528239	0.159478271430835	0.236058035328838	0.492375009787453
capricacid	capricacid	-0.855246435440054	-11.1223554605381	-0.254581553258686	2.07727032701783	0.547705107556985	0.730124812035641	0.575308089155729	0.619712885640666	1.80184057584775	-0.286384988578979	-0.372794322279394	-1.3028947891936	-0.340390822141739	-0.619420962216	-1.20688441841536	1.00075404466681	-0.57741642500052	-0.0853632747620374	-0.199975654878561	-0.428000285476884	1.45200278732454	-0.246180645815591	-0.966258426652394	-1.75894405039024	2.19788335530799	-0.251581229171867	-0.959057648844025	-0.32418907207291	0.9425477573825	-0.104565348917686	-0.468204628240272	0.107857596429171	-0.302586738647808	0.607711589293384	-0.193374941887558	-0.0517596449896527	1.44180168542935	-0.243780386546134	-3.07368606523477	0.224870235815152	0.42109143109318	-0.497007739473743	-1.29389381693314	-0.575016165731063	-0.342791081411196	0.0262487812676671	-0.979459852634403	-0.776637944365369	0.0214482627287556	0.0862552630040661	0.79133142340677	-0.710630814455329	0.194866994946951	1.26058211058542	1.96745846544022	1.37519449070195	-0.515609748812029	0.0934560408124344	1.14056914711262	0.307679180611383	1.63742281589001	1.60921976947391	0.0640528647615986	-1.0094630935026	1.65662489004566	-0.76343651838336	-0.897250972655534	-0.351191988854292	2.29929430944251	1.76223629790173	1.46580427812391	0.688120274820161	0.742726173200286	1.36919384252831
cholesterol_(spectral_match)	cholesterol_(spectral_match)	-0.672565317054853	0.773141912583877	-0.183482941383904	-0.121397354835002	0.926455299776063	0.0965357244795133	0.00150676547608764	-0.364671489883763	0.856767396506887	0.750334962423055	-1.11730084519087	-0.718179217376493	-0.846151548834433	0.0243137156369098	-0.562331724610879	-0.778997751138685	0.242246794951425	0.0255807684236236	-0.135334935488836	-0.705508689509372	1.24701965481427	1.20647396563948	0.276457220192658	-0.469836871180886	-2.80881631545178	-0.224028630558697	-0.117596196474865	-0.68396879213526	-0.500246138061977	0.218172792003894	-0.20755694433144	0.106672146773211	-0.194886416464315	0.579282836216898	-0.653559525254168	-0.83094691539389	-0.240500316785959	-0.814475229166628	2.25052546189041	0.64770368669936	0.381622601489777	-0.6054115193591	-0.196153469251029	-0.338063381362804	-0.493910874128417	1.6613459160692	-0.569934041331153	0.730062117835661	0.265053745112247	0.589419258510595	0.518464302454705	0.529867777535116	0.0686605631718403	0.380355548703068	-0.709309847869509	0.284059536912933	0.0800640382522514	0.281525431339505	0.125677938573896	0.137081413654307	-0.141670199422401	-0.383677281684448	-0.756190800977863	0.00150676547608764	0.258718481178687	0.386690812636628	-0.40648423184527	-1.40238772220113	2.33668505138685	0.156087205454987	-0.885430185222518	-0.621883205586358	1.25842312989468	0.80228412667826
citricacid	citricacid	0.206471707138416	-0.476638858952921	-1.78794325935178	-0.326622420909335	-2.97200157391011	-2.35318376698031	0.148876110389539	-1.03518220416878	-0.199376335068788	-0.480657156400517	0.66053931871678	-0.314567528566546	0.0832439187454703	1.04227757623841	-0.278402851538179	0.0470792417171039	-0.0989188988788859	0.549366422666618	-0.437795316959492	-0.0614147893679906	0.62303520920588	0.752960160011489	-0.992320364727757	1.35168647970331	-0.468602264057728	-0.165890523005489	0.458285013854442	0.556063585079282	0.434175229168865	-0.0949006014312896	0.760996754906682	1.01816779155283	0.0912805136406628	1.14809274235844	0.400689417105561	-0.623976432031444	-0.314567528566546	-0.79006605986542	0.383276794832647	-0.110973791221675	0.778409377179596	0.324341765601237	0.21316886955108	-0.360108232972634	-0.0654330868155868	1.14943217484097	-0.0064980575841765	-0.830249034341378	0.0939593786057254	0.677951940989694	0.837344406411006	0.62839293913601	-0.128386413494593	0.45024841895925	0.422120336826076	0.494449690882804	-0.0399838696474755	0.41810203937848	0.135481785564222	-0.491372616260772	0.310947440775914	0.194416814795627	-0.0855245740535681	0.0524369716472338	0.369882470007325	-0.278402851538179	0.262727871404764	-0.109634358739141	0.814574054207962	-1.74909971735836	0.163609867697391	-0.294476041328564	-0.397612342483534	-0.287778878915906
