Module,N_genes,N_PPIs_observed,N_PPIs_expected,Fold_enrichment,P_value,PPI_density,FDR
56,141,689,90.40244611353067,7.6214751881241,0.0,0.06980749746707193,0.0
79,553,2912,1397.968039049236,2.0830233014343187,1.1515993321423963e-289,0.019079068060906257,5.98831652714046e-288
4,62,306,17.320266018306636,17.66716513918283,3.165306402358443e-269,0.16181914331041777,1.0973062194842602e-267
34,35,205,5.449792850815679,37.616108650683366,2.298170160443901e-255,0.3445378151260504,5.9752424171541425e-254
0,71,287,22.76089955340666,12.609343463186818,3.261194249846684e-210,0.11549295774647887,6.783284039681102e-209
33,17,82,1.245666937329298,65.82819013869589,1.4029360901604803e-129,0.6029411764705882,2.431755889611499e-128
82,27,106,3.2149198161954677,32.97127333192412,9.3437145062529e-126,0.301994301994302,1.3882090123575737e-124
7,58,175,15.140348877980365,11.558518328102357,2.0526419966835298e-122,0.10586811857229281,2.6684345956885885e-121
11,45,144,9.067722558500037,15.880503519046812,8.4445191366594e-121,0.14545454545454545,9.758111002361973e-120
18,26,100,2.976777607588396,33.59337282875288,1.1119641367998769e-119,0.3076923076923077,1.1564427022718719e-118
93,11,29,0.5037623643611132,57.56682525654469,2.1918622722839817e-44,0.5272727272727272,1.899613969312784e-43
81,11,29,0.5037623643611132,57.56682525654469,2.1918622722839817e-44,0.5272727272727272,1.899613969312784e-43
54,183,338,152.5300846128294,2.215956287298687,5.004780629886824e-39,0.02029664324746292,4.003824503909459e-38
13,91,124,37.50739785561379,3.306014468861394,2.7297278225978183e-29,0.03028083028083028,2.0277978110726654e-28
75,35,45,5.449792850815679,8.257194581857323,1.4532271558770408e-26,0.07563025210084033,1.0075708280747484e-25
66,131,176,77.99157331881598,2.2566540526185133,6.065131347582668e-22,0.020669406928948912,3.942335375928734e-21
1,68,77,20.86492120026574,3.690404543632751,1.5373832810403968e-21,0.033801580333625986,9.40516830754125e-21
8,37,41,6.100104266627297,6.721196590737718,4.879008998423236e-21,0.06156156156156156,2.818982976866759e-20
12,66,70,19.646732210083414,3.5629334818374256,6.132590232101407e-19,0.03263403263403263,3.2277887451058788e-18
10,53,55,12.621537056174798,4.357630909390114,6.207286048280537e-19,0.03991291727140784,3.2277887451058788e-18
5,47,47,9.901220288624788,4.746889638845515,7.951252261127374e-18,0.043478260869565216,3.9377630245583185e-17
86,27,25,3.2149198161954677,7.776243710359461,7.184670452783045e-15,0.07122507122507123,3.396389668588349e-14
70,46,41,9.479891765704584,4.324943893170357,2.017076058840525e-14,0.03961352657004831,9.120691744322374e-14
24,27,24,3.2149198161954677,7.465193961945082,5.978543630913685e-14,0.06837606837606838,2.590702240062597e-13
43,20,18,1.7402699859747546,10.343222686747595,3.2569728487563684e-13,0.09473684210526316,1.3549007050826493e-12
73,16,15,1.0991178858787924,13.647307711680853,5.120585377098425e-13,0.125,2.04823415083937e-12
