Module,N_genes,N_PPIs_observed,N_PPIs_expected,Fold_enrichment,P_value,PPI_density,FDR
3,65,328,18.757207836395544,17.486611166272056,8.775104842300124e-287,0.1576923076923077,1.0793378956029152e-284
63,378,1555,642.5516009455249,2.4200391030258004,2.166193155271649e-210,0.021823642513297686,1.3322087904920638e-208
11,79,296,27.7841141076609,10.653569836814917,1.2518551090009265e-195,0.09607270366764038,5.132605946903799e-194
0,80,283,28.496527289908617,9.931034652780934,6.883324267023203e-179,0.08955696202531646,2.116622212109635e-177
24,19,89,1.542058913472903,57.715045269937995,6.9531056509554756e-133,0.52046783625731,1.710463990135047e-131
17,39,138,6.682255291715913,20.65171023487842,4.266810940899854e-132,0.1862348178137652,8.746962428844699e-131
74,27,100,3.1652788223917483,31.59279343499919,1.7342825021340606e-116,0.2849002849002849,3.0473821108927065e-115
16,24,88,2.4889371936755627,35.356456652907795,1.0568055610490449e-107,0.3188405797101449,1.6248385501129064e-106
45,12,53,0.5951806332702433,89.0485964047409,7.345082831107842e-96,0.803030303030303,1.0038279869180718e-94
86,17,58,1.2264328200720165,47.291624172773055,1.6404949817220708e-80,0.4264705882352941,2.0178088275181472e-79
2,197,459,174.09935311992905,2.6364256487720317,3.810135942390275e-73,0.023774992230394695,4.2604247355818533e-72
75,11,29,0.4959838610585361,58.46964443179214,1.400665428139281e-44,0.5272727272727272,1.435682063842763e-43
14,29,48,3.6612626834502846,13.110231127903113,2.062488284181627e-37,0.11822660098522167,1.951431222725693e-36
26,117,182,61.19539056624047,2.9740802095706136,2.559265353326743e-36,0.02681992337164751,2.2484974175656384e-35
5,54,68,12.90459827590482,5.269439508780997,1.3817488904243414e-27,0.047519217330538085,1.1330340901479599e-26
4,88,106,34.52047672967411,3.0706412553358935,6.802371177571927e-23,0.027690700104493208,5.229322842758418e-22
7,37,41,6.005913662999728,6.826604959805906,2.8106851191032658e-21,0.06156156156156156,2.0336133508805982e-20
35,37,40,6.005913662999728,6.660102399810641,2.0328932233537545e-20,0.06006006006006006,1.3891437026250657e-19
64,19,22,1.542058913472903,14.266640403804898,8.173362790810093e-19,0.1286549707602339,5.29117696457706e-18
108,11,15,0.4959838610585361,30.242919533685587,1.7931689340785715e-18,0.2727272727272727,1.1027988944583214e-17
20,30,31,3.922781446553876,7.902555985430488,2.9532311643346588e-18,0.07126436781609195,1.729749681967443e-17
40,38,35,6.3395755331663795,5.5208743577377675,1.353524501015709e-15,0.049786628733997154,7.567432437496919e-15
39,700,2560,2206.2263928721973,1.1603523592459788,1.4960911527487518e-14,0.010463928060494584,8.00083529513463e-14
84,24,22,2.4889371936755627,8.839114163226949,2.151170548047449e-14,0.07971014492753623,1.1024749058743176e-13
44,12,13,0.5951806332702433,21.84210855210626,3.411204465037401e-14,0.19696969696969696,1.6783125967984014e-13
34,18,16,1.3797369225810185,11.596413590258527,1.1381112696690924e-12,0.10457516339869281,5.384141775742244e-12
79,11,11,0.4959838610585361,22.178140991369432,2.6613602241085727e-12,0.2,1.2123974354272387e-11
36,82,69,29.948407319552697,2.303962252942624,5.762490718366111e-10,0.02077687443541102,2.531379851282256e-09
37,157,180,110.43306113677878,1.6299466676655634,6.072461665581472e-10,0.014698677119059285,2.5755613271259346e-09
57,168,199,126.50293823507535,1.5730859913325197,1.2553842036955859e-09,0.01418591388651269,5.1470752351519026e-09
62,39,27,6.682255291715913,4.040552002476212,2.136992592597527e-09,0.03643724696356275,8.479035125467608e-09
27,21,12,1.8937565604053195,6.336611711819838,6.208483789941253e-07,0.05714285714285714,2.386385956758669e-06
23,34,19,5.0590353827970675,3.7556566741178186,1.398967863616566e-06,0.0338680926916221,5.214334764389018e-06
104,12,7,0.5951806332702433,11.761135374211063,2.369939174676526e-06,0.10606060606060606,8.573603484859196e-06
33,47,26,9.748337341895954,2.6671214883237986,1.0218492690394641e-05,0.024051803885291396,3.5910702883386883e-05
69,11,6,0.4959838610585361,12.097167813474236,1.0672448167867596e-05,0.10909090909090909,3.6464197906880955e-05
18,29,14,3.6612626834502846,3.8238174123050745,2.658517683266342e-05,0.034482758620689655,8.83777500112865e-05
61,22,10,2.0831322164458514,4.800463418045331,5.7249192546260396e-05,0.04329004329004329,0.0001853065969260534
54,38,18,6.3395755331663795,2.839306812550852,0.00010178877295870797,0.025604551920341393,0.0003210261301005405
114,11,5,0.4959838610585361,10.080973177895196,0.00014254483420130315,0.09090909090909091,0.0004383253651690072
71,23,9,2.281525760869266,3.944728634828555,0.0005592690772123295,0.03557312252964427,0.0016778072316369884
53,58,29,14.90656949690473,1.9454509641552133,0.000736457496303174,0.017543859649122806,0.0021567683820307238
28,141,119,89.00655833905002,1.3369801306853915,0.0013107584684065798,0.012056737588652482,0.0037493788747444026
94,14,5,0.8206278428423052,6.092895876749844,0.0014585397953478987,0.054945054945054944,0.00398667544061759
80,14,5,0.8206278428423052,6.092895876749844,0.0014585397953478987,0.054945054945054944,0.00398667544061759
116,27,10,3.1652788223917483,3.1592793434999193,0.0015320051473183796,0.02849002849002849,0.00409148564887134
95,11,4,0.4959838610585361,8.064778542316157,0.0015634132154223822,0.07272727272727272,0.00409148564887134
98,12,4,0.5951806332702433,6.720648785263465,0.0030552289139417,0.06060606060606061,0.007829024091975606
51,96,59,41.12157102594408,1.4347700860644699,0.004865358565220911,0.01293859649122807,0.012213042929023919
122,13,4,0.703395293864833,5.686702818299854,0.005554055346417603,0.05128205128205128,0.013551381737907979
25,34,12,5.0590353827970675,2.371993688916517,0.005718897013585836,0.0213903743315508,0.013551381737907979
31,40,15,7.03395293864833,2.1325135568624454,0.005729039433912317,0.019230769230769232,0.013551381737907979
82,14,4,0.8206278428423052,4.874316701399875,0.00949484143918886,0.04395604395604396,0.022035198056985464
47,15,4,0.9468782802026597,4.224407807879892,0.015392699850936322,0.0380952380952381,0.03448630175589068
73,27,8,3.1652788223917483,2.5274234747999356,0.01542070403718689,0.022792022792022793,0.03448630175589068
43,19,5,1.542058913472903,3.242418273592022,0.020064052657347575,0.029239766081871343,0.0436317293738817
