GeneA,GeneB
E2F4,RBL2
PEX14,PEX5
ESR1,NCOA1
SNF8,VPS25
CUL1,BTRC
RAD23B,XPC
CCL2,CCR2
UBC,USP5
DICER1,AGO2
ANAPC4,CDC20
CDK7,CCNH
IL4,IL4R
LAMTOR2,LAMTOR3
PIK3R1,CD28
FZR1,PTTG1
FLT1,VEGFA
DAXX,ATRX
SMAD4,SKI
DLG4,GRIN2A
SMAD7,SMURF2
CUL5,RNF7
PPP2CA,PPP2R1A
LSM3,LSM2
RASSF1,STK3
DDB1,DCAF1
NPLOC4,VCP
MAD2L1,BUB1B
PTK2,PXN
MAP3K5,TXN
DRAP1,DR1
EGF,EGFR
SNAP25,STX1A
RAB11FIP2,RAB11A
ESR1,NCOA3
DICER1,TARBP2
PAK1,CDC42
FGF1,FGFR2
DBF4,CDC7
CASP8,TNFSF10
ANAPC2,CDC27
SEL1L,SYVN1
HDAC3,NCOR2
WDR5,KMT2D
RHOA,RTKN
IGBP1,PPP2CA
FBXW7,CCNE1
UBA3,UBE2M
UBE2T,FANCL
CRP,CFH
YAP1,TEAD1
CDK2,CCNA1
F3,F7
POLB,XRCC1
HDAC1,HDAC2
STK25,PDCD10
FANCA,FANCL
DOCK1,ELMO1
FANCD2,FANCI
HTRA2,XIAP
DPY30,ASH2L
RUVBL2,RUVBL1
BATF,JUNB
NFKB1,NFKBIA
FANCM,FAAP24
AKT1,PDPK1
TBK1,TRAF3
E2F4,RBL1
VPS29,VPS35
MAX,MXI1
HGF,MET
CDKN1A,CCNE1
CFL1,LIMK1
CXXC1,SETD1A
ERCC4,SLX4
CRK,BCAR1
AMFR,VCP
KCNIP2,KCND2
PEX19,PEX11B
EPO,EPOR
JAK2,SOCS1
KMT2A,ASH2L
CDK4,CDKN2B
PPP1CA,PPP1R8
PDGFRB,PIK3R1
PDCD10,STK24
ASXL1,BAP1
VPS28,TSG101
CTNNB1,GSK3B
MAX,MYCN
BLM,TOP3A
HSPB1,MAPKAPK2
TANK,TBK1
CDK4,CCND2
MSH6,MSH2
IL2,IL2RA
VPS35,VPS26A
TNFSF10,FADD
SMARCA4,SMARCC2
TAF5,TBP
KLHL3,WNK4
PPP4R2,PPP4C
USF1,USF2
IKBKG,RIPK1
EPAS1,VHL
PIK3C3,UVRAG
RING1,BMI1
HDAC1,RBBP4
IGBP1,MID1
ANAPC4,BUB1B
UBE2L3,ITCH
PIK3CA,PIK3R1
OS9,SEL1L
CDKN1A,CCND1
MAPK14,MAPKAPK2
NOD2,RIPK2
NPLOC4,UFD1
STUB1,HSP90AA1
SPRY2,CBL
ANGPT2,TEK
CAB39,STK11
ANAPC5,CDC27
FNTA,FNTB
RPA1,RPA2
MAD2L2,REV3L
HDAC1,MTA2
MSH4,MSH5
CALCRL,RAMP1
NAE1,UBA3
DDB1,CRBN
KMT2A,RBBP5
IRAK1,IRAK4
PEX19,PEX16
GTF2A1,GTF2A2
MAD2L2,REV1
NCSTN,PSEN1
RNF31,OTULIN
ASF1A,HIRA
CDK4,CDKN2C
BBC3,BCL2L1
HDAC1,RB1
EXOSC1,EXOSC5
UBA7,ISG15
TP53RK,TPRKB
FKBP1A,MTOR
STIP1,HSP90AA1
PTK2,SRC
PRKDC,XRCC5
CRK,CBL
RAD51,PALB2
LEO1,PAF1
MBP,MAPK1
MTOR,MAPKAP1
PDCD10,STK26
BAD,BCL2
TRAF6,UBE2N
VCP,ASPSCR1
UBE2N,RNF8
VCP,UBXN6
SMAD1,SMAD4
HUS1,RAD1
SAV1,STK3
YAP1,LATS2
ITGAV,ITGB3
AR,NCOA4
SUZ12,EED
PRKAA1,PRKAG1
ANXA2,S100A10
TAB3,MAP3K7
CDK4,CDKN1A
TTN,TCAP
CKS1B,SKP2
SH2D1A,CD244
PARD6A,PRKCI
CDKN1A,CCND3
NCSTN,APH1A
MLLT3,DOT1L
ORC3,ORC2
SMAD3,SKI
RCC1,RAN
INSR,PTPN1
RBBP5,KMT2D
ATF2,MAPK8
RAF1,YWHAZ
ORC2,ORC5
HDAC1,SP1
PRMT5,WDR77
BIRC5,CDCA8
MORF4L1,MRFAP1
PIK3R4,BECN1
CSNK2A2,CSNK2B
TGFB1,TGFBR2
DFFA,DFFB
STUB1,HSPA8
ORC2,ORC4
STAG2,RAD21
