GeneA,GeneB
TRMU,RAP2A
NSUN4,TRMU
NSUN4,MYEF2
NOL11,GOLGA4
FAM91A1,GOLGA4
SLC27A4,UBXN4
PDGFRA,PRSS12
PCNT,KIZ
E2F3,PGAP1
CEBPA,MNT
FLNA,ZGRF1
FLNA,SAMD12
CHUK,TRIM40
CLSPN,TIMELESS
CTDSP1,LTBP4
CTDSP1,HEATR6
PPP2R5E,KLHL14
ZACN,FAM234B
NUBP2,MICB
RPRD2,CTDSP1
AKT3,CALD1
UBQLN2,DEFA1B
UBQLN2,IGLL1
UBQLN2,IFNA13
EPS15L1,BFSP1
APAF1,DEF8
XAF1,SIAH2
MEP1B,VKORC1
TBC1D9,ROCK2
HIC2,FOXB1
ZSWIM8,B4GALT2
ASB8,RCN1
PRG3,ZMYND19
GDF11,TMEM25
MBTPS1,TNFRSF14
DLGAP4,ENAH
DLGAP4,LIN7C
CCDC125,PTPA
ANO6,DLK1
DSC2,GXYLT1
SLC19A2,DLK1
SLC19A2,CMKLR1
CLEC11A,MBTPS1
CLEC11A,SEMA3B
LIN7C,SLC20A1
CMKLR1,SLC25A24
CHAT,ESRP1
YWHAQ,KLC4
USP20,MDFI
RPS6KA3,H2AC6
TMX2,YIPF2
TMX2,SLC39A8
UHRF1,TRPV5
TINF2,ANKMY2
TINF2,LTA4H
PPCDC,PLEKHF2
PFKFB4,PRKACB
CNGA3,TMX2
DNM2,ZNF697
DNM2,ABHD17C
G3BP1,FXR2
ZRANB3,MGARP
SLC25A20,MGARP
DBH,KLHL20
MGARP,SLC25A14
NELL1,CACNA1A
BOLA3,MAGEA6
HERC4,C1orf94
VPS37D,P3H1
CST8,MAEA
P3H1,IKZF4
SLC10A6,MS4A1
SLC10A6,YIPF1
SLC10A6,DGAT2L6
RPL7L1,WDR55
GIP,CFAP410
GIP,ISL1
LNX2,SYNGAP1
CYB5R3,VAMP1
MAEA,MPO
LPIN3,RASAL2
MSI1,EIF4G3
LOX,ANTXR1
ZDHHC23,PIK3CD
TMEM30B,STXBP3
TMEM30B,SCD
RFFL,EHD4
CHN1,FARP2
ING4,H3C1
NABP1,MKRN3
PBLD,GRAP2
USP50,LUC7L
KRTAP21-2,MKRN3
DCAF12,PFDN2
BATF2,MKRN3
TP63,CABLES1
TMEM106A,P4HTM
PFKFB3,PTPRR
ADGRL1,GP9
ING1,ASAH1
SIPA1L1,RALGPS2
EPB41L2,DDAH2
SYT6,ALCAM
MS4A13,POMK
GPSM1,GLIS2
ASXL1,KDM6A
FITM2,POMK
ADAM30,SCNN1A
SCNN1A,ITM2C
CACNG4,GNG7
ORC6,ACTR10
AP1M2,SCNN1B
CASP8,CASP9
TSPAN15,TSPAN14
TSPAN15,SYPL2
TWSG1,SGTA
WFDC11,TUBB8
AFG1L,PMPCB
TUBB8,ITIH3
CCDC110,CAND1
CAND1,ZNF140
SLC6A8,SLC22A4
MNS1,CCND3
MNS1,GIGYF1
MMADHC,GIGYF1
SCAF8,GIGYF1
EPHB6,TCF12
CDC20B,TCF12
MLLT11,S100B
C3orf38,HSPA2
SHROOM1,HSPA2
PLXNC1,FBXO2
ARMCX5,TNFRSF1B
AKIP1,TNFRSF1B
MAK,ANAPC11
LIN7B,UTRN
CRCP,POLR1D
SASH1,UTRN
UBXN10,SDHB
TEX29,GOLGA5
CHGB,SAFB2
COQ7,GLUD1
D2HGDH,MAP3K6
NR2F2,TMPRSS5
NMU,KRTAP5-9
STAB2,MAPK3
M1AP,TRIP13
ADAT3,TRIP13
ADCY4,PDE7A
CEP43,PDE5A
ADCY2,PDE7A
ZDHHC17,ZFYVE19
ZDHHC17,DALRD3
C6orf120,RAB7A
CSRP3,ACTN1
HOXC13,RBPJ
GAN,MAP4K3
MYO5C,AFAP1
PPM1A,CHST10
CISD2,CISD1
CLN3,KCNIP3
FA2H,SGPL1
LRP3,CISD2
PALD1,IRF7
DUSP8,FBXO11
KRTAP13-1,KRTAP12-3
ODAD3,CCDC22
DHRS1,KRTAP12-3
DHRS1,HTR6
MTG2,CLPP
CLPP,MRRF
ZNF559-ZNF177,MLH1
MTREX,NCBP1
APP,IER3
APP,PHF7
LURAP1,GFPT2
LURAP1,ASH1L
PIP,USP53
FGF8,IFT52
ZNF263,ZSCAN23
SCNN1D,WNK1
NUSAP1,CDC14B
CCDC88B,SH2D4A
SIK3,PPP3CA
ZNF865,LURAP1
TEKT4,MIIP
NUB1,SEMA4C
NFIX,POLR3E
NFIA,POLR3E
LDHD,CNOT8
CKM,LZTR1
CHRNA3,ITPR2
POMT1,HFE
ARG2,STK11
HAO2,BCOR
CYP2J2,NDUFV3
ECSIT,CYP26B1
IGFBP1,ATF4
NFU1,MCUR1
GIGYF2,GRB14
NCR3,ADAM19
NCR3,ATRN
UBR1,WNT10A
BST2,VMP1
PIMREG,DOCK8
GSX1,APOO
SLC34A2,TMEM63B
PRPF38B,ANKRD50
ATP6AP1,TMEM185A
ARMCX3,ANKRD50
HES1,TLE3
ATP11C,TMEM63A
ATP11C,TMEM185A
ATP2C1,TMEM63A
MAPK8IP3,TNKS2
EGR1,JUND
GPR156,TRAF7
TMEM185A,ATP6V1F
LYZ,TWF1
KDM6B,USP24
PDZD8,PCDHGC4
PDZD8,EVA1B
DDX52,PMP22
MFAP1,FXR2
SMAD3,PPM1A
PSMD5,CASTOR1
ATP5PD,PRELID3B
ATM,AVEN
MTRR,ATM
AKT1,SOAT2
DKC1,LYAR
PADI4,CAMK2B
ASB10,MRPL23
TMEM200A,SLC31A1
UPK3BL1,VSIG4
PAX6,PROX1
AKT2,USP9Y
SLC31A1,TM4SF5
SLC31A1,DENND6A
VSIG4,DENND6A
TNNC2,MAP7D3
TXNDC11,CRLF1
LCE2C,KRTAP10-6
ZNF774,KRTAP10-6
SLC25A41,REPS1
GAA,CRLF1
GAA,PPOX
CELSR2,CREB3L3
CELSR2,PCDHGB1
SLC27A2,BZW2
RAMAC,PEA15
RALGDS,RAPGEF2
NARS1,DDX60
IFIT1,MCCC2
PPA2,NDUFAF5
SPIN1,PYGM
MAPK14,MYLK3
MAPK14,RHBDF1
CREB3,SLC19A3
PRPF40B,HTT
NEGR1,HTT
PCBP1,NUDT11
KAT5,CCDC34
REX1BD,NUP58
MATN3,PPIB
ADGRL2,TMEM216
TEN1,NUP58
PLCB4,DGKD
TMEM9,ALG5
CBY2,FHIT
STARD7,C15orf48
SSU72,UIMC1
FHIT,GAST
KLHL23,USP22
IFT43,TYK2
HLA-F,ST3GAL3
HLA-F,PLTP
ATL3,SNX14
SCGB1D1,TXNDC16
SCGB1D1,PLTP
SCGB1D1,SEL1L3
POLR3C,BDP1
BDH1,SLC18A1
SNX14,ZDHHC12
EPN3,TRIM26
PCNX3,ZDHHC12
HSF4,FOXH1
AHSG,CAV2
SPPL3,SLC18A1
CHST14,CBLN4
RAB32,AP3B1
IL2RG,KRTAP5-7
VASN,VWC2
B4GAT1,GGCX
KATNAL1,ASCC2
SLC30A1,DNAJC5
MID1IP1,ELL
PLIN1,PRKACG
PELI3,PRKACG
NAMPT,XPO7
PSMA1,TCF12
NPHS2,IQGAP1
UBE2D1,DZIP3
AFDN,RIT1
FLNC,MYOZ2
FLNC,LAD1
FLNC,KCND2
SH2D3C,WNT16
NUP62CL,COG6
AQP9,GOLM1
SUMF2,TTR
PABPC1L2A,PRC1
VAX1,H1-5
H1-5,TCF21
GCN1,MYC
COPS7A,ISL2
BSCL2,NSUN3
BSCL2,GLRA2
PRKD2,PDXK
CLK2,ZNF436
RGPD1,RPAP3
LRATD2,BAG4
LRATD2,TAX1BP1
TMEM115,BSCL2
HSPA8,KCNH2
RBM15,PMEL
TENT5A,SQOR
UACA,JPH4
UACA,RILP
PC,FCN3
PRAME,GATD1
FAM207A,TNFRSF10C
TXNRD1,CHD9
SQOR,SUOX
NDUFAF7,FEM1A
ARFGAP3,PEX1
ENDOD1,TNFRSF10C
FDPS,NCOA5
FCER1A,FCGR2A
PHOSPHO1,OAT
IFI27L1,NCOA5
FZD10,NCAPH
EXD2,ARMCX2
TRIM23,VGLL1
MRPL38,SSBP1
IKBKB,BTRC
ALKBH5,HECW2
XIRP2,HECW2
HSF2BP,SLC6A1
TANK,UEVLD
TMEM254,SEC11C
SDHC,UQCRH
IRF8,STAT2
CECR2,PKP2
RCAN1,STAT2
AMZ1,CYFIP2
COX7B,UQCRH
MACROH2A2,SBF2
NFYA,SQLE
MRFAP1L1,PDZD11
NSA2,ZNF646
CANX,HYAL3
IGSF6,CANX
RASIP1,BUB3
SIT1,SYK
MTMR8,TUBB6
GFI1,RUNX1T1
EVI2B,AQP1
S100A16,GMCL1
S100A16,TBC1D22B
IL17F,GMCL1
RAB5C,GPRC5A
HSPA4,MRGBP
C1orf43,KCNJ6
ETV6,KLHL9
WDHD1,MGME1
RRAGC,WDR24
KCNJ6,TMPPE
KCNJ6,LRRC1
OSBPL3,ZNF835
TMED2,OSBPL6
GEM,TRIM27
CD2BP2,LSM2
SH3KBP1,SERPINH1
ARHGEF33,BRD4
DNAJA2,NUDC
RPL23A,GGACT
ZNF543,KRTAP10-7
ABHD6,C3orf52
ZNF827,MTA1
DHRS13,C3orf52
AGAP2,INSR
ADAT3,BYSL
MGAT4B,C3orf52
ATP5PO,KNDC1
NDUFS1,KNDC1
PPP1R3B,NUP153
MOK,REST
PECR,ACTA2
TUBD1,TOP1
TCP11L2,ACTA2
FANCD2OS,CNOT9
ACTA2,LCMT2
ACTA2,SLC9A5
NDUFAB1,OXSM
SDF2L1,SDF2
TRIM46,USP2
KAZN,USP2
DCT,LGR4
OXER1,RNF208
GRK2,PDE6G
CCR8,PLEKHB1
HAVCR1,DNAJA3
FAP,RBM4
SCFD2,GRK2
AASS,FAM174A
TRIB3,TCF19
INPPL1,C1orf198
PLAAT4,TGM1
THAP10,TGM1
FOXF1,LRP1
TSHZ2,SPOP
SDK2,PVR
TMEM65,PVR
SNRNP35,SNRPN
PVR,NECTIN1
CP,GNG8
COX8A,CYC1
STX1B,NUFIP1
MRPS16,COQ4
ELK1,FLI1
LACTB,CKMT1B
MYL3,TCAP
FBXL2,YPEL3
SUFU,NR2E1
EPN1,EHD2
TMEM87A,TIMP1
TMEM87A,NAGA
FGG,APBB1IP
FRS2,FGF22
FRS2,FGF20
ARPC5,WIPF3
ACSF3,SIRT4
NUDCD2,IBTK
TMEM42,EDA
TARS3,BBS7
SH2D1B,NFKBID
CD160,ITGA6
PJA1,TALDO1
ITGA6,TSPAN4
ALPP,IGFBP6
TSPAN5,SLC7A2
TSPAN5,TVP23C
CASP4,CASP10
CAPN3,PREPL
HCN1,IVL
ALG3,NIPAL1
DNAAF5,CASP4
ATP2B1,ADAM12
ANKRD11,BHLHB9
NIPAL1,GHDC
A2ML1,HCN1
ASB6,PHLDA1
CCDC130,ESS2
ACTR3B,CMSS1
RPS4Y2,KLRG2
DUSP12,TMEM11
N4BP2L2,OLFM2
IFI30,TRIM68
PMS1,SNX21
LRP10,MARCHF1
LRWD1,RPGR
E4F1,ZC3H8
E4F1,VWCE
RHBDD2,MLX
ARSA,FBXL12
FOXS1,RTCA
RNF166,BMP2K
YPEL5,CTSA
APLF,H2BC11
ADSS2,GMPS
ZNF689,ZNF324B
AGPAT2,GMPS
GABARAPL2,NIPSNAP1
BMT2,PRKAA1
XPNPEP1,CD6
STMN3,LTB4R2
SLC2A8,REEP5
MGLL,LTB4R2
PES1,TNRC18
FKBP4,IRF4
DDX5,RPS6KB2
RASA1,BBS10
STRN3,SPINK2
CPSF6,TPRKB
MAN2C1,SGTB
FILIP1,STRN3
CPA4,APTX
KRT86,NEFM
TSPYL6,GUF1
TSPAN17,GPR89A
RABGAP1,RABGAP1L
PRICKLE1,KIF9
GPR89A,TMEM169
GPSM3,CTU1
ARHGDIG,ARHGAP15
GRIN1,ELMO2
ZBTB9,FOXD4L6
F12,PEX6
CORO1A,RABGAP1
MYL12B,TSPYL6
ANKRD23,TTN
CTSC,XRN2
MAP3K3,MYO1A
BCKDHB,CD3D
PAIP2B,LARP1B
NOB1,KLHL22
FRYL,SLMAP
FCN1,KLHL22
MDP1,ESYT1
SLC38A10,CD3D
DNASE1L1,TOR1B
COL6A1,MMP12
COL6A1,COL11A2
CEACAM8,BCKDHB
CEACAM8,MAN1A1
CEACAM8,TOR1B
HDAC2,CBFA2T3
SPATA33,MTERF3
EFTUD2,PAXBP1
TMEM255A,ITCH
TMEM92,ITCH
CCDC17,FGFR3
RABL2B,FGFR3
TP73,PIWIL1
HSPA1B,CER1
H2AX,H4C1
SERPINB5,LRRFIP1
SERPINB5,GPBP1
HTR3A,ALG8
P4HA3,SERTAD3
COL4A5,COL9A1
DAPP1,LITAF
CNNM1,HTR3A
SARM1,CCDC47
RNF183,LITAF
INO80C,BCL7C
CRLF3,MOB1A
LY6H,PCSK5
GRIA3,GRIN2C
LRCH1,MOB1A
CILK1,NR0B2
PRDM5,THAP11
PRMT3,C3orf18
POM121C,LOXL4
TRAF3IP3,GGPS1
SLC18A2,TTI2
SLC18A2,UBXN8
SLC18A2,TMEM109
ATP1B1,TSC22D2
ATP1B1,TSPAN6
ERLEC1,ST3GAL1
DKKL1,CELSR1
DKKL1,TGFBR3
DKKL1,RAD51B
DKKL1,HTRA1
CTSV,TSPAN6
SIRPA,TBX3
AGBL3,ANLN
RHBDF1,SHMT2
ZGRF1,NEK4
OMG,NEK4
KIAA0895,SHMT2
UNC13A,SHMT2
SHMT2,KIRREL3
SHMT2,ARMH3
OTUB1,IL1RL2
NUP62,NUP85
PHF8,USP7
HSF1,TBP
RGR,CASP6
PCYT2,CASP6
SRGN,CD44
MPI,CASP6
SPATA12,CASP6
SPATS1,CASP6
SORT1,PARP9
NPB,PROC
CEP131,LRRCC1
TXK,SOCS3
PLCE1,RAP1A
IFNA2,SOCS3
ABCA3,PTH1R
RABGEF1,CPNE5
DUSP14,CBR4
DUSP14,ANXA9
APH1A,TMEM140
MMP9,MMP19
PFDN6,ARHGEF39
GTPBP6,SKAP1
ZSCAN1,PLRG1
GLI3,ZIC1
COL6A3,MMP9
RNASEH2A,LAMA5
ELF3,PRKCSH
CNTN1,FCGRT
VTA1,DIAPH3
VPS4A,CLIC3
FNDC5,CLIC3
FNDC5,PRSS8
FNDC5,JCHAIN
FCGRT,ULBP3
DLG3,NCALD
DLG3,KCNJ12
SLC22A9,FLVCR1
GZMB,NMT1
TAFA3,KIF1A
KRTAP9-8,NR1D2
TIMM10,PIGR
CTSG,TCF25
TAF9,KAT2B
RBPJ,KAT2B
ANKRD42,PPP1CC
PPP1R14B,PPP1CC
NAPEPLD,PPP1CC
SLCO4A1,LGALS3
PTPRT,LGALS3
TCTN2,PIGB
LGALS3,SYPL1
GRM2,CLDN9
DUS3L,TRADD
PABPN1L,CNOT2
GALT,VAC14
GALT,HLA-DQA1
HINT3,CEP57
YAF2,MORC4
LRRIQ1,TNFRSF10B
NTM,KRTAP1-1
SFT2D2,GPR152
IFNA8,GPR152
UNC5B,RET
SDR16C5,SSUH2
DSG3,SSUH2
FAXDC2,GPR152
SSUH2,AKR1B10
GPR152,CD72
GPR152,PIGF
TAS2R42,MAP9
EXOC8,ARSF
TRAP1,ARSF
TRPM4,S100A8
RGS19,RGS20
PON2,CNTNAP3B
UPK1A,ALG10
UPK1A,TRPM4
GPIHBP1,UGGT2
GPIHBP1,WDR5B
DHFR,SPG11
KLC3,KLHL21
ORM1,C18orf21
CLCN3,ACVR2B
RPP14,C18orf21
PRG3,GID8
KIDINS220,EVA1C
L1CAM,SHTN1
ARCN1,SCYL1
ARCN1,ARHGEF10L
HSPA4L,ARHGEF10L
ACAA2,POLG
C1D,ZCCHC8
EGFR,HCK
PSEN1,PLPP1
CDH12,PSEN1
CDK2,CDC6
RPL4,RPL14
HSD3B1,AQP6
DHRSX,AQP6
MAGEA8,GFPT2
CCT8L2,MPP2
NADK,FAM124B
FNDC3B,MBD3L1
PDZK1,SLC5A6
PDZK1,KCTD5
DIPK1A,CD1B
CPNE2,RABEP2
CPNE2,ZNF318
EPHA4,CEACAM21
TMPRSS11B,B4GALT1
BTN2A2,CD1B
BLOC1S1,PBX2
DNA2,NRBP1
CPSF4,MYOG
TESK2,MELK
TESK2,NADK
TESK2,DENND1A
SRRM1,SNRNP40
RAG2,SKP2
H3-3A,HPF1
SAMM50,TOMM7
MGAT4C,SPCS2
LRIG3,TAZ
MEI4,NME7
MCRS1,UBR5
RIPK4,NAA16
CEP128,CDC123
CEP128,CCDC66
CCR6,CERS5
DNAJB6,NOPCHAP1
CA4,TEX101
PRG2,VWA1
CLK1,ASL
ANKRD28,ZNF276
DAPK1,ZMYM5
SYNPO,CPM
BSPRY,USP4
CHIA,BIRC6
JDP2,NKX2-1
IL13RA2,NETO2
ERO1A,BPIFB1
GAK,AFAP1
RYR1,TULP3
ZNF462,TULP3
PALD1,IL13RA2
FRA10AC1,PSENEN
LIN7B,MAK16
SLC38A2,RNF5
ST8SIA5,ITGB5
SUSD3,S100A7
DUT,ARHGAP35
ARL6IP6,RNF5
RNF5,UBTD1
TMEM30A,TMX4
CALML5,FRMD1
ITGB5,TGFB3
POLA2,RPA4
ERG28,ZFP64
HPN,FKBP14
WDR62,BCL7B
GPI,ZNF207
ZNF777,ANKRD52
KCTD6,NAA50
COL4A1,MMP13
WBP4,ZNF207
SUDS3,LHX3
RNF6,UBE2H
MYL1,NEB
C1GALT1C1,HPN
P2RX2,FNTB
CST1,LRRC8E
TRIM3,LRRC8E
KIF3B,AKAP12
CHMP5,CHMP6
NPHP4,LCN1
ALOX12B,RPS19BP1
ALOX12B,NPPA
APOOL,COASY
FKBPL,EIPR1
CYB5R1,SCN4A
CHMP2B,CHMP5
SLC2A12,GPR12
CSPG5,SCN4A
SNRNP70,ZRANB2
SNRNP70,SLTM
RAMP3,HSPB3
CDK2AP2,IKZF1
SEPTIN3,TRIM11
RALGPS2,PPM1H
EFNB3,TRIM11
GPR151,IGFBP5
C1QTNF1,COL4A2
GH1,APRT
COL4A2,MMP10
TACC3,MVK
ECI2,KRT80
ARHGAP27,CDC42
YAP1,DDX17
ALDH1A1,OR2A4
CTLA4,DGAT1
CRMP1,SEPHS1
UTP14A,UTP14C
MAB21L2,FCHO2
CDH11,FGFR1
NUP62,ATF7IP2
SLC15A2,ENKD1
MEIS3,ENKD1
ANKRD23,ENKD1
PDPN,SHARPIN
CRBN,FAM83G
NME4,ACP6
MFSD4A,FADS3
MFSD4A,DTYMK
CHRM2,RGS7
NBPF19,P2RX7
NBPF19,DBH
KDM3A,CBX4
EML1,PRPS2
BPHL,CENPM
LRCH4,RTN4
CENPM,NAA25
STING1,TMEM100
GRB10,TNK1
TUBB1,IGSF21
ORC4,TNFRSF6B
DES,KRT73
NRSN1,MINDY1
PTP4A3,SMAP1
RORB,MED25
BRWD3,SORL1
BTLA,TUBB1
PHACTR3,CYB5B
IPO4,H4C2
ZC3H15,TNNT1
ABCC6,PGK1
FAM162A,CTNNA3
CDC42EP4,SPRTN
TWF2,VRK3
AARS2,SUCLG1
CHMP2A,MILR1
TMEM52B,CLDN19
DCTN6,KIF3C
DCTN6,HLA-DOB
DCTN6,HLA-DOA
SCAMP3,FAM234B
PDF,BTF3
ABHD10,IFIH1
BMP10,BMPR2
DSC1,DSG2
DHCR7,PTPN5
OIT3,CHRD
CTSH,RGS2
MSMO1,FZD7
PLEKHG3,POTEI
KDSR,IFNGR2
NCS1,FZD7
FOXC1,NFIC
FOXC1,SATB2
EXT1,OSTF1
ESRRA,NRF1
EMP3,POTEI
EMP3,IFNGR2
FBXO45,POGLUT1
PDE3B,MARCHF4
ATP6V0D2,PHF12
CYP51A1,MARCHF4
PPP1R21,TPP2
NUDT6,MTIF2
PDPK1,SERPINA4
MTIF2,NIPSNAP3B
CHMP4B,TPBG
TMEM38B,PBXIP1
ZNF507,PRKAR1B
CLEC12A,PBXIP1
FAM43A,PRKAR1B
PER2,WASHC5
PIAS3,FOXP2
CDK3,FOXP2
SLC20A1,SYNGR1
ANO6,SYNGR1
ANO6,MIA2
ZNF792,KRTAP2-4
RAPGEF4,WEE1
POLR3G,SNAPC4
MIS12,TJAP1
VDR,NKD2
ASPH,SMDT1
GOLGA6L9,TJAP1
GOLGA6L9,ZKSCAN3
GOLGA6L9,ZNF580
LAT,CLDN2
EIF2S3,ZKSCAN3
ZNF580,CCDC136
FBXL4,PKP1
COG2,FBXL17
ZNF648,SYNE4
ATP9A,ATP13A3
XBP1,EDEM1
SYNE4,KIF5C
SYNE4,RPS6KA6
DRD2,SLC6A1
DRD2,BCAP29
PLEKHO2,CAPZB
TFAP2A,DBF4B
SLC39A4,PIEZO1
GAPDHS,PGM1
HEY1,PCLAF
ELAVL2,IREB2
CATSPER1,C11orf1
CATSPER1,AGR3
SLC22A18,SLC39A4
KCNA4,KCNA5
AMY1C,ACTR8
GFER,THAP4
ARSK,LACRT
ARSK,LMAN2L
RRAGA,NOL8
BCKDK,MRM2
ABCF2,TM9SF4
NHP2,NOS1AP
SERPINB13,CSGALNACT1
POLL,SEMG1
CST9L,ARSK
FOXM1,RB1
CEP76,NME5
POLR2L,GPN2
SIVA1,MDM2
STX19,SNAP23
LMX1B,ATP6V0D1
BLOC1S3,NAPA
KCNC4,BAG5
KRT77,KRT19
TIMM17A,TOMM40
SERPINB4,RASSF9
HBB,SDHD
GIT1,PTPRZ1
CHRNA4,MTARC1
CHRNA4,FAR2
CHRNA4,DIPK2A
CCDC85B,TSPYL4
MAGED2,ATG2A
INTS14,DOT1L
MRTO4,MTMR2
AFF1,DOT1L
GPR21,FADS1
RANBP6,NOL9
KRTAP15-1,ZBTB32
SLC39A12,FADS1
PRR35,PPIL1
LPCAT3,PLA2G2A
PHKG2,SCO2
SNX5,SIPA1L2
CLDN7,SCARB1
HLA-A,P2RX5
ZNRD2,NSUN5
ZNRD2,CDC42BPG
APPBP2,SETMAR
LINGO2,SMURF2
UCHL5,PSMB5
KRT31,MAP3K7CL
DCUN1D4,VAV2
OTUD4,TRAF1
SFN,GAN
CRELD1,SGPP1
NPLOC4,KCNK16
ABCD4,TNFRSF10A
IRF4,YTHDC2
CACNG5,SPAG9
OR6T1,NPLOC4
ABLIM1,NTN1
MAPK8IP2,MASP1
DYNC1LI2,PHACTR4
DYNC1LI2,PALM2AKAP2
AEN,ZBTB8A
AHSG,SNX27
ZNF497,ZBTB8A
KLHL40,ABLIM1
CEBPE,GATA1
CTDSP2,P4HA1
MPPE1,UXS1
DNAI2,FAM83D
EAPP,MTMR1
NCCRP1,UCP2
FLG,UCP2
FLG,FCF1
C18orf25,PTPN4
CST4,UCP2
ZNF526,BRAP
ZNF526,ZNF837
SLC27A4,TENT5B
PRKAG3,MARCHF7
IGFBP3,FAM20C
BLOC1S2,BFSP2
HTATSF1,H3C15
BRAT1,DNAI2
RAB35,CA14
SLC12A7,GJB1
RHOA,TTPAL
PCBP3,RBM39
NDUFA4,ATP5PO
NDUFA4,NDUFS1
RXRG,SRF
ASNS,PRKAG2
IL17B,DCTN5
CAND2,SCN2B
KLRK1,CBWD3
FABP1,ACADM
ATE1,GPR37
GUCD1,TFAP2D
AGPAT3,LPIN3
TMEM179B,STEAP3
TRAPPC3,RAB3IL1
CHORDC1,NSRP1
ADGRG5,LCLAT1
ZNF746,ZNF282
UFC1,TPT1
MGAT4B,OPRL1
ANXA3,TP53
HIPK1,TP53
CCN3,S100A4
GBP2,ANXA7
F13A1,ANXA7
CYP19A1,ATG9A
C1orf131,RARS1
SYNRG,SMAP2
PRMT6,TEX35
MFNG,NUP85
HDX,ITSN1
ITSN1,PPFIA2
PSMA5,L3MBTL4
MYL9,CFTR
LIMK1,CDC42BPA
FCGR1A,CDC42BPA
EGF,FGF5
PLA2G4D,PLBD1
VPS41,PLBD1
VPS41,SULT1C4
FOXD4,AHCYL2
CCNA2,CRIPT
LYAR,ARMCX2
ALDH5A1,GPR55
DBN1,LIMA1
SDR16C5,SARAF
DSG3,SARAF
ZNF618,MID1
AHCYL1,RAB40C
AHCYL1,PLEKHJ1
AHCYL1,EN1
AHCYL1,MAB21L3
ZSCAN18,ZNF24
CDC20B,CCDC57
ZFP1,WASHC3
KRT72,TF
ZNF24,ZSCAN9
NTSR1,SLC6A8
TEPSIN,KIF16B
NOS1,PTPRN
EYA1,GRPEL1
GNB4,NR2E1
PTPRN,COLGALT1
RMC1,UGDH
PNKD,ARFGEF3
ARL6IP1,SNX4
FOXO1,PAX3
UBE2U,HPX
UBE2U,TRIM2
PCK2,ZMYM3
ATP2B3,AGK
ATP11C,AZGP1
GM2A,RIPPLY3
ATP2C1,AGK
ATP2C1,JAG2
AKR7L,PPFIBP1
USP24,H2AP
DPEP1,TMEM214
TMEM239,SCAND1
B4GALT3,B3GNT7
B4GALT3,ADAM21
RBFOX1,COPRS
RIPPLY3,SULT2B1
STX18,B3GNT7
STX18,NAPG
HMMR,THRSP
HCCS,ATL2
HCCS,EVA1B
HCCS,ARMCX3
ATXN3,WDR87
DAXX,MSANTD4
TGFB1,RETNLB
ATP6V0B,SNTA1
INSRR,ACVR1B
GCNT1,TTC19
AGXT,TTC19
NUDCD2,NEK9
RCL1,GEMIN7
DCC,HEMGN
H3C14,SETD1B
CDIPT,IGFBP6
ULBP2,MED21
CHDH,COQ9
FCN2,FFAR2
ETFDH,COQ9
COQ9,ARMC10
SUGT1,PPEF2
SDC2,HS3ST2
ZSCAN22,ZNF444
TAX1BP3,GIT2
CCDC167,HSD17B13
LSMEM2,SEC22A
SEC22A,GPR37L1
SEC22A,CYBRD1
SEC22A,TMEM159
H2BC1,GINS3
SPECC1L,PPP1R12C
SYT2,BRPF1
CRYBG1,PPP2R5A
CCDC85A,PIP4K2B
COL14A1,FCN3
H2AB2,NLE1
POTEE,IL27RA
MPP1,TRPS1
POLR3H,SNAPC1
DUSP19,BLVRA
DUSP19,GATD1
ZNF333,TRIM55
DBI,AGRN
TRIM55,KYAT1
ATXN2L,YBX1
PSMD14,SVOP
PSMD14,RGS22
PSMD14,GRAMD2A
RPLP2,RPS6
HADHA,NRXN3
HADHA,ACADS
CSN3,EIF3E
HDAC5,CCAR2
SLC11A2,SPPL2B
FADS3,YTHDF1
EPHA8,BTK
EMID1,YTHDF1
AFG3L2,PDP2
AFG3L2,MAGEA2
TRIM39,ZNF223
CLEC12B,NXPE3
CLEC12B,LRP11
TRAF3IP1,IFT80
POP1,ZNF692
FAM217B,L3MBTL2
GUCY1A2,NOS2
MTURN,KCTD10
PRSS35,GLS
HAPLN3,CLEC12B
ARL4C,EDC3
SFTPA2,CLTCL1
C1orf109,ZNF17
MLF1,PROZ
ALG2,CD79B
CA8,POF1B
WDR55,NOC3L
TRPM4,CD79B
JMJD1C,FBXO38
JMJD1C,ALG13
AAMP,C8orf33
PPFIA1,CARTPT
IPO8,ZNF264
CDKAL1,ITLN1
HLA-DQA2,DYNC2LI1
CISD3,SARS2
MARCKSL1,SPHK1
FBXO22,PTP4A1
ZNF579,NEUROG3
SEMA4D,PLXNA3
GALNT10,HYAL2
PPOX,ANTXR1
NARS1,SUV39H2
MX1,BCS1L
GCH1,RRM1
SS18L1,DPF3
SS18L1,RLIM
CST11,RLIM
SRCAP,QPRT
CDX1,SDAD1
TMEM147,SLC22A2
TMEM147,BRF2
TMEM147,F11R
ZFP91,CASQ2
LRFN4,REPS1
PLSCR4,RAMAC
SLC39A9,CREB3L3
CPVL,NEXN
RNF169,PLAA
PDZK1IP1,GIMAP5
FEM1B,BPNT1
PA2G4,RPL15
PARP2,H4C1
ERCC6,PCNA
ATP5F1A,RPS6KB2
HSP90AB1,KCTD8
SF3B4,METTL17
TSFM,TRMT61B
UQCRFS1,GPT2
NPAS1,PRUNE1
KIF11,FLYWCH1
OS9,SULF1
GRIN3B,HLA-DRB1
SLC35D2,GPC1
