task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	c7/ffceaf	7725	PREPROCESSING_TFA (Preprocessing and TFA analysis)	COMPLETED	0	2026-01-23 16:14:04.267	2m 49s	2m 49s	596.1%	2.4 GB	5.1 GB	64.9 MB	67.7 MB
1	dc/cf6b98	13114	LOG_PARAMETERS (Logging pipeline parameters)	COMPLETED	0	2026-01-23 16:16:53.752	299ms	12ms	57.1%	0	0	68.9 KB	6.7 KB
3	eb/3ce881	13273	CLUSTERING (CLUSTERING 1)	COMPLETED	0	2026-01-23 16:16:54.089	13m	12m 59s	101.0%	937 MB	11.4 GB	3.6 MB	68.5 KB
7	b7/68c027	13370	CLUSTERING (CLUSTERING 5)	COMPLETED	0	2026-01-23 16:16:54.125	13m 17s	13m 16s	101.1%	850.8 MB	11.4 GB	3.6 MB	68.4 KB
14	6a/495786	13314	CLUSTERING (CLUSTERING 12)	COMPLETED	0	2026-01-23 16:16:54.106	13m 29s	13m 29s	101.0%	945.5 MB	11.4 GB	3.6 MB	68.6 KB
6	61/e8cebc	13407	CLUSTERING (CLUSTERING 4)	COMPLETED	0	2026-01-23 16:16:54.138	13m 30s	13m 29s	101.0%	944.8 MB	11.4 GB	3.6 MB	68.4 KB
9	50/1c8539	13348	CLUSTERING (CLUSTERING 7)	COMPLETED	0	2026-01-23 16:16:54.117	13m 33s	13m 32s	101.2%	860.7 MB	11.4 GB	3.6 MB	68.4 KB
11	a0/7a336f	13451	CLUSTERING (CLUSTERING 9)	COMPLETED	0	2026-01-23 16:16:54.148	13m 34s	13m 34s	100.8%	1 GB	11.4 GB	3.6 MB	68.3 KB
16	2c/620b88	13495	CLUSTERING (CLUSTERING 14)	COMPLETED	0	2026-01-23 16:16:54.171	13m 45s	13m 44s	101.0%	955.1 MB	11.4 GB	3.6 MB	68.3 KB
5	87/e42ca7	13291	CLUSTERING (CLUSTERING 3)	COMPLETED	0	2026-01-23 16:16:54.096	13m 46s	13m 46s	100.9%	976.1 MB	11.4 GB	3.6 MB	68.6 KB
10	d2/044cc1	106369	CLUSTERING (CLUSTERING 8)	COMPLETED	0	2026-01-23 16:29:53.695	13m 3s	13m 2s	101.0%	958.7 MB	11.4 GB	3.6 MB	68.5 KB
4	b2/4d6b97	109309	CLUSTERING (CLUSTERING 2)	COMPLETED	0	2026-01-23 16:30:10.796	13m 2s	13m 1s	101.2%	942.8 MB	11.4 GB	3.6 MB	68.6 KB
13	19/157e06	111688	CLUSTERING (CLUSTERING 11)	COMPLETED	0	2026-01-23 16:30:23.135	12m 59s	12m 58s	101.2%	943.5 MB	11.4 GB	3.6 MB	68.5 KB
15	c4/2db129	114004	CLUSTERING (CLUSTERING 13)	COMPLETED	0	2026-01-23 16:30:28.087	12m 56s	12m 55s	101.3%	909 MB	11.4 GB	3.6 MB	68.5 KB
8	3f/c3385d	112003	CLUSTERING (CLUSTERING 6)	COMPLETED	0	2026-01-23 16:30:23.949	13m 15s	13m 15s	101.2%	938.6 MB	11.4 GB	3.6 MB	68.3 KB
17	f6/7564fd	118727	CLUSTERING (CLUSTERING 15)	COMPLETED	0	2026-01-23 16:30:40.495	13m	13m	101.0%	1.1 GB	11.4 GB	3.6 MB	68.3 KB
12	f8/4fd7c9	113380	CLUSTERING (CLUSTERING 10)	COMPLETED	0	2026-01-23 16:30:26.877	13m 30s	13m 29s	101.2%	899.2 MB	11.4 GB	3.6 MB	68.6 KB
19	3e/15d05f	117894	CLUSTERING (CLUSTERING 17)	COMPLETED	0	2026-01-23 16:30:38.917	13m 19s	13m 19s	101.1%	948.5 MB	11.4 GB	3.6 MB	68.5 KB
