task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	45/ef15bb	2825237	PREPROCESSING_TFA (Preprocessing and TFA analysis)	COMPLETED	0	2026-02-08 11:05:43.621	2m	1m 59s	399.4%	1.9 GB	3.5 GB	51.1 MB	10.9 MB
1	41/82588e	2827348	LOG_PARAMETERS (Logging pipeline parameters)	COMPLETED	0	2026-02-08 11:07:43.646	482ms	26ms	28.5%	0	0	84.7 KB	7.1 KB
7	26/d3c1cc	2827639	CLUSTERING (CLUSTERING 5)	COMPLETED	0	2026-02-08 11:07:44.224	9m 46s	9m 45s	96.0%	1.4 GB	34.4 GB	3.6 MB	68.3 KB
5	8d/199094	2827524	CLUSTERING (CLUSTERING 3)	COMPLETED	0	2026-02-08 11:07:44.152	9m 56s	9m 55s	96.5%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
9	ea/615777	2827544	CLUSTERING (CLUSTERING 7)	COMPLETED	0	2026-02-08 11:07:44.163	9m 56s	9m 56s	96.4%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
11	33/2f8e08	2827598	CLUSTERING (CLUSTERING 9)	COMPLETED	0	2026-02-08 11:07:44.199	9m 57s	9m 57s	96.4%	1.4 GB	34.3 GB	3.6 MB	68.4 KB
8	09/e45412	2827620	CLUSTERING (CLUSTERING 6)	COMPLETED	0	2026-02-08 11:07:44.216	9m 58s	9m 58s	95.9%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
6	e7/eb806b	2827515	CLUSTERING (CLUSTERING 4)	COMPLETED	0	2026-02-08 11:07:44.146	10m 5s	10m 5s	96.2%	1.8 GB	34.4 GB	3.6 MB	68.5 KB
12	e8/beb681	2827507	CLUSTERING (CLUSTERING 10)	COMPLETED	0	2026-02-08 11:07:44.137	10m 9s	10m 8s	96.1%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
4	09/0ca428	2827643	CLUSTERING (CLUSTERING 2)	COMPLETED	0	2026-02-08 11:07:44.232	10m 12s	10m 12s	96.2%	1.4 GB	34.4 GB	3.6 MB	68.7 KB
3	be/5cd8b2	2827553	CLUSTERING (CLUSTERING 1)	COMPLETED	0	2026-02-08 11:07:44.171	10m 21s	10m 21s	96.8%	1.8 GB	34.4 GB	3.6 MB	68.7 KB
10	72/c23e5e	2827582	CLUSTERING (CLUSTERING 8)	COMPLETED	0	2026-02-08 11:07:44.189	10m 24s	10m 23s	95.6%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
17	b9/7f9a49	2920406	CLUSTERING (CLUSTERING 15)	COMPLETED	0	2026-02-08 11:17:29.926	9m 30s	9m 30s	96.4%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
18	6e/2b3eae	2923774	CLUSTERING (CLUSTERING 16)	COMPLETED	0	2026-02-08 11:17:42.456	9m 45s	9m 44s	97.1%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
15	e9/52e8a1	2927485	CLUSTERING (CLUSTERING 13)	COMPLETED	0	2026-02-08 11:17:53.017	9m 36s	9m 35s	96.6%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
24	06/749946	2928793	CLUSTERING (CLUSTERING 22)	COMPLETED	0	2026-02-08 11:17:56.256	9m 42s	9m 42s	96.9%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
19	07/891296	2926078	CLUSTERING (CLUSTERING 17)	COMPLETED	0	2026-02-08 11:17:49.606	9m 54s	9m 53s	97.1%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
14	22/efaaab	2922479	CLUSTERING (CLUSTERING 12)	COMPLETED	0	2026-02-08 11:17:40.100	10m 5s	10m 4s	96.6%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
16	43/564d47	2923221	CLUSTERING (CLUSTERING 14)	COMPLETED	0	2026-02-08 11:17:41.402	10m 18s	10m 18s	96.4%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
29	68/2e963c	2931655	CLUSTERING (CLUSTERING 27)	COMPLETED	0	2026-02-08 11:18:05.234	9m 56s	9m 56s	96.8%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
13	51/ef1e1b	2922209	CLUSTERING (CLUSTERING 11)	COMPLETED	0	2026-02-08 11:17:39.789	10m 28s	10m 26s	96.6%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
25	08/0f91a1	2932628	CLUSTERING (CLUSTERING 23)	COMPLETED	0	2026-02-08 11:18:08.168	10m 13s	10m 13s	96.4%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
20	09/536d40	3011401	CLUSTERING (CLUSTERING 18)	COMPLETED	0	2026-02-08 11:27:00.412	10m 14s	10m 13s	96.0%	1.8 GB	34.4 GB	3.6 MB	68.7 KB
26	c7/61960e	3016213	CLUSTERING (CLUSTERING 24)	COMPLETED	0	2026-02-08 11:27:27.582	10m 22s	10m 21s	96.2%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
23	0b/f67bf0	3021083	CLUSTERING (CLUSTERING 21)	COMPLETED	0	2026-02-08 11:27:45.207	10m 5s	10m 4s	96.1%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
22	e8/ea79a1	3016423	CLUSTERING (CLUSTERING 20)	COMPLETED	0	2026-02-08 11:27:28.594	10m 22s	10m 22s	96.5%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
28	d8/59b60a	3020316	CLUSTERING (CLUSTERING 26)	COMPLETED	0	2026-02-08 11:27:43.497	10m 12s	10m 11s	96.4%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
21	6b/e152c9	3018921	CLUSTERING (CLUSTERING 19)	COMPLETED	0	2026-02-08 11:27:38.596	10m 31s	10m 31s	96.0%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
30	01/c0eea1	3026866	CLUSTERING (CLUSTERING 28)	COMPLETED	0	2026-02-08 11:28:07.477	10m 26s	10m 26s	96.3%	1.8 GB	34.4 GB	3.6 MB	68.5 KB
