task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	43/59d332	47590	PREPROCESSING_TFA (Preprocessing and TFA analysis)	COMPLETED	0	2026-01-19 20:12:47.407	2m 50s	2m 50s	610.6%	2.4 GB	5.1 GB	64.9 MB	67.7 MB
2	0f/c877b8	53760	LOG_PARAMETERS (Logging pipeline parameters)	COMPLETED	0	2026-01-19 20:15:37.675	321ms	11ms	61.5%	0	0	69 KB	6.7 KB
12	6d/a0062d	54016	CLUSTERING (CLUSTERING 10)	COMPLETED	0	2026-01-19 20:15:38.065	12m 40s	12m 40s	101.0%	925.4 MB	11.4 GB	3.6 MB	68.4 KB
4	43/f32477	53921	CLUSTERING (CLUSTERING 2)	COMPLETED	0	2026-01-19 20:15:38.018	13m 27s	13m 26s	100.8%	949.6 MB	11.4 GB	3.6 MB	68.3 KB
9	66/885601	54049	CLUSTERING (CLUSTERING 7)	COMPLETED	0	2026-01-19 20:15:38.078	13m 34s	13m 34s	100.9%	911.9 MB	11.4 GB	3.6 MB	68.4 KB
5	39/5785a3	54094	CLUSTERING (CLUSTERING 3)	COMPLETED	0	2026-01-19 20:15:38.095	13m 35s	13m 35s	100.8%	981.8 MB	11.4 GB	3.6 MB	68.5 KB
13	e6/637981	53939	CLUSTERING (CLUSTERING 11)	COMPLETED	0	2026-01-19 20:15:38.027	13m 38s	13m 37s	100.9%	934.4 MB	11.4 GB	3.6 MB	68.4 KB
11	d6/b962f4	54125	CLUSTERING (CLUSTERING 9)	COMPLETED	0	2026-01-19 20:15:38.107	13m 44s	13m 44s	100.9%	927.6 MB	11.4 GB	3.6 MB	68.5 KB
6	b2/efba21	53965	CLUSTERING (CLUSTERING 4)	COMPLETED	0	2026-01-19 20:15:38.038	13m 59s	13m 59s	101.1%	827.9 MB	11.4 GB	3.6 MB	68.8 KB
7	60/3c1d26	53990	CLUSTERING (CLUSTERING 5)	COMPLETED	0	2026-01-19 20:15:38.052	14m 13s	14m 12s	100.9%	947.9 MB	11.4 GB	3.6 MB	68.5 KB
3	3d/aba7a7	146584	CLUSTERING (CLUSTERING 1)	COMPLETED	0	2026-01-19 20:28:18.067	12m 37s	12m 37s	101.1%	988.8 MB	11.4 GB	3.6 MB	68.3 KB
14	8f/c9a277	150365	CLUSTERING (CLUSTERING 12)	COMPLETED	0	2026-01-19 20:29:12.366	13m 1s	13m 1s	101.0%	1002.6 MB	11.4 GB	3.6 MB	68.3 KB
8	f1/e60ee9	148989	CLUSTERING (CLUSTERING 6)	COMPLETED	0	2026-01-19 20:29:04.785	13m 17s	13m 17s	101.1%	934.2 MB	11.4 GB	3.6 MB	68.4 KB
10	21/607b57	150749	CLUSTERING (CLUSTERING 8)	COMPLETED	0	2026-01-19 20:29:13.577	13m 10s	13m 10s	101.2%	922.6 MB	11.4 GB	3.6 MB	68.5 KB
26	83/cc5fb0	159777	CLUSTERING (CLUSTERING 24)	COMPLETED	0	2026-01-19 20:29:50.760	12m 46s	12m 46s	101.3%	880.2 MB	11.4 GB	3.6 MB	68.3 KB
16	32/c694e0	154366	CLUSTERING (CLUSTERING 14)	COMPLETED	0	2026-01-19 20:29:22.435	13m 25s	13m 24s	101.3%	909.2 MB	11.4 GB	3.6 MB	68.5 KB
17	ac/6cb180	157250	CLUSTERING (CLUSTERING 15)	COMPLETED	0	2026-01-19 20:29:37.408	13m 23s	13m 23s	101.1%	959.4 MB	11.4 GB	3.6 MB	68.5 KB
15	ab/551bf0	151875	CLUSTERING (CLUSTERING 13)	COMPLETED	0	2026-01-19 20:29:15.685	13m 58s	13m 58s	101.1%	932.2 MB	11.4 GB	3.6 MB	68.4 KB
19	c0/2ab93c	238158	CLUSTERING (CLUSTERING 17)	COMPLETED	0	2026-01-19 20:40:55.372	13m 13s	13m 12s	100.9%	1.1 GB	11.4 GB	3.6 MB	68.4 KB
18	5e/ee0bd1	243041	CLUSTERING (CLUSTERING 16)	COMPLETED	0	2026-01-19 20:42:13.542	13m 19s	13m 19s	101.2%	928.8 MB	11.4 GB	3.6 MB	68.6 KB
21	5d/b77455	244908	CLUSTERING (CLUSTERING 19)	COMPLETED	0	2026-01-19 20:42:24.089	13m 13s	13m 13s	101.3%	832.4 MB	11.4 GB	3.6 MB	68.3 KB
20	83/61fbff	244273	CLUSTERING (CLUSTERING 18)	COMPLETED	0	2026-01-19 20:42:21.836	13m 18s	13m 18s	101.3%	823.8 MB	11.4 GB	3.6 MB	68.4 KB
23	c4/2262a9	249077	CLUSTERING (CLUSTERING 21)	COMPLETED	0	2026-01-19 20:42:47.061	13m 6s	13m 6s	101.2%	929.5 MB	11.4 GB	3.6 MB	68.5 KB
25	a1/361d2b	253902	CLUSTERING (CLUSTERING 23)	COMPLETED	0	2026-01-19 20:43:13.540	13m 10s	13m 10s	101.1%	949.8 MB	11.4 GB	3.6 MB	68.2 KB
