task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	93/e2ed48	1804405	PREPROCESSING_TFA (Preprocessing and TFA analysis)	COMPLETED	0	2026-02-06 20:09:10.153	2m 57s	2m 57s	533.3%	1.8 GB	3.5 GB	51.1 MB	10.9 MB
1	06/9ce321	1807450	LOG_PARAMETERS (Logging pipeline parameters)	COMPLETED	0	2026-02-06 20:12:07.588	445ms	19ms	63.7%	0	0	84.5 KB	7.1 KB
5	d9/4511b0	1807718	CLUSTERING (CLUSTERING 3)	COMPLETED	0	2026-02-06 20:12:08.113	12m 40s	12m 39s	94.9%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
9	a6/d7a594	1807994	CLUSTERING (CLUSTERING 7)	COMPLETED	0	2026-02-06 20:12:08.236	12m 56s	12m 55s	95.1%	1.4 GB	34.4 GB	3.6 MB	68.7 KB
3	b6/381685	1807758	CLUSTERING (CLUSTERING 1)	COMPLETED	0	2026-02-06 20:12:08.130	12m 57s	12m 57s	95.2%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
7	f9/3ade48	1807633	CLUSTERING (CLUSTERING 5)	COMPLETED	0	2026-02-06 20:12:08.070	12m 59s	12m 58s	95.2%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
12	f4/54bcbc	1807874	CLUSTERING (CLUSTERING 10)	COMPLETED	0	2026-02-06 20:12:08.196	13m 4s	13m 3s	95.3%	1.4 GB	34.4 GB	3.6 MB	68.8 KB
6	a1/49db52	1807686	CLUSTERING (CLUSTERING 4)	COMPLETED	0	2026-02-06 20:12:08.097	13m 5s	13m 5s	94.7%	1.4 GB	34.4 GB	3.6 MB	68.7 KB
8	92/dd2fe3	1807607	CLUSTERING (CLUSTERING 6)	COMPLETED	0	2026-02-06 20:12:08.048	13m 11s	13m 10s	94.7%	2.3 GB	34.4 GB	3.6 MB	68.5 KB
11	88/4daee6	1807617	CLUSTERING (CLUSTERING 9)	COMPLETED	0	2026-02-06 20:12:08.058	13m 12s	13m 11s	94.5%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
10	f8/2c3a74	1807908	CLUSTERING (CLUSTERING 8)	COMPLETED	0	2026-02-06 20:12:08.211	13m 18s	13m 18s	95.6%	1.8 GB	34.4 GB	3.6 MB	68.5 KB
4	32/3d6fea	1807659	CLUSTERING (CLUSTERING 2)	COMPLETED	0	2026-02-06 20:12:08.082	13m 21s	13m 21s	94.6%	1.8 GB	34.4 GB	3.6 MB	68.6 KB
13	99/645ce4	1911635	CLUSTERING (CLUSTERING 11)	COMPLETED	0	2026-02-06 20:24:47.973	12m 44s	12m 43s	95.2%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
22	08/ecc9fd	1917481	CLUSTERING (CLUSTERING 20)	COMPLETED	0	2026-02-06 20:25:18.780	12m 18s	12m 17s	95.7%	1.8 GB	34.4 GB	3.6 MB	68.3 KB
18	68/b28dbe	1913024	CLUSTERING (CLUSTERING 16)	COMPLETED	0	2026-02-06 20:25:03.946	12m 42s	12m 42s	94.6%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
21	a1/9ebd07	1918169	CLUSTERING (CLUSTERING 19)	COMPLETED	0	2026-02-06 20:25:20.015	12m 36s	12m 36s	95.1%	1.8 GB	34.4 GB	3.6 MB	68.6 KB
24	f0/6f37af	1921188	CLUSTERING (CLUSTERING 22)	COMPLETED	0	2026-02-06 20:25:29.540	12m 42s	12m 41s	94.8%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
14	8d/3757e3	1913440	CLUSTERING (CLUSTERING 12)	COMPLETED	0	2026-02-06 20:25:05.561	13m 8s	13m 7s	94.6%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
17	08/fb4161	1915768	CLUSTERING (CLUSTERING 15)	COMPLETED	0	2026-02-06 20:25:13.565	13m 1s	13m	95.2%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
23	93/e04b5e	1920139	CLUSTERING (CLUSTERING 21)	COMPLETED	0	2026-02-06 20:25:26.295	12m 52s	12m 52s	95.4%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
16	ca/45206e	1913821	CLUSTERING (CLUSTERING 14)	COMPLETED	0	2026-02-06 20:25:07.094	13m 13s	13m 12s	94.5%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
15	48/17c7db	1915249	CLUSTERING (CLUSTERING 13)	COMPLETED	0	2026-02-06 20:25:12.000	13m 23s	13m 22s	94.3%	1.4 GB	34.4 GB	3.6 MB	68.7 KB
27	62/51c3a7	2017080	CLUSTERING (CLUSTERING 25)	COMPLETED	0	2026-02-06 20:37:36.631	12m 27s	12m 27s	94.8%	1.4 GB	34.4 GB	3.6 MB	68.2 KB
26	17/d9a384	2018345	CLUSTERING (CLUSTERING 24)	COMPLETED	0	2026-02-06 20:37:46.092	12m 33s	12m 32s	95.3%	1.8 GB	34.4 GB	3.6 MB	68.4 KB
35	61/505221	2023955	CLUSTERING (CLUSTERING 33)	COMPLETED	0	2026-02-06 20:38:18.661	12m 10s	12m 9s	95.2%	1.4 GB	34.4 GB	3.6 MB	68.1 KB
28	b0/7eaba3	2016584	CLUSTERING (CLUSTERING 26)	COMPLETED	0	2026-02-06 20:37:31.808	13m	12m 59s	95.3%	1.8 GB	34.4 GB	3.6 MB	68.7 KB
31	25/a71eb5	2023017	CLUSTERING (CLUSTERING 29)	COMPLETED	0	2026-02-06 20:38:14.492	12m 36s	12m 36s	95.9%	1.4 GB	34.4 GB	3.6 MB	68.6 KB
25	cc/8f0837	2019929	CLUSTERING (CLUSTERING 23)	COMPLETED	0	2026-02-06 20:37:56.248	12m 56s	12m 55s	94.6%	1.8 GB	34.4 GB	3.6 MB	68.4 KB
29	c7/bbf41a	2024708	CLUSTERING (CLUSTERING 27)	COMPLETED	0	2026-02-06 20:38:20.530	12m 38s	12m 38s	95.4%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
20	2c/c055d3	2022070	CLUSTERING (CLUSTERING 18)	COMPLETED	0	2026-02-06 20:38:11.171	13m 2s	13m 2s	94.8%	1.4 GB	34.4 GB	3.6 MB	68.3 KB
32	10/076707	2029088	CLUSTERING (CLUSTERING 30)	COMPLETED	0	2026-02-06 20:38:34.529	12m 44s	12m 43s	94.8%	1.8 GB	34.4 GB	3.6 MB	68.6 KB
19	df/f4d359	2022724	CLUSTERING (CLUSTERING 17)	COMPLETED	0	2026-02-06 20:38:13.664	13m 10s	13m 9s	95.0%	1.4 GB	34.4 GB	3.6 MB	68.5 KB
33	a5/adc16d	2121640	CLUSTERING (CLUSTERING 31)	COMPLETED	0	2026-02-06 20:50:18.809	12m 19s	12m 18s	95.1%	1.4 GB	34.4 GB	3.6 MB	68.3 KB
38	be/bf4f34	2123520	CLUSTERING (CLUSTERING 36)	COMPLETED	0	2026-02-06 20:50:31.365	12m 33s	12m 33s	95.0%	1.4 GB	34.4 GB	3.6 MB	68.4 KB
36	1a/e80ac8	2122901	CLUSTERING (CLUSTERING 34)	COMPLETED	0	2026-02-06 20:50:28.662	12m 46s	12m 45s	95.4%	1.4 GB	34.4 GB	3.6 MB	68.3 KB
40	e1/0b4033	2131120	CLUSTERING (CLUSTERING 38)	COMPLETED	0	2026-02-06 20:51:13.641	12m 15s	12m 15s	95.3%	1.4 GB	34.4 GB	3.6 MB	68.3 KB
43	85/e80414	2133395	CLUSTERING (CLUSTERING 41)	COMPLETED	0	2026-02-06 20:51:23.432	12m 13s	12m 13s	95.2%	1.4 GB	34.4 GB	3.6 MB	68.3 KB
