task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5e/64e3c5	221965	LOG_PARAMETERS (Logging pipeline parameters)	COMPLETED	0	2026-04-30 11:20:07.524	966ms	3ms	0.0%	0	0	122.9 KB	5.6 KB
1	28/a22b49	221959	PREPROCESSING_TFA (Preprocessing and TFA analysis)	COMPLETED	0	2026-04-30 11:20:07.507	55.5s	54.6s	90.4%	1.2 GB	2.2 GB	50.6 MB	10.7 MB
3	f0/c18213	223895	CLUSTERING (CLUSTERING 1)	COMPLETED	0	2026-04-30 11:21:03.205	15m 59s	15m 58s	100.6%	951.5 MB	12.2 GB	5.1 MB	37.7 KB
7	4c/a042f6	223883	CLUSTERING (CLUSTERING 5)	COMPLETED	0	2026-04-30 11:21:03.190	16m 3s	16m 1s	100.4%	916.4 MB	12.2 GB	5.1 MB	37.6 KB
6	d3/47c791	223889	CLUSTERING (CLUSTERING 4)	COMPLETED	0	2026-04-30 11:21:03.198	16m 6s	16m 4s	100.6%	883.6 MB	12.1 GB	5.1 MB	37.8 KB
4	55/339db2	223909	CLUSTERING (CLUSTERING 2)	COMPLETED	0	2026-04-30 11:21:03.225	16m 29s	16m 27s	100.6%	865.7 MB	12.1 GB	5.1 MB	37.9 KB
5	e6/59ac48	223902	CLUSTERING (CLUSTERING 3)	COMPLETED	0	2026-04-30 11:21:03.215	16m 41s	16m 39s	100.7%	945.4 MB	12.3 GB	5.1 MB	37.7 KB
8	d3/b590db	296473	POST_CLUSTERING (LemonTree post-clustering analysis)	COMPLETED	0	2026-04-30 11:37:44.338	18m 29s	18m 28s	101.2%	748.9 MB	12.1 GB	15.5 MB	15.2 MB
9	2f/c528db	323962	NETWORK_GENERATION (Network generation and filtering)	COMPLETED	0	2026-04-30 11:56:13.695	15.1s	14.2s	197.2%	568.1 MB	2.1 GB	93.4 MB	12.3 MB
