Module	Module_genes	Coherence	TFs_regulators	Metabolites_regulators	Top_3_pathways_molecular_function	Top_3_pathways_cellular_component	Top_3_pathways_biological_process	Top_3_pathways_Reactome	Top_3_pathways_KEGG	PPI_FDR	PPI_fold_enrichment	MetGene_FDR	MetGene_fold_enrichment	MetGene_N_interactions	Functional_Cluster	MegaGO_Cluster	MegaGO_Label	MegaGO_Representative_GO_ID	MegaGO_Label_Source	Expression_rank	Expression_adjusted_pval
65	TNN|LANCL2|ZNF713|VOPP1|EGFR|TBX1|MEIS1|SOCS2|MRPS17|PHKG1|SEC61G	0.6696402658860898	ZNF713|MEIS1|SOX9|TBX1|FOXG1|ZNF18|MLXIP	2_hydroxyglutaric_acid	Double-Stranded DNA Binding (GO:0003690)|Growth Hormone Receptor Binding (GO:0005131)|Phosphorylation-Dependent Protein Binding (GO:0140031)	Multivesicular Body, Internal Vesicle (GO:0097487)|Sec61 Translocon Complex (GO:0005784)	Negative Regulation of Cell Differentiation (GO:0045596)|Response to Estradiol (GO:0032355)|Cellular Response to Growth Factor Stimulus (GO:0071363)	Constitutive Signaling by EGFRvIII|Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants|EGFR Interacts With Phospholipase C-gamma	Insulin signaling pathway|JAK-STAT signaling pathway|Focal adhesion	2.8909879588956815e-10	19.850629398808515	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	33	5.027668327628451e-06
7	ESM1|STRA6|MMP11|FOXC1|RFX8|ITGA8|COL12A1|COL13A1|LTBP2|KRT18|PLA1A|PAPPA|COL3A1|LOXL1|MGP|PHLDA2|MMP9|VGLL3|CTHRC1|HEYL|MEDAG|HTRA3|CFH|FAP|KDELR3|ADAMTS2|ASPN|ITGBL1|CYP1B1|COL6A3|COL6A2|ARSI|GPX8|ISLR|COL5A1|ACTG2|PTGIS|LUM|COL1A1|FOXL1|DCN|KRT8|FHL2|HIC1|FOXC2|COL1A2|EBF2|ETS1|MXRA5|PDGFRL|ANO1|COL15A1|SNAI2|C7|PCOLCE|TBX18|FBLN2|ALDH1A3	0.7234519348389871	FOXC2|FOXS1|PBX1|TBX18|HIC1|SNAI2|FOXL1|ZBTB5|ZNF572|NFIB|RUNX1|TCF7L2|ZKSCAN2|TCF7L1	2_hydroxyglutaric_acid|porphine|Unknown_019|phosphoric_acid_(spectral_match)|Unknown_042|Unknown_044	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)	Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of RNA Biosynthetic Process (GO:2001141)	Gene Expression (Transcription)|Generic Transcription Pathway|RNA Polymerase II Transcription	Herpes simplex virus 1 infection	2.6684345956885885e-121	11.558518328102355	1.0	0.7339728023312287	1	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	34	5.027668327628451e-06
16	FLT3|CCNA1|TENM3|ANO5|KLRC1|CRTAC1|ZNF727|APOB|VAT1L|ASB2|AFF2|SERTAD4|ME1|P2RY2|ECHDC3|ACADL|PCBP3|CYP7B1|KCNA3|THNSL2|THSD7B|PKP2|KBTBD12|ZNF492|NGEF|RAB27B|NPY1R|LY6H|TPBG|ZNF697|NPFFR1|TUSC3|RNF128|ADAMTSL3|GREB1L|PARM1|PRSS35|ARHGAP36|FAM133A|L1CAM|PPP1R1A|ZNF208|ISLR2|FBXL2|CYGB|NNAT|KLF8|PTPRN|COX7A1|PDE1A|BHMT2|PKD2L1|PCP4|HGF|TRAM1L1|TMEM200A|PLCXD3|SCN5A|MRAP2|RXRG|ADRA2A|GFRA2|COL11A1|SYNDIG1L|BAMBI|NAV3|STEAP1B|SVIP|CALB1|NRXN3|TENM2|ETS2|SLC44A5|PTGFR|ACTRT3|PRDM8|CCDC158|AKR1C1|ABI3BP|AKR1C3|CYS1|SELL|CA4|PRPH2|UBXN10|SULT1C2|NDN|NPTX2|TMEM98|ADRA2C|C16orf89|ATP2C2|TMEM229A|ANXA3|KCNA5|IQCA1|BMP6|ZNF124|SPATA18|NAALAD2|PPP4R4|SULF1|MALRD1|PPFIA2|PRKCB|ZNF518B|RGS4|TRIM17|GPR68|GPR27|RNF207|SLC27A2|RNF43|RNF212|TDRD9|CDH13|ADAMTSL1|ADAMTS16|GHR|PABPC5|F5|ZNF831|CCDC85A|TUSC1|TRIM54|ARHGAP28|AQP3|SOX17|MSX2|MAGEE1|COL19A1|CPXM2|PLA2G7|ADIRF|GAS2|RPL39L|CYP26B1|SLIT2|PDE11A|TLL1|IP6K3|TPD52L1|NHLRC1|TNNT1|SYT14|WBP2NL|SUSD5|RANBP17|ADAMTS8|TFAP2C|RCAN2|RASGEF1A|ZNF215|ZNF732|SGCD|SCN9A|GIPR|MIPOL1|GPC3	0.5095877154678942	KLF8|ZNF558|ZNF208|POU6F2|NPAS3|ST18|E2F5|SOX10|ZNF727|RUNX2|ZNF536	creatinine|Unknown_011|DL_3_aminoisobutyric_acid__(spectral_match)	Alpha-Adrenergic Receptor Activity (GO:0004936)|Aldose Reductase (NADPH) Activity (GO:0004032)|Sodium Channel Activity (GO:0005272)	Intercalated Disc (GO:0014704)|Low-Density Lipoprotein Particle (GO:0034362)|Voltage-Gated Sodium Channel Complex (GO:0001518)	Cardiac Muscle Cell Action Potential Involved in Contraction (GO:0086002)|Cardiac Muscle Tissue Development (GO:0048738)|Cellular Response to Hormone Stimulus (GO:0032870)	Defective B3GALTL Causes PpS|O-glycosylation of TSR Domain-Containing Proteins|Synthesis of Bile Acids and Bile Salts via 7Alpha-Hydroxycholesterol	PPAR signaling pathway|Neuroactive ligand-receptor interaction|Steroid hormone biosynthesis	1.0	0.6431976885052995	1.0	0.5354770130215253	1	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	35	5.2647973083997385e-06
57	TCEAL2|NUDT10|B4GALT6|SIM2|LGR5|CACNA1A|IL1RAPL1|SLC8A3|RAB33A|DGKI|GRIK2|FOXP2|PKIA|SATB1|TOX3|SLCO5A1|NAT16|ZDHHC11B|POLR2F|SORCS3|PCDH15|GPR179|EPHB1	0.7110420397051215	ZNF217|MYT1L|SATB1|SOX10|MYRF|MYT1	2_hydroxyglutaric_acid|heptadecanoic_acid|pyrophosphate	Bis(5'-Adenosyl)-Pentaphosphatase Activity (GO:0034432)|Calcium:Monoatomic Cation Antiporter Activity (GO:0015368)|Calcium:Sodium Antiporter Activity (GO:0005432)	Dendrite (GO:0030425)	Central Nervous System Neuron Axonogenesis (GO:0021955)|Calcium Ion Import Across Plasma Membrane (GO:0098703)|Calcium Ion Import Into Cytosol (GO:1902656)	Activation of Ca-permeable Kainate Receptor|Neuronal System|Synthesis of Pyrophosphates in the Cytosol	Calcium signaling pathway|Glutamatergic synapse|RNA polymerase	0.866036710403486	0.8630708434264572	1.0	0.0	0	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	37	9.017292239757283e-06
78	ESM1|FMOD|FBXO17|TEAD3|ARSI|RAB34|SH2D4A|EMP3|SHOX2|NMNAT3|DES|FOXL1|TOM1L1|LGALS3|RAB36|TNFAIP6|EBF2|ETS1|MXRA5|NR5A2|PDPN|PHLDA2|SHROOM3|MMP9|SNAI2|CTHRC1|HEYL|HTRA3|CMYA5|SP6|RBP1|POSTN|NSUN7|EVC2|MOXD1	0.6420465720131099	ZNF572|FOXL1|NFIB|ETV7|HEYL|TEAD3|TFAP2E|ATF1|ZNF248|MXD4|SNAI2|ZNF213|HLX	2_hydroxyglutaric_acid|glycerol_3_phosphate	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Collagen-Containing Extracellular Matrix (GO:0062023)	Epithelial to Mesenchymal Transition Involved in Endocardial Cushion Formation (GO:0003198)|Regulation of Inflammatory Response (GO:0050727)|Negative Regulation of Cartilage Development (GO:0061037)	Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d)|RAB Geranylgeranylation|RUNX1 Regulates Transcription of Genes Involved in Differentiation of Myeloid Cells	Hippo signaling pathway|Maturity onset diabetes of the young|Nicotinate and nicotinamide metabolism	0.0032345976329332	2.5689049810222784	1.0	0.0	0	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	38	1.0025542034202929e-05
20	EFNA5|FAT4|DMKN|PLA2R1|MGST1|LMNTD1|DCHS2|COL4A6|ANGPT1|ANKEF1|SEMA3A|COL4A5|ENPP5|CYP4F3|CYP39A1|C19orf81|COL4A3|SYDE2|ZNF214|HSPB8|CD109|CRB2|LRAT|STEAP2|ENPP4|SPEF2|MROH7-TTC4|PHYHD1|LPIN3|IGSF1|XKRX|PAWR|NDNF|COL21A1|BHLHE41|AMIGO2	0.5872764653837156	SIX1|ZNF649|STAT6|ZBTB12|NR6A1|KLF17|E2F1	myo_inositol|Unknown_017|3_phosphoglycerate	Lipase Activator Activity (GO:0060229)|Phospholipase Activator Activity (GO:0016004)|Phosphotyrosine Residue Binding (GO:0001784)	T Cell Receptor Complex (GO:0042101)|Alpha-Beta T Cell Receptor Complex (GO:0042105)|Cytolytic Granule (GO:0044194)	T Cell Activation (GO:0042110)|Regulation of T Cell Activation (GO:0050863)|Regulation of Lymphocyte Activation (GO:0051249)	Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell|Adaptive Immune System|Generation of Second Messenger Molecules	Primary immunodeficiency|T cell receptor signaling pathway|Cell adhesion molecules	0.6987817337383947	1.0397948732709223	1.0	1.1825117370892018	1	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	39	1.3723414587368797e-05
39	TMPRSS9|LHX2|LMO1|RIT2|CHST8|CGREF1|LINGO3|VGF|FRMPD1|POU3F1|VSX1|LRRN2|GLRA2|AIF1L|SYTL5|STK32B|KCNK10|SHISA9|LNX1|F12|CENPV|CHRM3|SHISA6|RET|DRAXIN|ST8SIA5	0.605516372763092	POU3F1|ZNF630|TEAD2|STOX2|ZNF182|NFKB2	L_glutamic_acid|2_hydroxyglutaric_acid	Dermatan Sulfotransferase Activity (GO:0120534)|G Protein-Coupled Neurotransmitter Receptor Activity (GO:0099528)|alpha-N-acetylneuraminate Alpha-2,8-Sialyltransferase Activity (GO:0003828)	Dendritic Spine Membrane (GO:0032591)|AMPA Glutamate Receptor Complex (GO:0032281)|Dendrite Membrane (GO:0032590)	Regulation of Short-Term Neuronal Synaptic Plasticity (GO:0048172)	Muscarinic Acetylcholine Receptors|Signaling by NTRK1 (TRKA)|Signalling to P38 via RIT and RIN	Gastric acid secretion|Calcium signaling pathway|Thyroid cancer	0.5020016800154046	1.3437349131501148	1.0	0.0	0	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	40	1.3723414587368797e-05
82	CD52|IKZF3|CD8A|SLAMF6|CD27|LTB|TIGIT|IL2RB|SLAMF7|CD3E|GZMK|NKG7|SAMD3|LCK|CRTAM|CD2|CD6|GZMA|HLA-DQA1|CD96|EPHA1|APOBEC3H|SLFN12L|CCL5|GRAP2|CST7|THEMIS	0.8849058452725923	IKZF3	DL_3_aminoisobutyric_acid__(spectral_match)	Lipase Activator Activity (GO:0060229)|Phospholipase Activator Activity (GO:0016004)|Phosphotyrosine Residue Binding (GO:0001784)	T Cell Receptor Complex (GO:0042101)	T Cell Activation (GO:0042110)|Regulation of T Cell Activation (GO:0050863)|Positive Regulation of T Cell Activation (GO:0050870)	Generation of Second Messenger Molecules|Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell|Adaptive Immune System	Cell adhesion molecules|Hematopoietic cell lineage|T cell receptor signaling pathway	1.3882090123575735e-124	32.97127333192412	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	41	1.3723414587368797e-05
18	CD52|IKZF3|CD8A|SLAMF6|CD27|TIGIT|IL2RB|SLAMF7|CD3E|GZMK|NKG7|SAMD3|GFI1|LCK|CRTAM|CD2|CD6|GZMA|CD96|EPHA1|APOBEC3H|SLFN12L|CCL5|GRAP2|CST7|THEMIS	0.8877683345323992	IKZF3	hypotaurine|DL_3_aminoisobutyric_acid__(spectral_match)	Lipase Activator Activity (GO:0060229)|Phospholipase Activator Activity (GO:0016004)|Phosphotyrosine Residue Binding (GO:0001784)	T Cell Receptor Complex (GO:0042101)|Alpha-Beta T Cell Receptor Complex (GO:0042105)|Cytolytic Granule (GO:0044194)	T Cell Activation (GO:0042110)|Regulation of T Cell Activation (GO:0050863)|Regulation of Lymphocyte Activation (GO:0051249)	Immunoregulatory Interactions Between a Lymphoid and a non-Lymphoid Cell|Adaptive Immune System|Generation of Second Messenger Molecules	Primary immunodeficiency|T cell receptor signaling pathway|Cell adhesion molecules	1.156442702271872e-118	33.59337282875288	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	42	1.3723414587368797e-05
89	SCIN|IL21R|HAMP|ANKRD22|IRF8|IRF5|SNAI3|HHEX|POU2F2|MS4A4E|SP140|FLI1|OLR1|IKZF1|LYL1	0.8432309087516747	IKZF1|LYL1|CEBPA|SPI1|HHEX	DL_3_aminoisobutyric_acid__(spectral_match)	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Pericentric Heterochromatin (GO:0005721)|Specific Granule Membrane (GO:0035579)|Tertiary Granule Membrane (GO:0070821)	Lymphocyte Differentiation (GO:0030098)|Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)	Interferon Alpha Beta Signaling|Interferon Gamma Signaling|Interleukin-21 Signaling	Transcriptional misregulation in cancer	0.001035844089348	6.238769239625533	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	43	1.7849919572956967e-05
37	ZNF177|ANKRD20A1|ZSCAN32|ZNF266|ZNF133|ZNF443|NFXL1|ZGLP1|ZNF490|MGA|ZFP28|HINFP|ZNF714|ZNF564|ZNF544|ZNF880|NR2C1|ZSCAN5A|ZNF202|ZNF354B|ZNF844|ZNF594|ZNF345|ZNF763|ZNF232|ZNF334|ZNF808|ZNF619	0.6167320130875548	ZNF493|ZNF333|ZNF14|ZNF317|ZNF43|ZNF585A	Unknown_004	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Intracellular Membrane-Bounded Organelle (GO:0043231)|Nucleus (GO:0005634)	Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)|Negative Regulation of DNA-templated Transcription (GO:0045892)	Generic Transcription Pathway|RNA Polymerase II Transcription|Gene Expression (Transcription)	Herpes simplex virus 1 infection	1.0	0.2888319092419228	NA	NA	NA	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	44	1.972413582626412e-05
40	CMTM5|ZNF488|NANOS1|SOX10|LGR5|DSCAML1|IL1RAPL1|TUBB4A|BCAS1|RAB33A|FAM222A|KCNH8|OMG|RASGEF1C|GAL3ST1|PHACTR3|ZDHHC11B|POLR2F|ERBB3|LCNL1|UGT8	0.8028498281282972	MYRF|SOX10|TFEB|ZNF208|ZNF492	glycerol_3_phosphate	FMN Binding (GO:0010181)|GTP Binding (GO:0005525)|Interleukin-1 Binding (GO:0019966)	RNA Polymerase I Complex (GO:0005736)|RNA Polymerase II, Core Complex (GO:0005665)|RNA Polymerase III Complex (GO:0005666)	Peripheral Nervous System Development (GO:0007422)|Galactolipid Biosynthetic Process (GO:0019375)|Galactosylceramide Biosynthetic Process (GO:0006682)	Glycosphingolipid Biosynthesis	Ether lipid metabolism|Sphingolipid metabolism	0.0074081804610219	3.639282056448228	1.0	0.0	0	Cluster_2	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	45	2.13949886176785e-05
72	ZNF217|CEACAM1|SP100|ITGA2|CD274|ETV6|IRF1|PLSCR1|ERAP2|IRF2|APOL1|GBP5|SIGLEC1	0.7500034043873953	SP100|ELK3|IRF1|PLSCR1|ZC3H8|RUNX1|SP140L	myo_inositol|pyrophosphate|homocysteine|pantothenic_acid	Transcription Cis-Regulatory Region Binding (GO:0000976)|DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)|Bile Acid Transmembrane Transporter Activity (GO:0015125)	T Cell Receptor Complex (GO:0042101)|Triglyceride-Rich Plasma Lipoprotein Particle (GO:0034385)|Very-Low-Density Lipoprotein Particle (GO:0034361)	Cellular Response to Type II Interferon (GO:0071346)|Defense Response to Virus (GO:0051607)|Regulation of Innate Immune Response (GO:0045088)	Interferon Gamma Signaling|Immune System|Interferon Signaling	Cell adhesion molecules|African trypanosomiasis|Human papillomavirus infection	0.0117245943768378	5.598895471458811	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	46	2.235722673052114e-05
13	TMEM144|ASPA|CTNNA3|CMTM5|TRPV6|ASB4|ENPP2|S100A1|HCN2|PDIA2|PPP1R14A|PAIP2B|GRM3|PRCD|TPPP|KLHL32|CNTN2|LDB3|MBP|SEC14L5|SPAG6|GJB1|NRIP2|FOLH1|SLC24A2|GREM1|GPD1|PEX5L|TMEM151A|ANO4|ADARB2|HHATL|SLCO1A2|TRPV5|SYT9|RASGEF1C|USH1C|MOBP|HAPLN2|PPP1R16B|BOK|LRRC63|TF|ZNF536|ERMN|LRP2|JAKMIP3|TP53TG5|MAL|ENPP6|ZNF488|CHADL|MYRF|SOX10|FAM178B|CNTNAP4|HS3ST5|CLDN11|SRCIN1|KLK6|CARNS1|OR9A2|SLC5A11|CDH19|RASGRF1|ST18|PLLP|FA2H|PLCH2|EFHD1|GPIHBP1|KANK4|S1PR5|SH3TC2|HHIP|BCAS1|TRPM6|C10orf90|PCSK6|MOG|PLP1|PTGDS|EDIL3|TLL2|GAL3ST1|LGI3|CNDP1|CD22|AATK|DNAH17|UGT8	0.7661377547566474	MYRF|ST18|ZSCAN25|MYT1L|SOX10|ZNF726|STAT2|ZNF572	L_mimosine|cholesterol_(spectral_match)|propylene_glycol|heptadecanoic_acid|Unknown_006	Calcium Channel Activity (GO:0005262)|Calcium Ion Sensor Activity (GO:0061891)|Calcium Ion Transmembrane Transporter Activity (GO:0015085)	Axon (GO:0030424)	Myelination (GO:0042552)|Oligodendrocyte Development (GO:0014003)|Galactolipid Biosynthetic Process (GO:0019375)	EGR2 and SOX10-mediated Initiation of Schwann Cell Myelination|Regulation of CDH19 Expression and Function|TRP Channels	Ether lipid metabolism|Histidine metabolism|Hedgehog signaling pathway	2.027797811072665e-28	3.306014468861394	1.0	0.4678068410462777	2	Cluster_2	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	47	2.6623423235397442e-05
27	CHIT1|CLDN4|KCP|COL17A1|ARNT|SLC27A6|ACSM3|NR1H3|MAFG|BAIAP2L1|HTR1D|LAMC2|RAB17|CILP2|MME|FNDC1|DDIT3|RORC|INSRR|KRT17|FGF7|HAS3|NFE2L1|NFE2L3|ETV3|NTRK1|TBX19|CC2D1B|ELF3|ELF4|INHBA	0.5546267238083387	ZNF24|SP3|SP4|ELF4|FOSL2|ZNF519|IRF4|RELB|RFX8|VDR|NFE2L3|POU3F2|ZNF396	Unknown_015	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	Cell-Cell Junction (GO:0005911)|Neuron Projection (GO:0043005)|Protein Kinase Complex (GO:1902911)	Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)|Cellular Response to Sterol (GO:0036315)	Type I Hemidesmosome Assembly	MAPK signaling pathway|PPAR signaling pathway|Pathways in cancer	0.1164221087479801	1.878339125908763	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	49	4.922588935413721e-05
68	ZNF180|ZIK1|ZNF225|ZNF223|ZNF234|ZNF302|ZNF284|ZNF555|ZNF547|ZNF227|ZNF836|ZNF222|ZNF112|ZNF155|ZNF549|ZNF614|ZNF613|ZNF283|ZNF226	0.8617038242200368	ZNF614|ZNF227|ZNF112|ZNF615|ZNF283	3_phosphoglycerate|Unknown_046|linoleic_acid|D_ribulose_5_phosphate	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)|TRAPPII Protein Complex (GO:1990071)	Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)	Generic Transcription Pathway|RNA Polymerase II Transcription|Gene Expression (Transcription)	Herpes simplex virus 1 infection	0.6362493321905413	1.2769410724379746	1.0	0.0	0	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	50	5.508111365539218e-05
28	ZNF267|ESR1|MAF|PIGR|GPR82|RNASE2|MEF2A|PRRX1|BACH1|SKIL|ATF6|FBXO32|GPR141|TFEC|FCGBP|ELF1|PLAG1|CLEC12A|KLF3|FAM177B|ELK3|SLC10A6|ZBTB38|ITK|NFATC2|MS4A4E|REL	0.7061026118457461	TFEC|RUNX2|KLF3|ATF6|VENTX|ELF1|SPI1|HHEX|LEF1	D_ribose_5_phosphate|fumaric_acid|pyrophosphate|O_phosphocolamine|Unknown_017|sucrose	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Nucleus (GO:0005634)|Transcription Factor AP-1 Complex (GO:0035976)|Azurophil Granule (GO:0042582)	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)|Regulation of Transcription by RNA Polymerase II (GO:0006357)|Positive Regulation of DNA-templated Transcription (GO:0045893)	Generic Transcription Pathway|RNA Polymerase II Transcription|Transcriptional Regulation by RUNX1	Transcriptional misregulation in cancer|T cell receptor signaling pathway|Th1 and Th2 cell differentiation	0.0003065154506202	3.732596980972541	1.0	1.0511215440792905	1	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	51	6.849487946388063e-05
44	SPX|LGI1|FAM107A|SLCO1C1|FXYD1|NNAT|KCNE5|MEGF10|ALDH1A1|EMX2|TMEM229A|GPC5|PRODH|RORB|NACC2|RANBP3L|LMO3|FXYD3|SIDT1|HPR|XK|AIFM3|MYBPC1|KIF19|MAPK4|SLC24A4|KIF6|LGI4|TMEM74|RGS20|ADRA1A|NWD1	0.6403683533657443	POU6F2|EMX2|ST18|SIX1|NR3C2|MEF2C|MAFG|RORB|ZNF146|ZNF483|MECOM	homocysteine|pyrophosphate|Unknown_046	Ion Channel Regulator Activity (GO:0099106)|Sodium Channel Regulator Activity (GO:0017080)	Dense Core Granule (GO:0031045)|Sodium:Potassium-Exchanging ATPase Complex (GO:0005890)|Spherical High-Density Lipoprotein Particle (GO:0034366)	Positive Regulation of Sodium Ion Export Across Plasma Membrane (GO:1903278)|Regulation of Sodium Ion Export Across Plasma Membrane (GO:1903276)|Positive Regulation of Sodium Ion Transmembrane Transport (GO:1902307)	LGI-ADAM Interactions|Muscle Contraction|Cardiac Conduction	African trypanosomiasis|Arginine and proline metabolism|Circadian rhythm	0.4650453732530871	1.3207071979045988	1.0	0.0	0	Cluster_5	Cluster_5	potassium ion transport	GO:0006813	rrvgo_parentTerm	52	6.849487946388063e-05
55	RBP1|SH2D4A|SHOX2|NMNAT3|NSUN7|FBXO17|MDK|EVC2|TOM1L1|RAB36	0.8094090980207185	ZNF572|ETV7|MXD4|TFAP2E|ZNF837|ZNF266|SP140L|MZF1	2_hydroxyglutaric_acid	Retinol Binding (GO:0019841)	Ciliary Membrane (GO:0060170)|Lipid Droplet (GO:0005811)|SCF Ubiquitin Ligase Complex (GO:0019005)	Adrenal Gland Development (GO:0030325)|Atrial Cardiac Muscle Tissue Development (GO:0003228)|Carbohydrate Derivative Catabolic Process (GO:1901136)	Diseases Associated With Visual Transduction|Diseases of the Neuronal System|Metabolism of Vitamins and Cofactors	Hedgehog signaling pathway|Nicotinate and nicotinamide metabolism	0.4966302617841948	2.426188037632152	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	53	7.087545527226482e-05
9	ZNF132|ZNF799|ZNF20|ZIK1|ZNF160|ZNF773|ZNF223|ZNF791|ZNF583|ZNF460|ZNF473|ZNF587B|ZNF699|ZNF841|ZNF417|ZNF749|ZNF121|ZNF416|ZNF317|ZNF761|ZNF433|ZNF701|ZNF616|ZNF45|ZNF347|ZNF558|ZNF586|ZNF44|ZNF264|ZNF441|ZNF284|ZNF470|ZNF561|ZNF700|ZNF528|ZNF615|ZNF543|ZNF547|ZNF530|ZNF836|ZNF557|ZNF430|ZNF230|ZNF562|ZNF77|ZNF175|ZNF442|ZNF350|ZNF835|ZNF611|ZNF440|ZNF551|ZNF419|ZNF772|ZNF234|ZNF333|ZNF471|ZNF304|ZNF766|ZSCAN22|ZNF343|ZNF443|ZNF17|ZNF667|ZNF599|ZNF627|ZNF83|ZNF320|ZNF671|ZNF136|ZNF765|ZNF548|ZNF181|ZNF845|ZNF565|ZNF155|ZNF585B|ZNF549|ZNF582|ZNF563|ZNF225|ZNF57|ZNF550|ZNF587|ZNF71|ZNF776|ZNF805|ZNF763|ZNF432|ZNF823|ZNF211|ZNF426|ZNF134|ZNF224	0.7637636695300596	ZNF45|ZNF776|ZNF616|ZNF814|ZNF17|ZNF548|ZNF599|ZNF350|ZNF841|ZNF417	Unknown_004|Unknown_050	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)	Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)	Generic Transcription Pathway|RNA Polymerase II Transcription|Gene Expression (Transcription)	Herpes simplex virus 1 infection	1.0	0.4995582781672241	NA	NA	NA	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	54	7.25682073893282e-05
