Gene_symbol	Protein_id	Kg1a_6	FKH1_2	FKH1_3	FKH1_4	FKH1_5	FKH1_6	HL60_1	HL60_2	HL60_3	HL60_4	HL60_5	HL60_6	KASUMI1_1	OCIAML6_5	KASUMI1_3	KASUMI1_4	KASUMI1_5	KASUMI1_6	Kg1a_1	Kg1a_2	Kg1a_3	Kg1a_4	FKH1_1	ME1_1	ME1_2	ME1_4	ME1_5	ME1_6	MOLM13_1	MOLM13_4	MOLM13_6	MOLM16_1	MOLM16_2	MOLM16_3	MOLM16_4	MOLM16_5	MOLM16_6	MONOMAC6_1	MONOMAC6_2	MONOMAC6_3	MONOMAC6_4	MONOMAC6_5	MONOMAC6_6	MUTZ3_1	MUTZ3_2	MUTZ3_3	MUTZ3_4	MUTZ3_5	MUTZ3_6	MV411_1	MV411_2	MV411_3	MV411_4	MV411_5	MV411_6	OCIAML3_1	OCIAML3_2	OCIAML3_3	OCIAML3_4	OCIAML3_5	OCIAML3_6	OCIAML5_1	OCIAML5_3	OCIAML5_5	OCIAML5_6	OCIAML6_1	OCIAML6_2	OCIAML6_3	OCIAML6_4	OCIAML6_6	OCIM1_1	OCIM1_3	OCIM1_4	OCIM1_6	SHI1_1	SHI1_2	SHI1_3	SHI1_4	SHI1_5	KASUMI1_2	SKM1_1	SKM1_2	SKM1_3	SKM1_4	SKM1_5	SKM1_6	THP1_1	THP1_2	THP1_4	THP1_5	THP1_6	UCSDAML1_1	UCSDAML1_2	UCSDAML1_3	UCSDAML1_4	UCSDAML1_5	UCSDAML1_6
AAAS	AAAS	1.10456434261561	-2.09772639736323	-1.77488769750119	-0.937933255460099	-1.90835050132688	-1.23380963257261	0.540800181966858	1.00465300914834	0.183847358171184	0.883698668571382	0.961586677899049	1.21438795954839	0.365471887944656	0.932127166914503	0.538041379944778	1.00131743984392	0.386971185621039	0.436061142915771	0.669536234808852	0.251707259255873	0.675241702687671	-0.661123480997057	-1.53973470994229	0.715741608648061	-0.0258806897329194	0.102870412388388	0.626394077438174	0.311873964514651	1.04384843763937	0.998570156906912	0.766477138414902	0.637839424341524	1.48847087576967	1.07049898862175	1.73447072683481	0.93907678788877	1.23695968215976	-0.491325281025334	0.239714569639777	-1.49155333226569	0.237417770594819	0.731046405209545	-0.0547634240086956	-1.05567820878892	-0.637704907678025	0.350219056879272	-1.70591478131758	-0.129280531453683	-1.45699675810634	0.537310818265756	-0.629323873064518	-0.269765813052758	0.516677879272943	0.810408619409421	-0.237722444972373	-0.619778637892238	-0.825431576147971	0.38616643566109	-0.150231260982735	-0.0870238000573527	-0.103416690620243	0.820579709945488	-0.542604566752162	0.0778681180511781	-0.576584305287619	1.12287690001758	0.0577082415825888	0.580029418312724	0.697907307727668	0.522506661219808	-1.11979160993488	-1.88515878187166	-1.24055185110044	-1.63945458810892	0.109934903715107	0.800289913845136	-0.239992741637885	0.488678944914088	-0.293798630742911	-0.140837211445429	0.712983440552717	0.788854679133696	0.336187472709068	1.11211798500866	0.904244297706817	1.26858453840767	-0.876104731294577	1.07448839090412	-1.00072585257749	1.16920054950341	1.13467937862046	-1.0609059574921	-2.21475330965522	-2.04065296471272	-2.12171464929688	-1.31510129587877	-1.97769755211485
AACS	AACS	0.995295696069178	0.695309936798266	0.487386829508951	0.273453514146045	0.525023844631679	0.447924598669853	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-0.240256949606119	0.511136530894781	0.452080268294641	0.822578152040751	-0.71192308141126	0.529723027728763	0.682048619561082	0.894810171949171	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	0.167685079008304	0.291463419330147	-0.000583796674799085	0.424001898382229	0.643133366268686	0.0868543021018314	0.189605852839123	0.74910947871243	0.597361491390197	0.206652833212457	-0.0932965906070179	-1.76973048043789	0.756824713722121	0.299837361665357	0.841035309335261	-0.105714951799059	0.240381321886403	0.350934002539541	-1.76973048043789	0.527507813922891	0.322760282376933	0.452465498078788	0.764711094357104	0.765860226876742	0.584793873717444	0.296064987942249	0.269741433685165	0.723306729509316	1.60467917282093	1.17870126209825	1.28972031235043	0.835846979507528	1.37134117043146	0.980905558354969	-1.76973048043789	-1.76973048043789	-1.76973048043789	0.0354341102033504	0.739720560594552	0.246178641015823	0.147646817199857	-0.0239447698454365	-0.467365170629028	1.39275802946162	1.37375165879592	1.32072373995091	1.24763164844376	-0.138252938593311	0.249360681093336	-7.93070611016864e-05	0.23803828221538	0.370770467973946	-0.672071237673463	0.191989900464765	-1.76973048043789	-1.76973048043789	0.500902428835728	-0.305532398513281	-0.183409158321043	0.777779787782702	0.772948952019218	0.891048908635214	0.424471950088203	0.402186052376005	0.135650255132841	0.985663254115289	0.154793540977363	0.101237107315994	0.242273824423569	0.264021343659899
AAMP	AAMP	0.407948705074268	0.601722414064663	0.746100406778831	0.17036640529117	0.966614771736944	0.195106626388992	0.232556299635665	1.2524431115668	0.854532041181441	-0.0493439638518201	0.673730104208669	-0.317585369518785	-2.65795786877913	0.264611769119441	-2.65795786877913	-2.65795786877913	-2.65795786877913	-2.65795786877913	0.434304268605489	0.569225720436387	0.438489006723165	0.383302967059822	0.879101463743411	-0.333442146971851	-2.65795786877913	-0.228480255817007	-0.292846419427713	-2.65795786877913	-2.65795786877913	-0.492445635002129	-0.266989350052026	-0.0125536491942775	0.0151224490646876	-1.54733767143843	0.140637886708343	0.563417519400577	-0.0837048665739298	0.115967513968325	0.328895049917968	-0.140300216805399	-0.413414528665505	-1.00434055928005	0.0959377343214732	0.27006208001558	0.411656564015084	-0.421261372429965	0.576182504616203	0.2676721626735	0.756407012311214	-0.201217798988383	0.457151551728365	0.606176411964225	0.104486883531144	-0.705870881663857	0.719984351838236	-0.278607894060003	-0.0609903933350379	-0.860141349933774	-0.662209814157332	-0.283750685217005	-0.364253695026487	0.0676771154910919	-0.626111795152474	0.657715676701027	-0.342644452100434	-0.640166138568322	0.0729624156995976	0.390434954556036	0.314866169888705	0.548502265018152	1.74045824798008	1.75800162583276	1.38900657534706	2.08814432867271	0.656260099717814	0.316097975959612	0.809578773649084	0.418407908089922	0.733401524727105	-0.350039743438936	0.802762434240667	1.19172097542412	0.0388478336924597	0.0725657239748951	-0.378595325287477	0.318456228227878	0.783982800318965	-0.275773981523129	-0.400418791338858	-0.597611077937151	0.0325461252120525	0.731389888680166	1.01086694880038	1.16924214270813	0.062266862441876	0.382795894345966	0.837239499902204
AARS1	AARS1	-0.111937262100401	0.253120138860461	-0.168645096420828	-0.548541918760604	-0.470345813102816	-0.444174077787488	0.650642360483527	-0.0161381600627349	0.437106571464185	0.37042360492001	-0.23552351223712	-0.0711020141421968	-1.45563918600137	-0.455591137313086	-2.40466010336779	-0.993035201240932	-0.821396255301363	-1.39740772818693	-0.0453927024011714	-0.250277410633902	-0.117497441544465	0.612171216517162	-0.143895863341771	-1.3773332841612	-1.99577027286749	-2.12716892040431	-1.52704579212591	-2.23724848690829	-0.262595227884847	0.105131986030697	-1.06862282179048	0.510134459851821	0.400422549794597	0.577538425826514	0.825402566749166	0.453656730590722	0.511162887291927	-1.40576443238318	-1.87245235503109	-1.52817536684528	-1.56842041905469	-2.08919764172857	-1.12018505804807	-0.0635209903505823	-0.549129165945781	-0.700704328551595	0.00614080609700102	-0.611882362357556	-0.302757751213406	0.429431509147625	1.22640171410283	1.07555438808222	0.400625655899328	0.00814237988175575	0.958214067416925	2.09587492408875	1.2565751983309	1.4854232360329	1.61258764700211	1.35770715580338	1.54739834017029	0.681299220489505	0.116523913645846	-0.136089977827352	-0.295832321758758	-0.88076326627968	0.498364337073821	0.688166132421997	-0.7594894202512	-0.807598164784382	1.3281306898417	1.17115674627709	1.43573462411396	0.664943064814312	0.688740931561967	0.119983437484133	0.213427575589284	-0.314052137156317	1.22009562124804	-0.941309527061349	0.0908915442903348	0.0500632066723553	0.603000235494942	0.171250342486798	0.336155003308422	0.39315304589678	1.91433960331205	1.22723352618139	2.28703143398411	1.05352831207632	0.731240956755967	-0.581641524674537	0.18360046220363	0.368808395429419	-0.10690258890342	0.0439294950111342	-0.0649278878058555
AARS2	AARS2	-0.834948067994047	-1.42787326383479	-0.836211588475716	-1.39654459719681	-1.32024358181837	-0.724676112727261	-0.0126668360702407	0.951426281470341	-0.224507193957449	-0.120995449710776	0.423569817245253	-0.348024614992288	0.468295239139899	-0.643023618978498	-0.94869960015449	-0.177419637618178	-0.450697211792306	-0.800581614208564	0.362665662586094	-0.0750563352164297	-0.900170016053586	-0.879876029880093	-1.33545754989793	0.298834752087043	0.636267908840042	1.03997177623411	0.139344239441036	0.799572876453415	1.40049949377529	0.625525069909666	0.555723224571579	1.15229610155817	1.45062336764232	1.33490773479898	1.52173845107737	1.75836769488939	1.47711511442874	0.669901998508145	-0.130202534208741	-0.741975129567159	0.190436809632537	0.224130933176498	0.211826839290187	0.0576985804182558	-0.21232530085027	-1.93882066659228	-0.362904137026574	-1.10415108800688	-0.490576319476496	-0.687481638771792	-1.02773401424521	-0.463883082943537	-0.902094044743471	-1.43538911970118	-0.614628289835336	-0.311600214548203	0.191337832950759	0.641993865480349	-0.663197860969688	-0.435672920464237	0.328635039506057	-0.318960438949834	0.29960915130572	-0.317619241924866	0.0606745640001983	0.676076816422791	0.713852992261708	0.137041598384813	-0.305165221518316	-0.910406311586874	1.16811655259986	0.891668959847293	1.14788212489018	2.47217386276405	-0.356465584733142	0.120592271208425	-0.153483668012755	-0.657554729060884	-0.00984533971037711	-0.187937013743033	-0.484002247636135	-0.545803499396951	-1.15728308728678	-1.63147246784347	-1.44712098198424	-1.4152918619232	1.26779410233731	2.71584835151908	1.69001266758637	2.3909539487829	3.22887961360297	-0.619066047951362	-0.402705879083325	-0.37202451938303	-0.404175737429785	-0.533682733794094	-0.683508387143907
AARSD1	AARSD1	-0.935381223904261	0.071272285765595	0.258520092682558	-0.28775410611439	0.350818930692809	-0.131765189402584	1.41378884501956	1.43660153918376	1.24763621751033	1.30093628938031	0.858025553021616	0.197902823010657	0.552669860153965	-0.726208634202292	-0.315881029985077	0.674490657205408	-0.107953886584753	-0.212412818991338	0.195213657769702	0.964073345192445	-1.23449286474806	-0.6547779058363	-0.729884757772543	-0.727630175300146	-0.484069587658518	0.346291474546883	-3.93732186566706	-0.229039470438117	-0.601259623103705	0.982930221632674	-0.014667612812228	-0.971850539330147	-0.67153603368828	0.247377072080134	0.167526714779135	-0.16012882886232	0.677595800923317	-0.0619853055165293	0.107093734236795	0.975692500827068	-0.351997750360388	0.0107207351030085	0.480552273673684	0.542844757300273	0.437229268695343	0.676038153040124	1.53200353920519	-0.0134036629837299	1.03767087074104	0.379166553355751	0.651436497113981	0.513410347231552	0.695597982364158	-0.218795800413082	0.403151134355136	0.390360824828923	-0.514333171654743	-0.552715257530191	-0.334072080553243	-0.105818498014382	0.246957801954707	-0.864173469934441	-3.93732186566706	-0.80863442333196	0.760040932086501	-0.39290555625534	-0.777399888206589	-0.849366044462177	0.340053095338496	-0.822771071064488	0.834410356399345	0.446390914848157	0.435258504533903	1.40304976270614	-0.0596104867067844	-0.137801738017995	0.693475606841393	-0.296249231838119	0.739472252091836	0.722331713619754	1.21870154781588	0.450265984020649	0.707130476715768	0.161844748918935	1.22647391198553	-1.03246699448699	-0.813168946205711	-3.93732186566706	-0.610449700510325	-1.62915109343169	-0.228459367777236	0.224625327393784	0.665834453032253	0.352156811857677	0.979761540942101	-1.77520938980331	0.87472251907002
AASDHPPT	AASDHPPT	0.810005780237438	0.350123052388426	0.517487269924396	0.697800360839819	0.28826755943769	0.723614894361246	-0.286335402778639	0.574111344519224	0.0960925963600518	0.374783555900618	-0.536852679254517	0.406583654705507	-1.11855933623365	0.521779983743633	-2.27622522535802	0.475528699786061	0.309462390371912	-0.243735257373556	2.44410253049227	0.662977899907496	0.750522992642824	1.93207976130595	0.55078096126649	1.64443877260047	-0.230045353434202	0.319101395936118	1.21217680660087	0.119448525045066	-0.662369906881695	-0.231595299460296	-0.074776771474957	0.0448003399535277	-0.523591365690992	-1.53719129547966	0.0259467109771655	-1.50503830341564	-1.34491768633115	0.439331643523738	0.0941247540180495	-0.250242646424937	0.69099093895308	0.471048298650369	0.690324209467467	0.403493948939659	0.229403647353223	-0.189462031094821	0.0298439964565438	0.307991004555222	0.0775763219674428	-1.05776982615738	0.932670702994194	-0.220828783333363	0.307199851785897	-0.283797466024165	-0.501623312155812	0.540615139943979	-0.0490950549086753	-1.80227931166057	0.833922079269917	0.537545798712179	-0.736781414554676	-1.00859060988085	-0.293466615118077	0.403982656223858	-1.15369714197569	-0.720261782242482	0.060046790975504	0.614188435356951	-0.41520516058012	-0.263292042895807	-1.69901040178885	-2.18969119690406	-1.87292725917472	-4.89150485633882	1.43813298394638	0.782391312636769	0.534372747071429	0.877205908974978	0.514341513458128	-0.0966211104658014	1.07938281916579	0.202475160421702	0.135677039644198	1.03230030316021	0.831108153507541	-0.789191358315792	-1.02825346783004	-0.973025307016909	-0.844268733152026	-0.780598177416889	-0.500940478611038	0.429353465305207	0.726694391064629	1.1941044736914	0.614216708564977	0.142707053647141	1.13287733647732
AATF	AATF	0.384544555487709	-1.71432436393657	-1.12871509641421	-0.971482400663321	-0.751456145712182	-0.0533214971707207	-0.853005342188778	0.388734042527612	-0.445712758500464	-0.347124491260556	0.509748417691589	0.984567558400487	0.648594106303795	-1.35351095448892	0.515719103733469	0.8503128246674	0.231475207510665	-0.190086392469756	-0.102813635669567	0.395246271587354	-0.887916502696563	-0.165326584548029	-0.496119387597619	0.775771813925093	1.06656483721556	1.32962144765902	1.83938221475971	0.960643407589054	-0.862715436316723	-0.0170943462492682	-0.809957805669502	0.549959552368802	-0.936661644087472	0.237952931853718	0.330989004496907	0.292500090058	-0.139667700988038	0.310790093881024	0.151166635477611	1.15422136183063	-1.2213503284425	-1.47095341751691	-0.0355560865507085	1.35060220691768	1.27633289253271	-1.9766280887426	0.880616151812608	0.14394054397193	0.141729829134984	0.887176667306148	0.776144193314099	1.4903412671164	0.549914911215168	-0.223092520217243	0.183436925790643	-1.25192321692266	-0.938271797787637	-0.529396800932007	-1.79667188235201	-0.327021528747653	-1.35816893628063	0.361965222811614	0.52195934373119	-0.07007319768417	1.79283411963499	-0.286137109348425	1.56211128690422	-0.519427776306406	-0.843977982962596	-0.582207563628358	0.794969214562356	0.563153811180272	1.20692586288843	0.899606568424395	-0.899320928947772	-0.765092083591015	-0.449952900668361	-0.356651605606692	1.40587203330541	1.24136345919608	0.262342350286338	-0.124234214459963	1.0798223620534	-0.499392381840797	0.788747159150498	0.385323700916655	-2.45759397121064	-0.984301308764302	0.479502209774421	-3.25548406782092	-2.65727717693755	-0.493825060069311	1.30717635574554	0.921233184254529	0.109247851843929	0.163241198030719	1.16485805813551
ABCB10	ABCB10	-0.0684499198877524	-1.35593586491617	-0.849834375104586	-0.653943212133258	-1.05883426106439	-1.0535497437179	2.06327182536645	1.17665690141074	0.844765425609084	2.08083859927112	1.26302438845957	2.07302879973433	0.290185298792026	-0.159283526738595	0.0240177736398644	-0.0406233881682285	0.196705821902627	-0.038814835203333	-0.435361430795918	-0.267275515968236	-0.0936633526404999	-0.613565145252106	-1.08274933039328	-0.693871113719077	-0.474061075509412	-0.362831992582075	-0.341816884035622	-0.557562092884512	1.41557882868294	0.90613478883425	1.20782650821292	-0.343934923181304	-0.566550653687208	-0.304465683326508	-0.381841383270552	-0.343821134091623	-0.556427117913627	0.614012439768479	0.570828723524967	-0.00877212554166514	0.523403666906589	0.639571063588836	0.350486370515477	-1.28235212896168	-1.04739393697182	-1.15914992413582	-1.15096777785318	-0.905102074782458	-0.977475263195103	1.71965056615691	1.53578086684254	1.38015763014791	1.5488918143426	1.56841516917561	1.20332993576857	0.616931528488301	0.24803322640699	0.382900213642937	0.248952740391302	0.49064860498975	0.216889967589456	2.29639303858593	2.43809229249857	2.60986660764489	2.59987504971979	-0.412999185939472	-0.416517097614951	-0.307385601206861	-0.352624657033041	-0.345181485091678	-0.635416888402442	-0.552677158463129	-0.683527343248292	-0.698788096491951	-0.545454331237034	-1.13259794453217	-0.886824723719402	-0.927338681693175	-1.4858034112875	-0.00733832630318787	-0.0159782076606362	0.197995271179936	0.18558872283201	0.339803831169764	0.409643699812244	0.0559436097302526	-0.689730250248148	-0.605968815643264	-0.850540425422138	-0.901114478102615	-0.514374043002625	-1.0209110764405	-1.04565597624796	-1.37133683484073	-0.957364436050605	-0.858586177033539	-1.08180477075197
ABCB6	ABCB6	0.95340653873187	0.969457449518209	-1.00218502556091	0.925945578434821	-1.00218502556091	-1.00218502556091	-1.00218502556091	-1.00218502556091	0.920549388088909	1.02534898461934	1.09239457939573	-1.00218502556091	0.810574941895138	-1.00218502556091	0.747072210663086	0.798743815157075	0.842556186151538	-1.00218502556091	-1.00218502556091	0.856188000384671	0.864314328797389	1.01555236015385	0.919125326241481	-1.00218502556091	0.868419612723463	-1.00218502556091	0.900383373294529	-1.00218502556091	-1.00218502556091	0.904183066675693	-1.00218502556091	-1.00218502556091	1.05491726354557	-1.00218502556091	0.882496745743134	0.855381613737502	0.865418909765623	-1.00218502556091	-1.00218502556091	-1.00218502556091	-1.00218502556091	-1.00218502556091	1.05708807066594	1.05531114144742	1.13423264467128	1.09132894692397	-1.00218502556091	-1.00218502556091	1.02145490690489	0.98249205318839	0.971714205435094	-1.00218502556091	-1.00218502556091	0.975891433171394	0.972533467778264	0.976808293081784	0.950610074590073	0.953046258119935	1.00721858564709	-1.00218502556091	0.914809998789906	-1.00218502556091	0.991855071451785	-1.00218502556091	0.9701134665591	1.02357989002497	-1.00218502556091	1.03763648651054	-1.00218502556091	-1.00218502556091	-1.00218502556091	1.20204771091646	1.11737641292703	1.12058450497198	1.10029059193767	-1.00218502556091	1.14815420726579	-1.00218502556091	-1.00218502556091	0.79581183958483	-1.00218502556091	1.11184957652205	-1.00218502556091	-1.00218502556091	1.07373722367051	-1.00218502556091	-1.00218502556091	-1.00218502556091	1.09677808181872	-1.00218502556091	1.17809580862836	-1.00218502556091	-1.00218502556091	-1.00218502556091	-1.00218502556091	-1.00218502556091	-1.00218502556091
