Gene_symbol	Protein_id	Kg1a_6	FKH1_2	FKH1_3	FKH1_4	FKH1_5	FKH1_6	HL60_1	HL60_2	HL60_3	HL60_4	HL60_5	HL60_6	KASUMI1_1	OCIAML6_5	KASUMI1_3	KASUMI1_4	KASUMI1_5	KASUMI1_6	Kg1a_1	Kg1a_2	Kg1a_3	Kg1a_4	FKH1_1	ME1_1	ME1_2	ME1_4	ME1_5	ME1_6	MOLM13_1	MOLM13_4	MOLM13_6	MOLM16_1	MOLM16_2	MOLM16_3	MOLM16_4	MOLM16_5	MOLM16_6	MONOMAC6_1	MONOMAC6_2	MONOMAC6_3	MONOMAC6_4	MONOMAC6_5	MONOMAC6_6	MUTZ3_1	MUTZ3_2	MUTZ3_3	MUTZ3_4	MUTZ3_5	MUTZ3_6	MV411_1	MV411_2	MV411_3	MV411_4	MV411_5	MV411_6	OCIAML3_1	OCIAML3_2	OCIAML3_3	OCIAML3_4	OCIAML3_5	OCIAML3_6	OCIAML5_1	OCIAML5_3	OCIAML5_5	OCIAML5_6	OCIAML6_1	OCIAML6_2	OCIAML6_3	OCIAML6_4	OCIAML6_6	OCIM1_1	OCIM1_3	OCIM1_4	OCIM1_6	SHI1_1	SHI1_2	SHI1_3	SHI1_4	SHI1_5	KASUMI1_2	SKM1_1	SKM1_2	SKM1_3	SKM1_4	SKM1_5	SKM1_6	THP1_1	THP1_2	THP1_4	THP1_5	THP1_6	UCSDAML1_1	UCSDAML1_2	UCSDAML1_3	UCSDAML1_4	UCSDAML1_5	UCSDAML1_6	To
AACS	AACS	0.995295696069178	0.695309936798266	0.487386829508951	0.273453514146045	0.525023844631679	0.447924598669853	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	-0.240256949606119	0.511136530894781	0.452080268294641	0.822578152040751	-0.71192308141126	0.529723027728763	0.682048619561082	0.894810171949171	-1.76973048043789	-1.76973048043789	-1.76973048043789	-1.76973048043789	0.167685079008304	0.291463419330147	-0.000583796674799085	0.424001898382229	0.643133366268686	0.0868543021018314	0.189605852839123	0.74910947871243	0.597361491390197	0.206652833212457	-0.0932965906070179	-1.76973048043789	0.756824713722121	0.299837361665357	0.841035309335261	-0.105714951799059	0.240381321886403	0.350934002539541	-1.76973048043789	0.527507813922891	0.322760282376933	0.452465498078788	0.764711094357104	0.765860226876742	0.584793873717444	0.296064987942249	0.269741433685165	0.723306729509316	1.60467917282093	1.17870126209825	1.28972031235043	0.835846979507528	1.37134117043146	0.980905558354969	-1.76973048043789	-1.76973048043789	-1.76973048043789	0.0354341102033504	0.739720560594552	0.246178641015823	0.147646817199857	-0.0239447698454365	-0.467365170629028	1.39275802946162	1.37375165879592	1.32072373995091	1.24763164844376	-0.138252938593311	0.249360681093336	-7.93070611016864e-05	0.23803828221538	0.370770467973946	-0.672071237673463	0.191989900464765	-1.76973048043789	-1.76973048043789	0.500902428835728	-0.305532398513281	-0.183409158321043	0.777779787782702	0.772948952019218	0.891048908635214	0.424471950088203	0.402186052376005	0.135650255132841	0.985663254115289	0.154793540977363	0.101237107315994	0.242273824423569	0.264021343659899	NA
AARS1	AARS1	-0.111937262100401	0.253120138860461	-0.168645096420828	-0.548541918760604	-0.470345813102816	-0.444174077787488	0.650642360483527	-0.0161381600627349	0.437106571464185	0.37042360492001	-0.23552351223712	-0.0711020141421968	-1.45563918600137	-0.455591137313086	-2.40466010336779	-0.993035201240932	-0.821396255301363	-1.39740772818693	-0.0453927024011714	-0.250277410633902	-0.117497441544465	0.612171216517162	-0.143895863341771	-1.3773332841612	-1.99577027286749	-2.12716892040431	-1.52704579212591	-2.23724848690829	-0.262595227884847	0.105131986030697	-1.06862282179048	0.510134459851821	0.400422549794597	0.577538425826514	0.825402566749166	0.453656730590722	0.511162887291927	-1.40576443238318	-1.87245235503109	-1.52817536684528	-1.56842041905469	-2.08919764172857	-1.12018505804807	-0.0635209903505823	-0.549129165945781	-0.700704328551595	0.00614080609700102	-0.611882362357556	-0.302757751213406	0.429431509147625	1.22640171410283	1.07555438808222	0.400625655899328	0.00814237988175575	0.958214067416925	2.09587492408875	1.2565751983309	1.4854232360329	1.61258764700211	1.35770715580338	1.54739834017029	0.681299220489505	0.116523913645846	-0.136089977827352	-0.295832321758758	-0.88076326627968	0.498364337073821	0.688166132421997	-0.7594894202512	-0.807598164784382	1.3281306898417	1.17115674627709	1.43573462411396	0.664943064814312	0.688740931561967	0.119983437484133	0.213427575589284	-0.314052137156317	1.22009562124804	-0.941309527061349	0.0908915442903348	0.0500632066723553	0.603000235494942	0.171250342486798	0.336155003308422	0.39315304589678	1.91433960331205	1.22723352618139	2.28703143398411	1.05352831207632	0.731240956755967	-0.581641524674537	0.18360046220363	0.368808395429419	-0.10690258890342	0.0439294950111342	-0.0649278878058555	NA
ABCB8	ABCB8	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	1.4353325171453	1.3362381560686	1.11994925073671	-0.848310319355988	0.701733250619602	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	1.58887119845495	1.60174667799183	-0.848310319355988	1.38275861758453	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	1.30149053662782	1.4528688283696	1.22394434354481	1.06414830973311	1.31327341279918	1.4447326779774	1.27425402716959	1.12288658335892	0.849304968444168	-0.848310319355988	0.319004315774534	0.84562560204372	1.03306277410439	0.887809414643304	0.463250342082229	0.640799469689647	0.986711525029387	0.493983246328566	-0.848310319355988	0.955553783759461	0.735099701404316	1.27826171313514	-0.848310319355988	1.54048219400881	1.13190965614954	1.19193239211842	1.22912395537126	1.38772651710302	-0.848310319355988	1.47534172287337	1.36884728026101	1.42897177560138	1.40304815189026	-0.848310319355988	1.23214952106078	0.808917407108755	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	1.40251590386391	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	0.755836859310676	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	0.86380761204043	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	0.583761371196904	-0.848310319355988	-0.848310319355988	-0.848310319355988	-0.848310319355988	NA
ABCF2	ABCF2	-0.214048228677422	-1.22916380462059	-1.34968486005855	-2.09998364753412	-1.0502879693099	-1.64589212301404	0.690086766267371	1.1715673000094	1.2079441846446	0.505446157730478	0.665657108854886	0.630758335735307	0.440783758338006	-0.809112642620648	-0.0180218496186799	0.0654914856907695	0.385493985098122	0.483290711198613	1.38726763545194	1.04580745154821	0.577518529875671	0.842989257855127	-0.802409886283454	-0.63620150959563	-0.669066449937856	-0.535611323668427	-1.0745935237537	-0.404909989395042	0.871898674021303	1.3992786604386	1.07955365657256	0.72425455158487	0.746845374607633	1.08164224624027	1.19744089838719	0.963260272747987	0.923604453395193	0.811886801077391	0.939759196409038	1.22506137307815	0.891920538504975	0.253048120768089	1.02613043835725	-0.819155650400696	-0.908736955997163	-0.840605232264378	-1.04272222239678	-0.880344210904596	-0.910842435309607	0.835926186916021	0.90064617885858	1.2996318266634	1.80494493020852	1.29158150253478	1.27858020811695	1.23363345597998	1.44548147112814	1.52609013562173	1.04179865701131	1.63006526832808	1.51034375116318	1.08038282598495	-0.154394763756638	0.343676788474096	0.128122271631638	-1.6497672528999	-0.955097596602267	-1.36356584233804	-1.68350788736428	-1.37050410630064	-0.046199918127481	-0.343014618130673	-0.169761612106225	0.066170489451115	-0.347484194942344	-0.498884229168021	-0.105976706112383	-0.323402771462353	-0.521344104120091	0.681334397170966	-0.744044013707664	-1.22952744166831	-1.04838382707255	-0.821876411606288	-1.08277626154549	-2.0737719513661	0.22915108321592	-0.703260356824129	-0.610434222940708	-0.116291455674706	-0.782824960716947	-1.04928605496136	-1.5029236488515	-1.43346062802092	-0.185861664966513	-0.806493806829009	-0.897732527403577	NA
ABR	ABR	-0.26889118354332	1.00484300944325	0.895837902191164	0.962581686253572	1.04651694795141	1.16928031647588	0.197358320392849	0.78250500736953	0.312228537580055	0.484563957856491	0.264934490301791	0.228820697711941	-1.58910837523661	0.692758210447775	-1.58910837523661	-1.58910837523661	-1.58910837523661	-1.58910837523661	-1.58910837523661	0.284845735245877	-1.58910837523661	0.200752110118942	0.839967408243876	-1.58910837523661	-1.58910837523661	-0.522550630192955	-1.58910837523661	-1.58910837523661	0.271176367121477	0.658787845423405	0.265990323470933	-1.58910837523661	-1.58910837523661	-1.58910837523661	-1.58910837523661	-1.58910837523661	-1.58910837523661	0.605071306491491	0.526559528295397	0.921082934035853	0.272280854374705	0.0786186285292366	0.579167169656379	1.35284463774753	1.16328403488598	0.487333728906957	1.32604912676747	0.701124000433433	0.737347271442817	0.847788766285423	1.18127417188116	0.896682582127335	0.824514979541762	0.237896923353959	0.869804710917	0.615499665426219	-0.416842845641859	0.373380328946846	0.501666017676461	0.481641142440235	0.483813526625016	0.527948812472409	0.103600749920959	0.346605838766186	0.211056086966933	0.643459161070824	1.15796742620873	1.04619077588216	0.987387201103331	0.581665078002913	-1.58910837523661	-1.58910837523661	-1.58910837523661	-1.58910837523661	0.161805426648194	0.41266317410771	0.0315515086085898	0.231911425864291	0.780010804599211	-1.58910837523661	0.315941592549858	0.137933058926783	-1.58910837523661	-0.0328976030661801	0.282678633630999	-1.58910837523661	0.398103296313282	0.651781562192976	0.300742680539374	0.659259541824054	0.315115753380838	0.549068578392916	0.678372524648071	1.06688483606581	-1.58910837523661	0.716790278692703	1.04392092559054	NA
ACAD8	ACAD8	0.836122523907002	0.509948721646306	0.247886704808948	0.816034000340872	0.0123729347625787	0.619348688013506	-1.36960151298909	-0.952917571657418	-2.1044312448992	-2.14227270650224	-1.69109204830862	-3.02819075997429	0.296446011519127	-0.444324876658461	-0.449088308562887	-0.254431402492275	0.371215241942735	0.126177431411836	1.36229027482144	1.74413336302056	1.39311512516606	0.929826534342915	0.532044789005809	1.0045685958214	1.3339718052662	2.38285587083118	1.12628406149837	1.45089678270936	-0.42507129257372	0.356201911904034	-0.173313603756852	-0.85551646401878	-1.08092861597263	-0.571479668565917	-0.305541628726083	0.145963063034521	-0.733831238048666	0.290951635222763	0.143709352324533	0.685118066180406	0.0833505008938841	-0.204932967702509	0.267770299441086	0.517428354921403	0.443471245808561	-1.78455921038432	0.115931019607259	-0.720815148255698	0.17840674885875	0.32641598146472	0.0359533315759105	0.148288885888898	-0.214884270739178	-0.355771233139276	0.310035564480037	0.297626102398978	0.460536950224152	0.762282279801339	-0.283431317853985	0.0534559137077099	0.674269689907462	-2.06373784981559	-2.24793333524535	-1.603837273558	-0.614270038620025	0.237709171014886	1.41438691981724	0.043537386611383	0.307377539451788	0.104801345063529	0.439659415367134	-0.145228592986493	-0.0345827506965834	0.672257636725859	-1.29671064975427	-1.35389617981433	-1.61520476400567	-0.963457322100722	-1.26198037259465	0.0423762659331609	-0.183460834398561	-0.211440755644757	-0.449474046041558	-0.153787472120588	-0.579836270787519	-0.487402989459043	-0.533237458281171	-0.194983890016417	0.302223773442912	-0.37796991882109	0.299507437250573	1.56345316856851	1.63476548262399	1.43054210531101	1.636395704983	1.60962888371917	1.38753126217776	NA
ACADM	ACADM	-1.14048306761809	-0.0632331606675269	-0.352371853722438	-0.151705967190614	-0.241965696393408	-0.140470471214931	-2.09194305543088	-1.20296512519627	-1.44409950749458	-1.85314971952207	-1.23823785222806	-2.33760429170099	-0.0140901053740697	0.289743093596932	-0.969185451228021	-0.604266247472056	-0.45281969008302	-0.617950465868132	-0.518210710483909	-1.0467560472634	-1.21429413941147	-1.04051593194372	-0.0150410110429631	-0.22790576603629	-0.119088054844611	0.00261038807526901	-0.418621809288695	-0.2960736707183	0.477051435434479	0.420650697491499	-0.155491653368014	-0.231458052105178	-0.199519249805095	-0.335174713216078	-0.0862458614832311	0.141787516213348	0.0282242373207087	1.31004465054075	0.933507834947792	1.15567312311353	1.01155775886179	1.09646927177139	1.0997642597247	0.333327184447865	0.488968818761204	-0.86316735740285	0.483044340175857	-0.342412096566538	0.496137483140718	-0.451807871305776	-0.804497999762679	-0.77104323125662	-1.50928402492863	-1.08366907782762	-0.802585729481683	1.23933997107728	1.92342340991395	2.01058765065661	1.56309853685564	1.17853555029967	1.85687111850914	0.261986429858124	0.73711670395526	0.683947643831225	0.741394794542376	1.19118248009109	1.41096249033608	0.797730161238202	0.493007375337711	0.427931752095318	0.456922331557042	0.395148003830845	0.332734589167794	1.2667514326483	-1.89878074382596	-1.84067891600191	-1.56498003722463	-2.27840901058247	-1.21771566523969	-0.399671806435201	-0.0650875803546298	-0.198341205957087	-0.0232245567141778	-0.572480527796584	-0.348959971772528	-0.108274796711872	1.10153078803556	1.79620279075296	1.50506642686901	1.35274081121153	1.96867441622965	0.126479656847995	0.480937022202512	0.568160398882463	0.28260695448997	-0.156244253620154	0.202621075244214	NA
ACADS	ACADS	0.0547243946827458	0.538656958135035	0.574132945571554	0.485777068067101	0.634539891105346	0.999352977355512	-2.28591389518593	-2.28591389518593	-2.28591389518593	-2.28591389518593	-1.09540373074202	0.15970733957516	0.612446779911127	-0.338230532339835	0.621370248413712	0.575591976623084	0.559384588460983	0.369187526586545	-0.0820160014142155	-0.0814881731619949	-0.41703660363748	-0.417799947705614	0.770860738932246	0.596341160090598	0.786354220885712	0.845450068356186	0.367063830070122	0.587980313158511	0.0330677114151544	0.22097354747767	-0.336462292825957	1.42939205764661	1.42147177807205	1.42058752087973	1.41619450704696	1.58962145415133	1.27531056927437	-0.372145224524584	-0.625503956689997	-0.33322042614569	0.0465219947159976	-0.600009840921931	-0.397640906987782	1.3315277586954	1.20524454105984	0.422511974753495	1.35498857154995	0.880681978741572	1.19860972972579	-0.153414063568022	0.306144203504612	0.0959864982625208	0.20638679391279	0.206477624717079	-0.194395773735187	-1.17283036892254	-0.375515217810848	-0.571206385545452	-0.365478006405239	-0.86622696863498	-0.592877907741775	-0.747259771198636	-0.14680701349878	-0.465113929941262	-0.127169172760076	0.996024994279643	1.07094981813184	0.95317454011688	0.530289304911819	0.345624255826308	-0.0593950851578642	-0.0730703925151625	0.0781259466289073	0.125046416243857	-0.179591743359415	-0.811422527622204	-0.442553366573665	-2.28591389518593	-0.445124142088194	0.75130692202464	-2.28591389518593	-2.28591389518593	-2.28591389518593	-2.28591389518593	-2.28591389518593	-0.975821819292549	0.406389113101775	0.916956904986697	0.812076192237636	0.617526531399112	1.26399153456459	0.372050988307052	0.364743098280219	0.468967489904068	-0.00131830364165492	0.273753322520967	0.175067333919695	NA
ACADVL	ACADVL	-3.01404065843219	0.205048910264882	0.304292945361877	0.349275509759424	0.347548985741481	0.533768525307779	-0.892057133217427	-1.41376765410579	-1.57011456072309	-1.41526484565614	-1.51669124246787	-1.7587046864253	0.149105610498972	0.600092916746267	-0.699722139306549	-0.581362993746728	-0.453545831824848	-0.443023518364696	-2.22989754686208	-2.66934665798446	-2.95906903297575	-2.81529190866235	0.289796515632875	-0.239617202269856	-0.0604652834126098	0.0613866636135427	-0.254238260765205	-0.106183762396721	0.642306274060515	0.104492568619448	0.312365638670602	0.283895470034559	0.499255461556975	0.303634531526168	0.322801891813189	0.402819117584653	0.11293835496148	-0.23719200945825	-0.697705489000405	-0.654990101011276	-0.379591974471646	-0.372268792717491	-0.570396106471494	1.04572724370626	1.00435997149356	0.174808340509826	1.12609440374079	0.582895881849505	1.03548007053178	0.608497905628367	0.800838673661507	0.501841198896545	0.533479828209079	0.534606562204006	0.566706291974209	0.364657941918304	0.99161220346896	0.965970095185939	0.419348952080435	0.590866801951049	0.856468030318991	0.110052249355277	0.239499410097992	0.253210865688441	0.492345127086061	1.08646334354964	1.17284319395889	0.777497441649203	0.602510242459702	0.696593296439231	0.929063585642606	0.934770348334655	1.04640449678362	1.64621303042611	-1.54410751824315	-1.32580365940468	-1.13827414719574	-1.51903293996371	-0.582213627014413	-0.276111856931602	-0.294783947331233	-0.390924215522362	-0.572674338611311	-0.794783222735789	-0.688815668886799	-0.652476409901162	-0.0128922032328434	0.588819132332408	0.28542427748568	0.582486095359147	0.89839270446586	1.23727592361342	1.11320380854889	1.21921650806853	1.39282181294832	1.07494036634275	0.888309597984759	NA
ACBD3	ACBD3	0.718928809309379	-0.504841709966062	-0.628711753777676	-1.31133817505732	0.252817964195005	-0.858562184397411	0.670097981689139	-0.436132228221275	-0.730229784744445	0.0653178012172239	0.090109672623416	0.621632848000528	-1.525145715351	-0.22973013087402	-0.931112539463091	-1.16251358690531	-1.23454305234768	-1.42268404889674	-1.06624698531491	0.146014792446518	-0.32480108661807	0.109991741898167	-0.278503996781536	-0.94752969680402	-0.515597338244426	-0.307386164099039	0.062109208188725	-0.252169549119123	-1.75228470815184	-0.976691140669929	-0.5383954550845	-0.732600394093887	-0.780965247353994	-0.526214483502363	-1.1899238706956	-0.621396482239117	-1.68126145774375	1.22553864879831	1.294350411211	0.660309091773246	1.18462374106047	0.966723394103947	1.27802788785822	-1.8817311069159	-0.926246392721387	-0.280604818066897	-2.00004860280473	-1.43470712259361	-1.78641538920523	-0.193935919594568	0.0649002771001089	0.355072551960488	-0.8535266928559	-0.837689728165324	0.0133772548881114	0.777758692812463	0.161224863628009	-0.689326585778655	0.16639651227902	0.750941591125912	0.113396587237219	0.46794579891647	-0.215894598236071	0.724736078586552	0.130795807106865	0.192922795881846	0.893021046381164	0.105177368129381	0.53150034908247	0.00950370879002116	1.56450902789062	1.65330547471942	1.23518836694248	1.37566530477429	0.522586677224874	-0.0821535028601947	0.615184786961255	0.726925610158814	0.749858218342469	-1.33322372283424	1.17742872153755	1.89749095430537	0.617557139093531	1.2271678624861	1.89974678204085	0.999189798967412	2.49505096372936	1.55514327112397	1.66297894708165	1.55810771612071	0.527199675957803	-0.67446315894419	-0.544756636639043	-1.14437554593956	1.24012962718429	-1.12913120883091	-0.629936505417672	NA
