symbol	ensembl_gene_id	C3L-00365	C3L-00674	C3L-00677	C3L-01043	C3L-01045	C3L-01048	C3L-01049	C3L-01149	C3L-01157	C3L-01887	C3L-02041	C3L-02465	C3L-02504	C3L-02542	C3L-02642	C3L-02704	C3L-02705	C3L-02707	C3L-02708	C3L-02900	C3L-02970	C3L-02984	C3L-03266	C3L-03407	C3L-03681	C3L-03727	C3L-03728	C3L-03748	C3L-04084	C3N-00661	C3N-00662	C3N-00663	C3N-00665	C3N-01192	C3N-01196	C3N-01334	C3N-01364	C3N-01368	C3N-01369	C3N-01505	C3N-01515	C3N-01517	C3N-01518	C3N-01798	C3N-01814	C3N-01815	C3N-01816	C3N-01818	C3N-01852	C3N-01856	C3N-02181	C3N-02183	C3N-02185	C3N-02186	C3N-02188	C3N-02190	C3N-02255	C3N-02256	C3N-02769	C3N-02770	C3N-02782	C3N-02783	C3N-02784	C3N-02785	C3N-02786	C3N-02788	C3N-03070	C3N-03088	C3N-03180	C3N-03182	C3N-03183	C3N-03184	C3N-03186	C3N-03188
A2ML1	ENSG00000166535	0.847375089544691	-0.0039240018898041	0.482445471081899	0.79881929904368	-1.44452818723253	0.697732629073763	-0.0699617823690119	-2.51383730327488	0.841791137942231	-0.207275270862304	-0.867301217248513	1.14208305994595	0.811457220090587	-1.07092632698392	2.02033477845376	0.570550360357173	0.649315570074941	0.315480250236785	-1.15891888099683	0.910254542736618	-0.110720245627798	1.6490555678859	-0.480180091610829	0.288489631652983	1.66789395918164	0.0273755250033613	-1.62116021522587	-0.903042455635982	-0.329608640392011	-0.336470450097183	-0.863827766915504	-0.625338162649618	-0.623115465948646	-0.204284898358153	-0.29566133532904	0.431243539654294	-0.457650748021985	0.897394299915556	-2.12274098248781	-1.67829292596061	0.106548990745548	0.0678059758434214	0.869201803506754	-0.130794263617511	-0.101806054216207	0.71778687811643	0.39067944606404	1.35752290011282	0.686440204795503	-0.545482979754774	-0.599721405830753	-1.42175352446158	-0.172616719009759	0.329173452025708	0.690700845526179	-0.152543438726957	1.1627662245975	-0.483517790256847	2.26649588331915	-0.946016337243101	-0.807490820899592	0.0320159185665058	1.27950772540748	-0.272376174127319	0.307730012286653	1.11022019889354	0.237404862155906	-0.139005186996287	-1.01004121070509	-2.94206010946026	1.3132232146985	0.728816642450819	-0.829376085013691	-0.159763655549703
AATK	ENSG00000181409	-0.801138417563682	0.958610761922511	0.250390635845332	-1.03161768213829	-0.767511939162559	-0.540081462650037	-1.44025581340837	0.324423185298834	1.12830851393357	1.21513040720861	0.324661274271645	-0.78928217963556	0.691644227873955	0.0806450764484637	0.167987462012037	-1.89730388472557	0.925443474162855	-0.385504238923455	-0.660804795345686	0.570146007537236	-0.179758908737217	1.22442351272191	0.658322185389584	0.216576714211892	0.922680507339443	-1.44816987320293	0.463183138899468	-0.332967771476734	-0.254404193756107	-0.781391480250183	1.09874183518072	-0.0700998093734935	-1.41950553366589	-0.984069316561519	-2.22043235621412	0.0268907201933475	-2.10561748481994	-1.50977295681784	1.55174335175897	-1.36939976150672	-0.155079366800915	-0.608924724476381	-0.761387435133623	0.0958666390657497	1.14994210851728	1.13215443109746	-0.00601329347269614	1.12337708654817	-0.0955161154470223	-0.335385811873707	0.451908146221648	0.664463596434571	-0.406428815580036	1.60480423766438	-0.745979230378506	0.121866812320335	0.115243905693231	1.10505718047149	-0.0916533535861806	0.678171960553648	-0.363539708635367	0.865342105441013	-0.793834161916119	0.139704409888099	-0.766835411226298	0.603420527413136	0.704747433158249	2.13005985796776	2.59688967963867	-0.899160771312437	-1.76639824628076	-1.12342124646673	0.738433330139258	1.08724111207812
ABCA13	ENSG00000179869	-0.567395303986006	0.50818935170788	-0.135426048264458	-1.12251866421919	-1.34784988262366	-2.06640297145862	-0.33344228791913	-0.493495725480724	0.794414790831077	-2.28305012421814	0.752050025714747	0.873211569816082	-1.43641146695303	0.0517204328125504	0.808493745015288	0.907119007993451	-0.189851892432251	-0.883369421988889	-0.999906748035668	-1.66182439357942	-1.40531141198649	-0.702623233524971	0.256283280978012	1.97478845574318	-0.586236795396364	0.189063342226779	1.44251139038628	-0.355086406549711	-1.4375059332624	-0.0674153479876255	-0.193561123362932	0.404820269068396	0.471701335175263	0.080506883803523	-1.49841456300226	0.206131256565041	-0.459124192558613	0.311527781013848	0.941503964345323	1.35969289085134	0.410139676277567	-1.35481976483761	0.989738844624712	-0.141703619271492	-0.249468572080368	0.394034230778855	1.63648015878779	-0.047466503947299	-0.879408315734973	0.828689888986235	1.59921787933002	0.00927402346908188	0.0527625810370974	-0.504340982367748	1.38597563967551	1.30089034096211	-0.179768591466942	-0.173681184314854	-0.288454517248993	-0.375391693523247	-0.778009534469179	0.222639574355182	0.973169269597534	-1.00404257809058	2.46335608369568	1.12619310571617	-0.653143832233465	-0.219368732138833	0.383043361280532	0.927230366513856	1.27826847864877	0.011017316383065	0.897232678390747	-2.14779091204245
ABCA5	ENSG00000154265	1.1557888025005	0.172365864869376	1.01231373494875	-0.784613523827314	1.15739017180267	0.769647958198339	-0.103088814479549	0.105125965060928	0.964589381008335	0.426771230755324	-1.20304753761775	-0.210817921428672	-0.159125459607593	0.15270980645629	1.28110968012584	0.43350197355373	0.782623831520621	0.698497475074725	-2.67985710598269	-2.637436305663	-0.716192431470238	-1.19536447656602	-0.759685691211334	0.304694049348816	-1.37582877563823	1.09973362857228	-0.0569923791235941	-1.45064223033869	0.393654236437058	-0.169728346677861	-0.34979425991225	-1.77598167259654	0.0127888564155641	1.16901387118864	-1.12050760760142	0.445640278354707	-0.506734382525804	-0.798991573021903	0.41399360608226	-0.476274998919325	0.77184538808664	-0.0091333455318286	0.114761091800815	-0.474360273439311	-0.21130561510097	0.0090289931418052	0.828837224237464	0.0360042530760007	-0.525586559420234	0.115798092184777	-0.132385322659026	0.762405269706296	1.23321954569408	0.852697500204717	-2.02317164038886	-0.150158376187456	1.44733919037042	-1.19511940002603	1.35824629323494	-0.93182194120956	0.73302262973031	-0.619629336364208	-0.0413097721748838	-0.610091652057757	1.67707389607636	0.474867732592647	-2.05133492063025	0.107348662568214	0.318411256232988	1.02810871713869	2.19033889676363	-1.16227282276271	0.264610278046928	1.3924671590004
ABCA6	ENSG00000154262	0.726189119891852	0.681559568433118	0.166231118530746	0.309398048448555	0.433286589978237	0.872010494379057	-0.391754469563367	-2.29992124455957	0.360081278551301	-0.136226824705941	-0.409852761267254	-0.876194587692254	-2.17847919044897	-1.19831874309753	0.247382882631759	-0.73538734350625	0.589121294379883	0.44242506210185	-1.64126933542285	-1.3368196188625	-0.794476891705562	2.22762478567369	0.623295262530204	0.973269232662212	-1.33790960483467	-0.238753485366514	1.3749702871522	-0.889742915846176	-0.288893001815735	0.170720996943908	-0.250516436694681	-1.41474246595756	-0.558596732207935	2.33621388917839	-1.6005232256213	0.73284097159088	2.21435967200613	-0.993355249185724	2.17659964413156	0.442614166257595	0.893246186090964	1.47910464686937	0.101852739460848	-0.354272058746668	-1.11005713495635	0.294095884059612	0.520651687853563	-0.451376933382089	0.412297839840346	0.367694011636466	-0.405168292561513	0.475351034429863	-0.649122226311147	-0.347724252534028	-0.662213992275547	-0.31803570179537	0.427338398781335	-0.938471049311332	0.444324893669073	-0.848856651292496	-0.617640126901237	0.238438391149885	-0.958142608559504	-0.52778784001247	0.469218346014832	-0.167740960488542	-1.44374123886597	0.703773237775276	0.784600944265296	0.211948973099787	1.27076472670636	0.222390528769161	0.00204876494536138	1.95274959548611
ABCA8	ENSG00000141338	0.87577989015023	0.192748765040363	-0.3930009042129	-0.986979730580171	0.489375175134121	0.644774694072804	-1.02469529063791	-3.4701981226057	1.15161699993472	0.71678944435785	-0.271668076765593	-0.122190250055799	-2.45570147169535	-1.57284174718674	-0.360316160216901	-1.58416774884832	0.271084595398561	-0.275456364382584	0.0569282793710724	-0.23328045465855	-1.11077575758107	0.366832875324448	0.168934517291725	0.949867656441477	-0.580222529580159	0.394116363794156	1.01553042377917	-0.171003200472315	0.086483392548033	-0.192299271220196	-0.623860691945363	0.158105836993074	-1.08079295819338	1.38777279064604	-0.606528338140607	0.303186251757531	2.29437489899683	-1.00073095492985	1.09443496783441	-0.146268200631594	0.51758840536035	0.926035821120494	0.409737569846651	-0.0917797468228082	-1.12229365506503	0.442269262002784	0.842496964502539	-0.103424003089018	0.261231831508084	-0.311432777889772	-0.961202214656943	0.549998436555849	-1.53889948858354	0.791374191946351	-0.699682792609867	-0.277266487281402	2.38181983892447	0.81666399845597	0.426712992411699	-1.29993901516989	0.689068481404959	-0.144183378332344	-0.130289740078995	-1.07534037972835	-1.10412526188281	-0.910753968894344	1.45007004010162	1.14159122967545	1.42415119222141	0.821176514659629	-0.0352662406951878	-0.134705040097883	0.22544593073479	1.46739189511952
ABCC3	ENSG00000108846	-0.427875664503517	0.10559631782192	-0.0230758006614484	0.680827127896808	0.666641065532802	-1.12009325053512	0.18979800243926	-2.31214039546562	-0.478391811112086	-2.05821265202274	0.370754658869211	1.14731992257721	0.481139058354496	-0.67056606268048	-1.13873345897229	0.648349378369523	0.390024151758151	0.0714262329860277	-0.693951045818316	-0.122061069348547	-1.28272671799656	-2.96927452873453	0.279628992192453	0.61428848677928	0.247308176019578	-0.146467003036122	1.38212177791176	1.15196517584684	0.176957988690719	0.918355047205256	0.124468959395639	0.728603766059082	0.69904297894205	0.903975942398367	-2.30215443755047	1.56864323238949	0.288111813387933	0.481990930219014	0.225435627154633	1.00969965184537	1.51432959545253	-0.104338454710964	1.12547227866216	-0.150143727060434	-1.18554737832786	-0.510941056817996	1.23583528048281	-0.673584824179318	-0.883476789880132	1.16382142231498	0.0710934579071158	0.470691182510545	0.269260237875365	-0.647211798233161	0.813441086545421	1.09051560129122	-0.31872892461455	-0.438635408352026	0.40881222863616	-0.278591392168533	-0.730567002542144	0.0188907866405773	0.731248351933067	0.155340797371949	1.7354698126819	-0.211649446520619	-2.89247417678733	-0.575126447842887	-0.478506331503447	0.814583487512916	-0.817892189066588	-1.62423821149048	0.391946914877917	0.704150472796756
ABCC8	ENSG00000006071	-0.806143356235757	0.168657494011577	-0.500760304952285	-1.85358994244369	0.754150689780659	1.67570465861045	-1.24713968435348	2.2954650667526	0.51045347703851	0.843954651095134	-0.608548013943085	-2.11762034113494	1.07488160544619	-0.203814138132516	0.129181752933795	0.904297555207704	0.206730661467912	-0.281652299128087	-0.168453962263831	1.40577397020101	0.850105890765231	1.82820098600381	0.173900586803342	0.253455635728328	1.43688901065616	-0.160322187992833	1.08932747287733	-0.770514371262959	0.807635741056754	0.266666618934144	0.800192501182438	0.628780755322764	0.32626985303808	-0.713087150491442	1.31796505345502	-0.240361591005488	-0.949784142186877	-0.149494689123077	-0.627822527323089	-0.756325611078774	1.43658555294193	0.0887033492399721	-0.691953333575937	0.079485069201704	-0.33578973027832	-1.14837439996481	-1.28063974422686	-0.0554883921629832	0.0855903754560579	1.15113551480108	-0.105691217736497	-1.15712326577895	-0.688082131595703	0.346193255810238	-2.03941006046852	0.16580402045365	0.51718525720964	0.390433101935018	0.0231544629694531	0.955351408781483	-0.657674346124536	1.32239676145699	-1.7500785820419	0.102674502978085	-1.82788144159259	-0.0691067046142985	0.098173519071345	0.567478484025445	-0.000557419576411485	-3.04813129630735	-0.354004113493989	-0.922638220646909	0.582842032209531	0.626230356328222
ABCD2	ENSG00000173208	0.649076432432253	-0.409460218362984	-0.470085424988221	-0.212147244553473	-1.32521809472933	0.67312789343166	-2.21338126709139	-0.0688516208062204	0.747732251687213	1.14545642770402	-1.01191249640724	1.18481204913641	-0.297977996873848	-1.07710307803638	0.76363011198425	1.50964520442391	-0.492636005276168	1.25581014782804	-0.280257987683107	-1.48375188641805	0.48141813242213	-0.562810703174151	0.477458932037166	-0.665085361136197	1.55543101676931	0.312633193328822	-0.752427446198382	-0.815718721661516	-0.258523939277468	1.44742430518193	0.285718455196432	-0.726719680145472	-0.594458374643466	0.689880075046611	0.917483024490818	-0.0361959083266076	0.311954212175862	1.68901794204434	-1.61851636331933	-0.239212930540926	0.146979051835034	1.35219832335026	0.151579565453782	0.668604893350845	-0.876767869353862	0.14666755945133	1.43736441573111	0.422338899077646	1.14770803046671	-0.909513232208674	-1.74413771793004	-0.672515091142603	0.300064980637096	0.623456574816381	0.290275280684631	-0.543772401923836	0.364916758030885	-0.00113731315571005	0.967183008483743	-0.642423698416491	1.02557925219194	-1.15445814428552	-0.536723860771553	-0.524768945282488	-0.230390566636161	0.502977900165444	-0.316208703199091	1.14455986341541	-1.72696365636697	-3.75711946912399	-0.0451453884668227	1.10877649251451	0.395613875295066	0.99994427564074
ABI3BP	ENSG00000154175	1.39189499992643	-0.198083424002758	0.57250437526818	0.101439886229521	0.516935825914407	0.886504923679555	1.29716708020503	-1.63690424184077	1.64285309211391	-2.17819626388034	2.15134415500694	-0.197971741081535	-1.33949391946832	-1.1113358728136	-0.352815130867838	0.162438035308996	0.308817314145697	-0.784516257307678	-0.697320299675294	1.92527829910547	-1.80247690464842	1.24830396752115	0.247612549509754	0.834605500799852	0.213354428846685	0.392073532357158	1.48206548990681	-0.251082425688676	0.051087944920374	-0.544476622590073	-0.441092310486077	1.56613967518114	-0.851775722807488	-0.324581256218591	-1.77156332069656	-0.919713110215618	1.42640120088778	-0.591393214868487	1.17220285928329	-0.286178967146821	-0.366931438931492	-0.194236500488683	0.975369722863657	-0.504859135860151	-0.348119298720624	0.119315819437869	0.0922403518669575	-0.192892946883557	-0.38322516586996	0.612368473789262	0.597112462940487	0.585651085333994	1.25532752006793	-0.657417221892836	-0.897255496443522	0.0969554575986877	0.884553248799452	-1.41697585430183	0.240372317333146	-1.23201978485458	-0.755412504464683	0.217324431105535	1.14162290367992	0.257302831580449	-1.43613969098075	-0.222012507765466	0.99955770591401	0.544676076739431	0.875034777734304	-1.80321604225929	0.752589612984193	-2.22462946852997	-0.713162311808332	-0.208923559526784
